key,title,summary,screentitle,keywords,icon,fragment,controller,action_type,recoverable,restore_key,target_fragment,payload
settings_reset,Reset all settings,,Reset,,0,com.android.settings.system.ResetDashboardFragment,com.samsung.android.settings.general.ResetSettingsPreferenceController,0,0,,com.samsung.android.settings.general.ResetSettings,
function_key_setting,Side key,,Advanced features,,0,com.samsung.android.settings.usefulfeature.Usefulfeature,com.samsung.android.settings.usefulfeature.controller.FunctionKeyPreferenceController,0,0,,com.samsung.android.settings.usefulfeature.FunctionKeySettings,
motion_and_gesture,Motions and gestures,,Advanced features,,0,com.samsung.android.settings.usefulfeature.Usefulfeature,com.samsung.android.settings.usefulfeature.controller.MotionAndGesturesPreferenceController,0,0,,com.samsung.android.settings.usefulfeature.MotionAndGestureSettings,
onehand_operation_settings,One-handed mode,,Advanced features,,0,com.samsung.android.settings.usefulfeature.Usefulfeature,com.samsung.android.settings.usefulfeature.controller.OneHandedModePreferenceController,1,0,,com.samsung.android.settings.usefulfeature.NewOneHandOperationSettings,
direct_share,Show contacts when sharing content,,Advanced features,,0,com.samsung.android.settings.usefulfeature.Usefulfeature,com.samsung.android.settings.usefulfeature.controller.DirectSharePreferenceController,1,0,,,
hdr_settings,Video brightness,,Advanced features,,0,com.samsung.android.settings.usefulfeature.Usefulfeature,com.samsung.android.settings.usefulfeature.controller.VideoEnhancerPreferenceController,0,0,,,
dual_app,Dual Messenger,Sign in to a second account in your favorite social apps.,Advanced features,,0,com.samsung.android.settings.usefulfeature.Usefulfeature,com.samsung.android.settings.usefulfeature.controller.DualMessengerPreferenceController,0,0,,,
volume_key_control,Use Volume keys for media,Control the media volume by default when you press the Volume keys.,Volume,,0,com.samsung.android.settings.notification.SecVolumeSettings,com.samsung.android.settings.notification.SecSoundDefaultVolumeController,1,0,,,
wifi_adps,Wi-Fi power saving mode,Reduce battery usage by analyzing Wi-Fi traffic patterns.,Advanced,,0,com.android.settings.wifi.ConfigureWifiSettings,com.samsung.android.settings.wifi.WifiPowerSavingModePreferenceController,1,0,,,
screen_resolution,,,,,0,,com.samsung.android.settings.display.controller.SecScreenResolutionSingleChoiceController,101,0,,,
auto_sync_account_data,,,,,0,,com.samsung.android.settings.account.controller.AutoSyncBaseController,1,0,,,
