_id,dedup_key,content_uri,capture_timestamp,type,state,photosphere,composition_type,width,height,size_bytes,timezone_offset,utc_timestamp,duration,filename,filepath,iso,exposure,camera_make,camera_model,lens,focal_length,f_stop,latitude,longitude,signature,bucket_id,capture_frame_rate,encoded_frame_rate,oem_special_type,mime_type,is_hidden,is_vr,is_raw,folder_name,media_store_id,is_archived,depth_type,is_micro_video,micro_video_offset,in_camera_folder,in_primary_storage,first_backup_timestamp,micro_video_still_image_timestamp,added_timestamp,is_backup_processed,is_ready_for_backup,is_favorite,compact_warp_grids,micro_video_motion_state,is_ls_video,extension_bitmask,requires_stabilization,trash_timestamp,purge_timestamp,desired_state,caption,showcase_score,showcase_weights_version
1,QnPcKlEV5JJyMckmfccjaAnaL2k,content://media/external/images/media/33,1617580332000,1,0,0,,1080,2280,309264,-14400000,1617594732000,,Screenshot_20210404-235212_Facebook.jpg,/storage/emulated/0/DCIM/Screenshots/Screenshot_20210404-235212_Facebook.jpg,,,,,,,,,,-1756511913,-1313584517,,,,image/jpeg,0,0,0,Screenshots,33,0,0,0,-1,1,1,,,1617595006251,0,1,0,,0,0,34359738366,1,,,0,,0.0,
3,FMbtSC2Qns8TYgqmlVVJLAWufjQ,content://media/external/images/media/31,1617577433000,1,0,0,,1080,2280,561769,-14400000,1617591833000,,Screenshot_20210404-230353_Instagram.jpg,/storage/emulated/0/DCIM/Screenshots/Screenshot_20210404-230353_Instagram.jpg,,,,,,,,,,-1759297852,-1313584517,,,,image/jpeg,0,0,0,Screenshots,31,0,0,0,-1,1,1,,,1617595006259,0,1,0,,0,0,34359738366,1,,,0,,0.0,
4,RLi6RPovURnZQgrTaGvwHZcbZRA,content://media/external/images/media/30,1617577432000,1,0,0,,1080,2280,461471,-14400000,1617591832000,,Screenshot_20210404-230352_Instagram.jpg,/storage/emulated/0/DCIM/Screenshots/Screenshot_20210404-230352_Instagram.jpg,,,,,,,,,,-1759298813,-1313584517,,,,image/jpeg,0,0,0,Screenshots,30,0,0,0,-1,1,1,,,1617595006262,0,1,0,,0,0,34359738366,1,,,0,,0.0,
5,-J-oGFtMtK9Oh-7Hop0vCw49b84,content://media/external/images/media/29,1617577420000,1,0,0,,1080,2280,595074,-14400000,1617591820000,,Screenshot_20210404-230340_Instagram.jpg,/storage/emulated/0/DCIM/Screenshots/Screenshot_20210404-230340_Instagram.jpg,,,,,,,,,,-1759310345,-1313584517,,,,image/jpeg,0,0,0,Screenshots,29,0,0,0,-1,1,1,,,1617595006265,0,1,0,,0,0,34359738366,1,,,0,,0.0,
6,RRf53DJAyzNoQdqvm6AluU7ObVw,content://media/external/images/media/28,1617577417000,1,0,0,,1080,2280,750488,-14400000,1617591817000,,Screenshot_20210404-230337_Instagram.jpg,/storage/emulated/0/DCIM/Screenshots/Screenshot_20210404-230337_Instagram.jpg,,,,,,,,,,-1759313228,-1313584517,,,,image/jpeg,0,0,0,Screenshots,28,0,0,0,-1,1,1,,,1617595006268,0,1,0,,0,0,34359738366,1,,,0,,0.0,
7,PZzKGW3UneDluTkCpjS8c6DsPKo,content://media/external/images/media/27,1617577413000,1,0,0,,1080,2280,591397,-14400000,1617591813000,,Screenshot_20210404-230333_Instagram.jpg,/storage/emulated/0/DCIM/Screenshots/Screenshot_20210404-230333_Instagram.jpg,,,,,,,,,,-1759317072,-1313584517,,,,image/jpeg,0,0,0,Screenshots,27,0,0,0,-1,1,1,,,1617595006271,0,1,0,,0,0,34359738366,1,,,0,,0.0,
8,4ZQ7u9b1GVehy3XaTjXdp9eGCv4,content://media/external/images/media/26,1617577405000,1,0,0,,1080,2280,553215,-14400000,1617591805000,,Screenshot_20210404-230325_Instagram.jpg,/storage/emulated/0/DCIM/Screenshots/Screenshot_20210404-230325_Instagram.jpg,,,,,,,,,,-1759324760,-1313584517,,,,image/jpeg,0,0,0,Screenshots,26,0,0,0,-1,1,1,,,1617595006276,0,1,0,,0,0,34359738366,1,,,0,,0.0,
9,K5i2XeJm5yu4piNhZ9Uw4svzGeU,content://media/external/images/media/25,1617462827000,1,0,0,,1080,2280,217903,-14400000,1617477227000,,Screenshot_20210403-151347_Google Play services.jpg,/storage/emulated/0/DCIM/Screenshots/Screenshot_20210403-151347_Google Play services.jpg,,,,,,,,,,-1869434218,-1313584517,,,,image/jpeg,0,0,0,Screenshots,25,0,0,0,-1,1,1,,,1617595006279,0,1,0,,0,0,34359738366,1,,,0,,0.0,
10,GUjuAF0KdYlbBuhmGRoObCmPHls,content://media/external/images/media/24,1617462823000,1,0,0,,1080,2280,218053,-14400000,1617477223000,,Screenshot_20210403-151343_Google Play services.jpg,/storage/emulated/0/DCIM/Screenshots/Screenshot_20210403-151343_Google Play services.jpg,,,,,,,,,,-1869438062,-1313584517,,,,image/jpeg,0,0,0,Screenshots,24,0,0,0,-1,1,1,,,1617595006282,0,1,0,,0,0,34359738366,1,,,0,,0.0,
11,ZSW9fiI03LmUT4iBv5vQbLzvx6Q,content://media/external/images/media/35,1617763917000,1,0,0,,3024,4032,6917554,-14400000,1617778317000,,20210407_025157.jpg,/storage/emulated/0/DCIM/Camera/20210407_025157.jpg,,,,,,,,,,-1580083938,-1739773001,,,,image/jpeg,0,0,0,Camera,35,0,0,0,-1,1,1,,,1617778337687,0,1,0,,0,0,34359738366,1,,,0,,0.0,
