app_id,audience_id,current_results
com.app.tgtg,3,b'\x08\x01\x10\x01\x1a\x08\x08\x00\x10\xb9\x80\xd9\x86\x06'
com.app.tgtg,4,b'\x08\x01'
com.google.android.googlequicksearchbox,4,b'\x08\x01\x10\x01'
com.google.android.googlequicksearchbox,5,b'\x08\x01\x10\x01'
com.google.android.googlequicksearchbox,6,b'\x08\x03\x10\x03'
com.google.android.googlequicksearchbox,7,b'\x08\x01\x10\x01'
com.google.android.googlequicksearchbox,8,b'\x08\x02\x10\x02'
com.google.android.googlequicksearchbox,10,b'\x08\x02\x10\x02'
com.google.android.googlequicksearchbox,11,b'\x08\x01\x10\x01'
com.google.android.googlequicksearchbox,12,b'\x08\x01'
com.google.android.googlequicksearchbox,29,b'\x08\x02\x10\x02\x1a\x08\x08\x01\x10\xed\xc4\x9f\x87\x06'
com.google.android.googlequicksearchbox,58,b'\x08\x03'
com.google.android.googlequicksearchbox,62,b'\x08\x01\x10\x01\x1a\x08\x08\x00\x10\xbf\xca\xc8\x83\x06'
com.google.android.googlequicksearchbox,73,b'\x08\x07\x10\x06\x1a\x08\x08\x01\x10\xf0\x9a\xaa\x85\x06\x1a\x08\x08\x02\x10\xf0\x9a\xaa\x85\x06'
com.google.android.googlequicksearchbox,76,b'\x08\x03\x10\x03\x1a\x08\x08\x00\x10\xf0\x9a\xaa\x85\x06\x1a\x08\x08\x01\x10\xed\xc4\x9f\x87\x06'
com.google.android.googlequicksearchbox,78,b'\x08\x03\x10\x01\x1a\x08\x08\x00\x10\xf0\x9a\xaa\x85\x06'
com.samsung.android.game.gamehome,50,b'\x08\x01\x10\x01\x1a\x08\x08\x00\x10\xec\xfa\xa2\x83\x06'
com.samsung.android.game.gamehome,51,b'\x08\x01\x10\x01\x1a\x08\x08\x00\x10\xec\xfa\xa2\x83\x06'
com.samsung.android.game.gamehome,52,b'\x08\x01\x10\x01\x1a\x08\x08\x00\x10\xec\xfa\xa2\x83\x06'
com.samsung.android.game.gamehome,59,b'\x08\x01\x10\x01\x1a\x08\x08\x00\x10\xec\xfa\xa2\x83\x06'
com.samsung.android.game.gamehome,67,b'\x08\x01\x10\x01\x1a\x08\x08\x00\x10\xec\xfa\xa2\x83\x06'
com.google.android.apps.photos,2,b'\x08\x01\x10\x01\x1a\x08\x08\x00\x10\xc2\xbc\xdc\x87\x06'
com.google.android.apps.photos,3,b'\x08\x01\x10\x01\x1a\x08\x08\x00\x10\xc2\xbc\xdc\x87\x06'
com.google.android.apps.photos,4,b'\x08\x01\x10\x01\x1a\x08\x08\x00\x10\x8e\xbd\xdc\x87\x06'
com.google.android.apps.tachyon,6,b'\x08\x01\x10\x01'
com.google.android.apps.tachyon,8,b'\x08\x01\x10\x01'
com.google.android.apps.tachyon,9,b'\x08\x01\x10\x01'
com.google.android.apps.tachyon,22,b'\x08\x01\x10\x01\x1a\x08\x08\x00\x10\x88\x9a\x92\x85\x06'
com.google.android.apps.tachyon,24,b'\x08\x01\x10\x01\x1a\x08\x08\x00\x10\x88\x9a\x92\x85\x06'
com.tmobile.tuesdays,25,b'\x08\x01'
com.tmobile.tuesdays,26,b'\x08\x01'
com.tmobile.tuesdays,27,b'\x08\x01'
com.tmobile.tuesdays,28,b'\x08\x01\x10\x01\x1a\x08\x08\x00\x10\xc5\x8f\xe1\x87\x06'
com.tmobile.tuesdays,29,b'\x08\x03\x10\x03\x1a\x08\x08\x00\x10\xc5\x8f\xe1\x87\x06\x1a\x08\x08\x01\x10\xc5\x8f\xe1\x87\x06'
com.tmobile.tuesdays,30,b'\x08\x01'
com.tmobile.tuesdays,31,b'\x08\x01\x10\x01\x1a\x08\x08\x00\x10\xc5\x8f\xe1\x87\x06'
com.tmobile.tuesdays,32,b'\x08\x01'
com.tmobile.tuesdays,33,"b'\x08\x03\x10\x03\x1a\x08\x08\x00\x10\xc4\x8f\xe1\x87\x06""\x08\x08\x01\x10\xc4\x8f\xe1\x87\x06'"
com.tmobile.tuesdays,34,b'\x08\x11'
com.tmobile.tuesdays,35,b'\x08\x11'
com.tmobile.tuesdays,36,b'\x08\x11'
com.tmobile.tuesdays,37,b'\x08\x11\x10\x11\x1a\x08\x08\x00\x10\xc2\xfb\xb3\x83\x06\x1a\x08\x08\x04\x10\xbf\xfb\xb3\x83\x06'
com.tmobile.tuesdays,38,b'\x08\x11\x10\x11\x1a\x08\x08\x00\x10\xc2\xfb\xb3\x83\x06\x1a\x08\x08\x04\x10\xbf\xfb\xb3\x83\x06'
com.tmobile.tuesdays,39,b'\x08\x11'
com.tmobile.tuesdays,40,b'\x08\x11'
