eventId,timeStamp,eventType,className,instanceId,pkgId
111087,1625982852505,11,,0,462
111088,1625982852506,11,,0,346
111089,1625982852506,11,,0,367
111090,1625982852507,11,,0,374
111091,1625982852507,11,,0,385
111092,1625982852507,11,,0,389
111093,1625982852508,11,,0,454
111094,1625982852508,11,,0,338
111095,1625982852509,11,,0,487
111096,1625982852509,11,,0,330
111097,1625982852510,11,,0,427
111098,1625982852510,11,,0,443
111099,1625982852510,11,,0,198
111100,1625984185013,11,,0,427
111101,1625984185018,11,,0,374
111102,1625984185056,11,,0,443
111103,1625986887425,11,,0,346
111104,1625986887427,11,,0,198
111105,1625991534508,11,,0,454
111106,1625991537443,11,,0,341
111107,1625991538562,11,,0,247
111108,1625991538562,11,,0,323
111109,1625991545365,12,,0,331
111110,1625991545590,19,org.thoughtcrime.securesms.service.GenericForegroundService,0,336
111111,1625991545797,12,,0,336
111112,1625991545998,20,org.thoughtcrime.securesms.service.GenericForegroundService,0,336
111113,1625991546130,19,com.android.systemui.edgelighting.EdgeLightingForegroundService,0,198
111114,1625991546338,12,,0,198
111115,1625991550279,11,,0,344
111116,1625991550280,11,,0,331
111117,1625991550280,11,,0,337
111118,1625991550281,11,,0,429
111119,1625991550644,11,,0,477
111120,1625991551315,19,com.samsung.android.weather.ui.common.content.service.WXAutoRefreshForegroundService,0,45
111121,1625991551528,12,,0,45
111122,1625991552974,20,com.android.systemui.edgelighting.EdgeLightingForegroundService,0,198
111123,1625991555805,12,,0,323
111124,1625991563398,20,com.samsung.android.weather.ui.common.content.service.WXAutoRefreshForegroundService,0,45
111125,1625991687855,11,,0,346
111126,1625991687855,11,,0,198
111127,1625991948494,11,,0,450
111128,1625994097599,11,,0,346
111129,1625994097601,11,,0,198
111130,1625994753474,11,,0,427
111131,1625994753475,11,,0,374
111132,1625994753476,11,,0,443
111133,1625997458569,11,,0,346
111134,1625997458569,11,,0,198
111135,1625998585131,11,,0,427
111136,1625998585133,11,,0,374
111137,1625998585133,11,,0,443
111138,1626001298683,11,,0,346
111139,1626001514228,11,,0,198
111140,1626002094251,11,,0,341
111141,1626002095326,11,,0,247
111142,1626002095360,11,,0,323
111143,1626002182909,11,,0,429
111144,1626002183398,11,,0,477
111145,1626008010206,11,,0,346
111146,1626008010206,11,,0,198
111147,1626008498492,11,,0,346
111148,1626008498493,11,,0,198
111149,1626012364212,11,,0,247
111150,1626012364213,11,,0,323
111151,1626012365750,19,com.samsung.android.weather.ui.common.content.service.WXAutoRefreshForegroundService,0,45
111152,1626012365968,12,,0,45
111153,1626012367143,11,,0,427
111154,1626012367144,11,,0,374
111155,1626012367144,11,,0,443
111156,1626012370039,12,,0,331
111157,1626012370200,12,,0,331
111158,1626012371147,19,com.android.systemui.edgelighting.EdgeLightingForegroundService,0,198
111159,1626012371356,12,,0,198
111160,1626012372155,11,,0,429
111161,1626012372400,11,,0,316
111162,1626012375157,20,com.android.systemui.edgelighting.EdgeLightingForegroundService,0,198
111163,1626012397597,20,com.samsung.android.weather.ui.common.content.service.WXAutoRefreshForegroundService,0,45
111164,1626012398056,12,,0,45
111165,1626012581235,11,,0,346
111166,1626012581236,11,,0,198
