notification_type,click_type,pk,click_timestamp,data
903,3,903-3-1624936597195,1624936597195,b'\x08\xcb\x8d\x93\xae\xa5/\x10\x87\x07\x18\x03'
903,3,903-3-1625809637531,1625809637531,b'\x08\x9b\xa1\xb9\xce\xa8/\x10\x87\x07\x18\x03'
