docid,size
-2145411713,b'\x04\x06\x01\x03'
-2142505173,b'\x05\x05\x02\x01'
-2127930711,b'\x05\x05\x03\x02'
-2127223483,b'\x06\x06\x01\x04'
-2126919681,b'\x06\x06\x03\x02'
-2121760103,b'\x05\x05\x01\x02'
-2118187866,b'\x0c\x0c\x03\x03'
-2117196769,b'\x05\x05\x01\x03'
-2116091999,b'\r\r\x04\x02'
-2107762428,b'\x05\x05\x02\x03'
-2098945537,b'\x06\x06\x02\x02'
-2098655433,b'\x06\x06\x02\x07'
-2091438298,b'\x05\x05\x02\x03'
-2089729906,b'\x05\x05\x01\x04'
-2087230981,b'\x06\x06\x02\x03'
-2085230752,b'\x06\x06\x03\x03'
-2078834171,b'\x06\x06\x04\x02'
-2078411164,b'\x07\x07\x02\x02'
-2069745751,b'\x05\x05\x02\x02'
-2065983752,b'\x07\x07\x02\x01'
-2064081384,b'\x06\x06\x02\x02'
-2052941602,b'\x06\x06\x04\x05'
-2049897663,b'\x06\x05\x02\x02'
-2047538340,b'\x06\x06\x04\x02'
-2047193405,b'\x07\x05\x02\x03'
-2044909267,b'\x07\x07\x02\x02'
-2044299764,b'\x08\x08\x04\x02'
-2040732772,b'\x06\x06\x04\x03'
-2040085189,b'\x08\x08\x02\x02'
-2034671174,b'\x06\x06\x04\r'
-2027259138,b'\x06\x05\x02\t'
-2026126919,b'\x06\x06\x02\x03'
-2024419232,b'\x06\x06\x02\x02'
-2017766189,b'\x06\x05\x03\x01'
-2015416988,b'\x05\x05\x02\x03'
-2014281109,b'\x08\x08\x03\x03'
-2006527647,b'\x05\x05\x02\x03'
-2004017938,b'\x07\x07\x02\x02'
-2003762933,b'\x07\x07\x03\x02'
-2002508985,b'\x07\x07\x02\x03'
-1998497136,b'\t\x0b\x02\x02'
-1995979009,b'\x05\x05\x02\x04'
-1995759465,b'\x05\x05\x01\x04'
-1990336739,b'\x05\x06\x02\x01'
-1985220909,b'\x06\x06\x03\x05'
-1982860280,b'\x06\x06\x03\x03'
-1981957623,b'\x06\x06\x01\x01'
-1981740915,b'\x06\x07\x02\x02'
-1979948641,b'\x07\x07\x02\x03'
-1973419792,b'\x07\x07\x03\x05'
-1971488385,b'\x08\x08\x03\x05'
-1968866890,b'\x06\x06\x01\x04'
-1968721991,b'\x07\x07\x02\x03'
-1966106893,b'\x05\x05\x02\x02'
-1965665363,b'\x07\x07\x02\x03'
-1961490669,b'\x06\x06\x02\x01'
-1956679743,b'\x05\x05\x02\x04'
-1953472800,b'\x06\x06\x02\x02'
-1947325578,b'\x05\x05\x02\x03'
-1944738552,b'\x06\x06\x02\x03'
-1944126784,b'\x06\x06\x02\x02'
-1942601070,b'\x06\x06\x03\x02'
-1932635373,b'\x07\x07\x02\x01'
-1931925404,b'\x07\x07\x01\x04'
-1931652678,b'\x05\x05\x03\x04'
-1930346024,b'\x06\x06\x02\x03'
-1929936107,b'\x06\x07\x03\x03'
-1927623259,b'\x05\x05\x02\x03'
-1927063538,b'\x05\x05\x01\x02'
-1925697162,b'\x06\x07\x02\x04'
-1924666280,b'\x05\x04\x01\x03'
-1921166747,b'\x05\x05\x03\x01'
-1916875127,b'\x06\x05\x01\x02'
-1912536018,b'\x06\x06\x02\x02'
-1912389393,b'\x06\x06\x01\x02'
-1911475009,b'\x06\x06\x01\t'
-1911160038,b'\t\t\x04\x02'
-1908809417,b'\x06\x06\x01\x03'
-1908463157,b'\x05\x05\x02\x03'
-1900652207,b'\r\r\x04\x01'
-1893416308,b'\x04\x06\x01\x02'
-1890940235,b'\x06\x06\x03\x03'
-1889570675,b'\x06\x06\x03\x02'
-1883764335,b'\x05\x05\x02\x02'
-1883532970,b'\x06\x07\x02\x05'
-1883519818,b'\x06\x06\x03\x02'
-1875697509,b'\x05\x05\x02\x05'
-1873788584,b'\x07\x07\x02\x02'
-1873164647,b'\x06\x06\x03\x05'
-1862695683,b'\x05\x05\x02\x05'
-1859263754,b'\x07\x07\x02\x02'
-1857090843,b'\x06\x06\x04\x02'
-1855899944,b'\x07\x06\x04\x01'
-1850057318,b'\x06\x06\x02\x02'
-1846711872,b'\x08\x08\x03\x04'
-1844668457,b'\r\r\x04\x05'
-1843069762,b'\x08\x08\x03\x02'
-1839641974,b'\x07\x07\x03\x03'
-1830694021,b'\x05\x05\x02\x02'
-1827401123,b'\x05\x07\x02\x03'
-1827225459,b'\x08\x05\x03\x04'
-1826122844,b'\t\t\x02\x02'
-1825080738,b'\x05\x05\x02\x03'
-1822684645,b'\x06\x05\x03\x01'
-1814376325,b'\x05\x05\x01\x05'
-1814163155,b'\t\t\x02\x03'
-1804939110,b'\x06\x06\x01\x03'
-1802709910,b'\x08\x08\x02\x01'
-1800948102,b'\x06\x06\x03\x01'
-1797810664,b'\x05\x05\x02\x04'
-1789209239,b'\x08\x08\x02\x02'
-1782408059,b'\x06\x06\x02\x05'
-1781957818,b'\x04\x04\x01\x02'
-1776466540,b'\x05\x05\x04\x02'
-1771475082,b'\x07\x07\x01\x05'
-1765839251,b'\x05\x05\x02\x02'
-1765666681,b'\x04\x04\x04\x04'
-1761068851,b'\x05\x05\x03\x02'
-1757664905,b'\x08\x08\x03\x03'
-1755804173,b'\x06\x06\x02\x03'
-1755636925,b'\x05\x05\x02\x03'
-1751692707,b'\x07\x07\x02\x01'
-1750662197,b'\x08\x08\x03\x03'
-1750112475,b'\x07\x07\x01\x03'
-1749828508,b'\x06\x06\x05\x03'
-1737498267,b'\x05\x05\x02\x06'
-1730789976,b'\x06\x06\x02\x04'
-1729316779,b'\x06\x06\x02\x02'
-1721371928,b'\x0e\x0e\x05\x05'
-1712087589,b'\x06\x06\x01\x02'
-1710148807,b'\x06\x06\x02\x03'
-1706815742,b'\x05\x05\x03\x06'
-1705809092,b'\x08\x08\x01\x05'
-1705005698,b'\x05\x06\x02\x03'
-1704783712,b'\x05\x05\x01\x02'
-1701459967,b'\x06\x06\x05\x02'
-1695984599,b'\x05\x06\x01\x03'
-1691467397,b'\x06\x06\x03\x05'
-1686557196,b'\x06\x06\x03\x03'
-1669785577,b'\x06\x06\x01\x02'
-1665893703,b'\x05\x05\x02\x06'
-1664622693,b'\x05\x05\x02\x02'
-1649857227,b'\x05\x05\x02\x02'
-1648255664,b'\x06\x06\x02\x02'
-1647637429,b'\x08\x08\x01\x02'
-1645902604,b'\x05\x05\x02\x03'
-1645265789,b'\x06\x06\x02\x02'
-1643656865,b'\x05\x05\x02\x03'
-1640125025,b'\x06\x06\x02\x05'
-1624995982,b'\x07\x07\x01\x02'
-1619169324,b'\x08\x08\x04\x02'
-1618618776,b'\x06\x06\x01\x02'
-1618229751,b'\x06\x05\x02\x01'
-1613962543,b'\x05\x05\x02\x03'
-1613229635,b'\x04\x04\x02\x01'
-1612431737,b'\x07\x07\x02\x02'
-1611538867,b'\x06\x06\x02\x02'
-1607930418,b'\x05\x05\x02\x02'
-1597380798,b'\x06\x06\x01\x03'
-1589662429,b'\x06\x06\x03\x03'
-1588833960,b'\x06\x05\x02\x02'
-1582631500,b'\x06\x06\x02\x02'
-1568799368,b'\x05\x05\x01\x04'
-1562331797,b'\x06\x06\x02\x03'
-1560553187,b'\x05\x05\x03\x04'
-1557931393,b'\x06\x06\x02\x02'
-1554439932,b'\x05\x05\x03\x04'
-1548489198,b'\x06\x06\x01\x02'
-1547269398,b'\x06\x06\x02\x03'
-1541766942,b'\x05\x05\x01\x02'
-1532081016,b'\x06\x06\x01\x03'
-1530000037,b'\x06\x06\x03\x03'
-1515445471,b'\x05\x04\x01\x03'
-1511779644,b'\x06\x07\x03\x01'
-1507662647,b'\x07\x07\x02\x03'
-1505492546,b'\x05\x05\x02\x02'
-1505405509,b'\x06\x06\x03\x03'
-1503927512,b'\x07\x07\x03\x01'
-1492944821,b'\x06\x06\x05\x02'
-1490398343,b'\x06\x06\x02\x03'
-1488110837,b'\x05\x05\x02\x02'
-1486507118,b'\x06\x06\x02\x04'
-1484312799,b'\x06\x05\x02\x03'
-1475455597,b'\x07\x07\x03\x01'
-1473611099,b'\x06\x06\x03\x02'
-1472254033,b'\x05\x05\x02\x01'
-1468224785,b'\x06\x06\x02\x01'
-1459734302,b'\x06\x06\x02\x02'
-1451964992,b'\x06\x06\x03\x03'
-1451671039,b'\x06\x06\x05\x02'
-1443394919,b'\x07\x07\x01\x03'
-1442767228,b'\x08\x08\x04\x02'
-1438185518,b'\x06\x06\x02\x02'
-1438065714,b'\x07\x07\x03\x05'
-1434516404,b'\x07\x07\x03\x01'
-1433405666,b'\x06\x06\x02\x02'
-1427341830,b'\x06\x06\x03\x03'
-1422231574,b'\x06\x06\x02\x02'
-1416867806,b'\x05\x05\x01\x04'
-1416035166,b'\x06\x06\x03\x11'
-1414242618,b'\x06\x06\x04\x02'
-1414087673,b'\x07\x07\x02\x01'
-1413914544,b'\x08\x08\x04\x05'
-1407693263,b'\x05\x05\x02\x05'
-1405631410,b'\x06\x06\x03\x02'
-1404446330,b'\x05\x05\x02\x03'
-1403629111,b'\x06\x06\x02\x02'
-1395200997,b'\x05\x05\x01\x05'
-1393588024,b'\x04\x06\x01\x04'
-1388526101,b'\x06\x06\x01\x02'
-1385643926,b'\x06\x05\x02\x03'
-1379339141,b'\x05\x05\x02\x03'
-1378798808,b'\x07\x08\x02\x01'
-1376600479,b'\x07\x07\x04\x02'
-1376546154,b'\x06\x06\x02\x05'
-1376428764,b'\x05\x05\x02\x05'
-1373008769,b'\x05\x05\x01\x04'
-1372932049,b'\x06\x05\x02\x03'
-1372100031,b'\r\r\x04\x03'
-1368844458,b'\x06\x06\x04\x03'
-1365644041,b'\x06\x06\x02\x03'
-1364618599,b'\x05\x05\x02\x03'
-1363851344,b'\x06\x06\x02\x03'
-1359658064,b'\x06\x06\x03\x03'
-1357139679,b'\x07\x07\x02\x06'
-1352654207,b'\x05\x05\x02\x03'
-1350327760,b'\x05\x05\x02\x05'
-1349139880,b'\x06\x06\x02\x02'
-1347093579,b'\x06\x07\x02\x03'
-1344996746,b'\x05\x06\x02\x02'
-1344083539,b'\x05\x05\x02\x04'
-1341653021,b'\r\r\x04\x04'
-1340586096,b'\x05\x05\x02\x05'
-1339278015,b'\x06\x05\x02\x02'
-1338982428,b'\x05\x05\x02\x05'
-1337183720,b'\x07\x07\x03\x04'
-1334213580,b'\x05\x05\x03\x01'
-1333995787,b'\x06\x06\x03\x02'
-1332828766,b'\x05\x05\x02\x03'
-1330899532,b'\x08\x08\x04\x02'
-1330549560,b'\x06\x06\x02\x02'
-1328561997,b'\x07\x07\x01\x02'
-1326986411,b'\x06\x06\x05\x02'
-1320638829,b'\t\t\x05\x04'
-1319560143,b'\x05\x05\x01\x02'
-1318503366,b'\t\t\x02\x03'
-1313427647,b'\x06\x06\x02\x02'
-1304733033,b'\x05\x05\x02\x03'
-1304332330,b'\x06\x06\x03\x05'
-1303356233,b'\x08\x07\x02\x02'
-1297131966,b'\x0b\x0b\x02\x03'
-1296030652,b'\x06\x06\x02\x01'
-1295750247,b'\x06\x06\x04\x02'
-1287845269,b'\x05\x05\x01\x05'
-1287533696,b'\x06\x05\x01\x02'
-1285065685,b'\x05\x05\x03\x02'
-1282772975,b'\x07\x07\x03\x02'
-1279709094,b'\x08\x08\x02\x03'
-1274490755,b'\x06\x06\x03\x03'
-1271824942,b'\x07\x08\x02\x03'
-1266158142,b'\t\t\x02\x02'
-1263875633,b'\x04\x04\x04\x02'
-1263266177,b'\x05\x05\x02\x03'
-1256988359,b'\x05\x05\x03\x05'
-1256725155,b'\x06\x07\x02\x02'
-1256492352,b'\x04\x04\x01\x02'
-1250689795,b'\x06\x06\x02\x03'
-1250517711,b'\t\t\x05\x02'
-1242528767,b'\x05\x05\x02\x02'
-1237607777,b'\x06\x06\x03\x03'
-1234981983,b'\x07\x06\x04\x02'
-1234097757,b'\x06\x06\x02\x04'
-1233233461,b'\x05\x05\x02\x03'
-1230178027,b'\x06\x06\x03\x02'
-1228482224,b'\x06\x05\x02\x02'
-1224877451,b'\x07\x07\x03\x03'
-1222783349,b'\x05\x05\x02\x02'
-1220574996,b'\x06\x06\x02\x05'
-1217151017,b'\x06\x06\x02\x02'
-1214618406,b'\x05\x05\x01\x03'
-1214141369,b'\x06\x06\x01\x02'
-1213286624,b'\x07\x07\x01\x03'
