_id,key,value
122,quickpanel_icon_updated,true
123,device_rooting_status,1
124,wifi_direct_mode,false
125,ongoing_notification_type,-1
126,network_booster_status,-1
127,wifi_status_changed,1
128,show_ad_notify_timestamp,1617761065330
129,show_ad_notify,false
130,notification_channel_version,1
