_id,path,size,locked_size
1,/data/user/0/com.snapchat.android/files/file_manager/media,0,0
2,/data/user/0/com.snapchat.android/files/file_manager/impala,253,0
3,/data/user/0/com.snapchat.android/files/file_manager/Live_Mirror_Model,0,0
4,/data/user/0/com.snapchat.android/files/gallery/files,0,0
5,/data/user/0/com.snapchat.android/files/gallery/thumbnails,0,0
6,/data/user/0/com.snapchat.android/files/file_manager/discover_story_snap_url_content,0,0
7,/data/user/0/com.snapchat.android/files/file_manager/lens_remote_assets,0,0
8,/data/user/0/com.snapchat.android/files/file_manager/media_quality,0,0
9,/data/user/0/com.snapchat.android/files/file_manager/calibration_data,0,0
10,/data/user/0/com.snapchat.android/files/file_manager/ad_web_view_resource_content,0,0
11,/data/user/0/com.snapchat.android/files/file_manager/bitmoji,0,0
12,/data/user/0/com.snapchat.android/files/file_manager/ckweb-sticker,0,0
13,/data/user/0/com.snapchat.android/files/file_manager/media_package_thumb,0,0
14,/data/user/0/com.snapchat.android/files/file_manager/snap_first_frame,41430,0
15,/data/user/0/com.snapchat.android/files/file_manager/stickers_metadata,0,0
16,/data/user/0/com.snapchat.android/files/file_manager/memories_edits,0,0
17,/data/user/0/com.snapchat.android/files/file_manager/glideUrl,0,0
18,/data/user/0/com.snapchat.android/files/file_manager/context_filter_metadata,0,0
19,/data/user/0/com.snapchat.android/files/file_manager/static-map,0,0
20,/data/user/0/com.snapchat.android/files/file_manager/PerceptionMl,0,0
21,/data/user/0/com.snapchat.android/files/file_manager/Maps_WorldEffects,0,0
22,/data/user/0/com.snapchat.android/files/file_manager/TwoFA,0,0
23,/data/user/0/com.snapchat.android/files/file_manager/sc_map,84402,0
24,/data/user/0/com.snapchat.android/files/file_manager/bitmoji_lens_glb_asset,0,0
25,/data/user/0/com.snapchat.android/files/file_manager/media_package_composite,0,0
26,/data/user/0/com.snapchat.android/files/file_manager/Bitmoji_Preview,0,0
27,/data/user/0/com.snapchat.android/files/file_manager/ad_snap,0,0
28,/data/user/0/com.snapchat.android/files/file_manager/chat_media_thumbnail,0,0
29,/data/user/0/com.snapchat.android/files/file_manager/music_track_file,0,0
30,/data/user/0/com.snapchat.android/files/file_manager/non_user_bitmoji,176942,0
31,/data/user/0/com.snapchat.android/files/file_manager/discover_publisher_snap_sub,0,0
32,/data/user/0/com.snapchat.android/files/file_manager/publisher_snap_media,0,0
33,/data/user/0/com.snapchat.android/files/file_manager/memories_media,0,0
34,/data/user/0/com.snapchat.android/files/file_manager/external_sticker,0,0
35,/data/user/0/com.snapchat.android/files/file_manager/payments,0,0
36,/data/user/0/com.snapchat.android/files/file_manager/BLOOPS_STICKER,0,0
37,/data/user/0/com.snapchat.android/files/file_manager/map-place-icons,0,0
38,/data/user/0/com.snapchat.android/files/file_manager/topic_page_snap,0,0
39,/data/user/0/com.snapchat.android/files/file_manager/memories_thumbnail,0,0
40,/data/user/0/com.snapchat.android/files/file_manager/discover_story_streaming_snap,213230,0
41,/data/user/0/com.snapchat.android/files/file_manager/explorer_onboarding,0,0
