id,time,skin_temp
1,1626859065069,226
2,1626860592912,228
3,1626861984851,229
4,1626862660331,228
5,1626864146328,230
6,1626866047783,227
7,1626866934015,226
8,1626868043769,227
9,1626870086001,228
10,1626870516282,229
11,1626871925528,228
12,1626874021879,227
13,1626875164547,227
14,1626875988749,234
15,1626876415541,233
16,1626876551832,236
17,1626876994761,238
18,1626877432816,242
19,1626877885674,255
20,1626878314981,249
21,1626878316889,249
22,1626878350129,263
23,1626878352990,263
24,1626878368063,263
25,1626878372067,263
26,1626878380139,284
27,1626878394231,284
28,1626878398241,284
29,1626878403595,284
30,1626878404847,284
31,1626878406859,300
32,1626878407597,300
33,1626878409302,300
34,1626878410145,300
35,1626878412339,300
36,1626878415309,300
37,1626878418390,300
38,1626878424808,300
39,1626878430481,300
40,1626878434507,300
41,1626878440163,313
42,1626878470049,309
43,1626878500068,306
44,1626878530089,305
45,1626878567202,306
46,1626878672207,311
47,1626878770000,314
48,1626878842823,316
49,1626878944821,316
50,1626879011749,312
51,1626879122028,310
52,1626879202537,308
53,1626879347214,304
54,1626879438271,304
55,1626879496943,313
56,1626879583873,307
57,1626879687229,303
58,1626879819090,301
59,1626879902831,299
60,1626880033178,298
61,1626880177267,297
62,1626880296507,293
63,1626880395899,293
64,1626880493100,291
65,1626880571709,289
66,1626880892541,284
67,1626881220258,281
68,1626881225264,281
69,1626881226107,281
70,1626881563474,276
71,1626881886041,273
72,1626882191514,269
73,1626882523569,265
74,1626882851107,260
75,1626883175540,259
76,1626883178677,258
77,1626883183686,258
78,1626883190894,258
79,1626883542523,257
80,1626883672938,256
81,1626883677967,256
82,1626883680455,256
83,1626884033573,266
84,1626884036589,266
85,1626884037685,266
86,1626884043463,266
87,1626884067379,289
88,1626884069768,289
89,1626884071388,289
90,1626884099778,291
91,1626884134585,291
92,1626884139604,291
93,1626884172434,295
94,1626884199996,296
95,1626884205006,296
96,1626884209496,300
97,1626884213513,300
98,1626884410291,311
99,1626884710693,312
100,1626885011075,302
101,1626885311399,297
102,1626885611745,297
103,1626885912024,300
104,1626886212273,297
105,1626886395314,298
106,1626886428957,290
107,1626886433825,290
108,1626886500011,291
109,1626886530029,287
110,1626886830243,271
111,1626887130498,264
112,1626887430889,261
113,1626887731391,254
114,1626888031993,257
115,1626888332379,258
116,1626888633209,252
117,1626888933961,252
118,1626889195079,254
119,1626889200103,254
120,1626889203857,254
121,1626889207880,254
122,1626889215447,254
123,1626889217598,259
124,1626889221581,259
125,1626889222664,259
126,1626889225093,259
127,1626889226487,259
128,1626889228499,259
129,1626889243194,259
130,1626889255105,275
131,1626889555295,286
132,1626889855803,295
133,1626889967349,297
134,1626889970699,297
135,1626889973542,297
136,1626889974888,297
137,1626889975984,297
138,1626889976669,297
139,1626889978893,297
140,1626890006020,301
141,1626890306437,305
142,1626890606911,309
143,1626890624256,309
144,1626890628267,316
145,1626890658332,305
146,1626890928709,282
147,1626891229133,275
148,1626891529532,264
149,1626891723805,261
150,1626891728830,261
151,1626891731537,261
152,1626891732742,261
153,1626891737768,267
154,1626891738579,267
155,1626891742641,267
156,1626891747666,267
157,1626891750507,267
158,1626891754531,267
159,1626891832684,270
160,1626892132818,273
161,1626892433173,273
162,1626892733589,283
163,1626892836999,281
164,1626892841020,281
165,1626892842112,281
166,1626892843966,281
167,1626892844439,281
168,1626892845977,281
169,1626892846120,281
170,1626892853713,291
171,1626892876950,296
172,1626892877056,296
173,1626892878813,296
174,1626892882782,296
175,1626892883731,296
176,1626893184091,309
177,1626893484524,306
178,1626893785027,297
179,1626894085385,301
180,1626894385721,302
181,1626894686084,315
182,1626894986386,310
183,1626895286637,313
184,1626895406737,321
185,1626895466794,319
186,1626895646886,320
187,1626895797128,318
188,1626895827177,321
189,1626896067883,318
190,1626896235946,317
191,1626896237740,321
192,1626896239955,321
193,1626896248435,321
194,1626896356488,320
195,1626896357005,324
196,1626896359642,324
197,1626896362566,324
198,1626896368735,324
199,1626896428844,318
200,1626896729308,316
201,1626897029533,314
202,1626897146327,321
203,1626897148281,321
204,1626897149595,321
205,1626897150333,321
206,1626897179615,323
207,1626897480488,322
208,1626897781453,320
209,1626897841517,319
210,1626897902890,319
211,1626897904903,319
212,1626897905975,319
213,1626897920649,330
214,1626897922653,330
215,1626897925144,330
216,1626897931746,330
217,1626898232685,321
218,1626898322897,319
219,1626898413140,320
220,1626898443185,319
221,1626898614292,318
222,1626898618439,318
223,1626898648500,315
224,1626899022197,295
225,1626899278095,288
226,1626899692463,267
227,1626900017669,257
228,1626900020579,257
229,1626900559922,257
230,1626900940865,259
231,1626901364923,260
232,1626901727851,265
233,1626902272980,261
234,1626902808774,255
235,1626903100974,255
236,1626903104074,256
237,1626903105699,256
238,1626903109716,256
239,1626903110484,256
240,1626903282596,256
241,1626903285071,256
242,1626903290293,260
243,1626903294308,260
244,1626903324966,265
245,1626903341489,265
246,1626903344120,265
247,1626903367184,269
248,1626903371188,269
249,1626903391938,278
250,1626903487808,272
251,1626903556225,267
252,1626903561264,270
253,1626903562071,270
254,1626903585932,270
255,1626903588536,270
256,1626903593543,270
257,1626903594815,274
258,1626903596828,274
259,1626903597550,274
260,1626903615983,274
261,1626903620831,274
262,1626903623444,274
263,1626903626201,281
264,1626903627449,281
265,1626903656211,277
266,1626903677888,277
267,1626903680759,277
268,1626903717871,278
269,1626903957135,267
270,1626904135077,267
271,1626904139765,267
272,1626904140138,267
273,1626904141638,267
274,1626904585949,264
275,1626905487443,252
276,1626906684407,244
277,1626907584852,246
278,1626908642629,247
279,1626909608583,254
280,1626909920196,272
281,1626910321354,292
282,1626910462249,297
283,1626910467252,297
284,1626910468156,297
285,1626910483658,301
286,1626910486356,301
287,1626910818494,302
288,1626911171368,292
289,1626912732633,275
290,1626913218291,270
291,1626913244460,270
292,1626913249489,270
293,1626913251256,270
294,1626913279373,273
295,1626913284377,273
296,1626913285256,273
297,1626913601528,272
298,1626913606553,272
299,1626913608429,272
300,1626913610985,272
301,1626913612438,272
302,1626913956350,280
303,1626915090287,286
304,1626915453471,279
305,1626915458491,279
306,1626915459159,279
307,1626915832338,278
308,1626916215325,273
309,1626916568981,271
310,1626916571881,271
311,1626916586488,271
312,1626916587382,271
313,1626916589389,271
314,1626916590494,271
315,1626916599026,283
316,1626916603561,283
317,1626916604778,283
318,1626916608799,283
319,1626916626889,290
320,1626916628534,290
321,1626916629049,290
322,1626916630552,290
323,1626916642476,290
324,1626916643126,290
325,1626916644543,290
326,1626916647020,290
327,1626916659056,303
328,1626916688328,300
329,1626916689109,300
330,1626916693341,300
331,1626916700596,300
332,1626916703592,300
333,1626916704619,300
334,1626916719153,306
335,1626916989510,305
336,1626917128383,302
337,1626917130201,302
338,1626917132387,302
339,1626917138171,306
340,1626917139701,306
341,1626917141571,306
342,1626917145538,306
343,1626917169740,304
344,1626917259886,301
345,1626917560269,302
346,1626917731178,301
347,1626917733143,301
348,1626917735187,303
349,1626917740492,303
350,1626917746019,303
351,1626917748128,303
352,1626917754029,303
353,1626917770540,302
354,1626917860653,299
355,1626918160932,301
356,1626918401188,304
357,1626918440291,303
358,1626918442185,303
359,1626918444299,303
360,1626918455439,305
361,1626918456021,305
362,1626918460480,305
363,1626918461253,305
364,1626918463401,305
365,1626918491289,307
366,1626918611407,310
367,1626918881673,309
368,1626919121892,309
369,1626919392093,309
370,1626919692269,304
371,1626919722289,306
