UID,SETTING_KEY,SETTING_VALUE
1,pref_city_info_0,
2,pref_time_zone_info_0,
3,CLOCK_VERSION,200000
4,PALETTE_VERSION,90000
6,PINNED_CONTENT_SHOWN_STATE,0
7,display_time,11
8,display_time_high_light,11
9,display_time_medium_high_light,0
10,display_time_medium_low_light,0
11,display_time_low_light,0
12,cover_display_time,0
13,memo_display_time,0
14,display_time_start,1626980869679
15,aod_brightness_value,3
16,aod_help_tap_to_show_count,5
17,aod_help_show_state,false
30,APPLIED_THEME_SEQ,0
