id,locationId,builderType,deviceType,deviceName,roomName,locationName,deviceTypeName,status,statusText,controlTemplateType,iconResourceId,subIconResourceId,iconType,animationSceneName,cardType,extraData,actionIconResourceId,hasLockCapability,d2dAddress
DirectlyConnectedDevice_1,Directly Connected Devices,1,15,CAR MULTIMEDIA,,Personal devices,Directly Connected Devices,1,,1,2131232550,-1,,,D2D_BT_DEVICE,"{""a"":""inactive"",""b"":false,""c"":""34:C7:31:F8:61:3B"",""d"":2131232549,""e"":-1,""f"":100,""g"":false,""h"":""34:C7:31:F8:61:3B||||"",""i"":true,""j"":-1,""k"":false,""l"":1626980813266,""m"":0,""n"":""""}",0,0,34:C7:31:F8:61:3B||||
DirectlyConnectedDevice_2,Directly Connected Devices,1,15,Bose SoundTouch CE2D10,,Personal devices,Directly Connected Devices,1,,1,2131232550,-1,,,D2D_BT_DEVICE,"{""a"":""inactive"",""b"":false,""c"":""2C:6B:7D:1D:21:A7"",""d"":2131232549,""e"":-1,""f"":100,""g"":false,""h"":""2C:6B:7D:1D:21:A7||||"",""i"":true,""j"":-1,""k"":false,""l"":1626980813266,""m"":1,""n"":""""}",0,0,2C:6B:7D:1D:21:A7||||
