id,name,seoName
1,Chassis,Chassis
2,Convertible,Convertible
3,Coupe,Coupe
4,Hatchback,Hatchback
5,Minivan,Minivan
6,Pickup,Pickup
7,Sedan,Sedan
8,SUV,SUV
9,Van,Van
10,Wagon,Wagon
