_id,item,category,data1,data2,data3,data4,data5
1,com.kakao.talk,KakaoTalk,slsi|qcom,,,,
2,jp.naver.line.android:transcoding,LINE,slsi|qcom,,,,
3,com.bsb.hike,hike,disable,,,,
4,com.tencent.mm,WeChat,disable,,,,
5,com.snapchat.android,Snapchat,slsi|qcom,,,,
6,com.viber.voip,Viber,cannotsupport,,,,
7,com.instagram.android,Instagram,slsi|qcom,,,,
8,com.truecaller,Truecaller,disable,,,,
9,com.zing.zalo:video_processing,Zalo,disable,,,,
10,kik.android,Kik,slsi|qcom,,,,
11,com.lomotif.android,Lomotif,disable,,,,
12,com.cyberlink.powerdirector.DRA140225_01,PowerDirector,slsi|qcom,,,,
13,com.turkcell.bip,BiP Messenger,slsi|qcom,,,,
14,com.adobe.premiererush.videoeditor.samsung,AdobePremiereRushForSamsung,disable,,,,
15,com.stupeflix.replay,Quik,slsi|qcom,,,,
16,com.camerasideas.trimmer:videoprocess,YouCut,slsi|qcom,,,,
17,com.hike.chat.stickers,hike,disable,,,,
18,com.xvideostudio.videoeditor,VideoShow,slsi|qcom,,,,
19,com.imo.android.imoim,imo,slsi|qcom,,,,
20,com.imo.android.imoimbeta,imoBetaFreeCalls,slsi|qcom,,,,
21,com.quvideo.xiaoying,VivaVideo,cannotsupport,,,,
22,com.wondershare.filmorago,FilmoraGo,slsi|qcom,,,,
23,com.sgiggle.production,Tango,slsi|qcom,,,,
24,com.mobivio.android.cutecut,CuteCUT,slsi|qcom,,,,
25,co.happybits.marcopolo,MarcoPolo,disable,,,,
26,org.thoughtcrime.securesms,SignalPrivateMessenger,slsi|qcom,,,,
27,com.camerasideas.instashot,InShot_preview,slsi|qcom,,,,
28,com.camerasideas.instashot:videoprocess,InShot_transcoder,slsi|qcom,,,,
