RecordId,cname,concept_type,parent_concepts
229,viv.phoneApp.ContactInfo,structure,
230,viv.phoneApp.MessageActionResult,structure,viv.message.ActionResult
231,viv.message.SendConfirmationType,boolean,viv.core.Confirmation
232,viv.message.ContactNameQuery,name,"viv.core.ContactFirstName,viv.core.ContactLastName,viv.core.ContactFullName,viv.core.ContactDisplayName,viv.core.ContactNickName"
233,viv.message.MessageBoxType,enum,
234,viv.message.SearchTerm,text,
235,viv.message.SimCard,enum,
236,viv.message.Goal,text,
237,viv.message.HasRunestoneResult,integer,
238,viv.message.ContactNameSearch,text,
239,viv.message.IsRead,boolean,
240,viv.message.ConversationId,integer,
241,viv.message.Result,enum,
242,viv.message.TextConvertingMode,enum,
243,viv.message.ResultDescription,text,
244,viv.message.AttachmentURI,text,
245,viv.message.MessageType,enum,
246,viv.message.MessageId,integer,
247,viv.message.HasAttachment,boolean,
248,viv.message.IndexToEdit,integer,
249,viv.message.MessageText,text,
250,viv.message.MessageStatus,enum,
251,viv.message.ContactNumberMatch,boolean,
252,viv.message.DividedSearchTerm,structure,
253,viv.message.AttachmentInfo,structure,
254,viv.message.ActionResult,structure,
255,viv.message.TimeStampInfo,structure,viv.time.DateTime
256,viv.message.MessageInfo,structure,
257,viv.message.DraftMessageInfo,structure,
258,viv.message.PhoneType,enum,viv.contact.PhoneType
259,viv.message.RecipientInfo,structure,viv.contact.ContactInfo
260,viv.bixbyVoiceApp.UnlockPhoneResult_Watch,structure,
261,viv.bixbyVoiceApp.FeatureName_Watch,enum,
262,viv.bixbyVoiceApp.GoToFeatureResult_Watch,structure,viv.bixbyVoiceApp.AppLaunchResult
263,viv.bixbyVoiceApp.StyleName,name,
264,viv.bixbyVoiceApp.Value,text,
265,viv.bixbyVoiceApp.NameType,enum,
266,viv.bixbyVoiceApp.HintUtterance,text,
267,viv.bixbyVoiceApp.CapsuleName,name,
268,viv.bixbyVoiceApp.MCapsuleId,text,
269,viv.bixbyVoiceApp.Nickname,name,
270,viv.bixbyVoiceApp.IsWakeUpByVoice,boolean,
271,viv.bixbyVoiceApp.MCategoryId,name,
272,viv.bixbyVoiceApp.Language,enum,
273,viv.bixbyVoiceApp.IsVoiceUnlockEnabled,boolean,
274,viv.bixbyVoiceApp.Uri,text,
275,viv.bixbyVoiceApp.IsDoublePressSetAsBixby,boolean,
276,viv.bixbyVoiceApp.FeatureName,enum,
277,viv.bixbyVoiceApp.ValidCategory,text,
278,viv.bixbyVoiceApp.IconURL,text,
279,viv.bixbyVoiceApp.DisplayName,name,
280,viv.bixbyVoiceApp.UserName,name,
281,viv.bixbyVoiceApp.CurrentStyleName,text,
282,viv.bixbyVoiceApp.MIconUrl,text,
283,viv.bixbyVoiceApp.IsOtherCase,boolean,
284,viv.bixbyVoiceApp.Deeplink,text,
