ID_A,STICKER_ITEMS_ID,LOCALES,STRING,EXTRA_A1,EXTRA_A2,EXTRA_A3
1,1,en,Seymour Sloth looking confused with hand on chin and question marks around head,,,
2,1,en_US,Seymour Sloth looking confused with hand on chin and question marks around head,,,
3,1,en_CA,Seymour Sloth looking confused with hand on chin and question marks around head,,,
4,1,sq_AL,"Arushi Seymour i pështjelluar, dorën në mjekër dhe pikëpyetje rreth kokës",,,
5,1,ar,الكسلان Seymour يبدو مضطرباً ويضع يده على ذقنه وعلامات الاستفهام محيطة برأسه,,,
6,1,hy_AM,"Սեյմուր համրուկը՝ շփոթված տեսքով, ձեռքը՝ կզակին, և գլխի շուրջ հարցական նշաններով",,,
7,1,as,থুটুৰিত হাত থৈ আৰু মূৰৰ ওপৰত প্ৰশ্নবোধক চিহ্নৰ সৈতে বিভ্ৰান্ত যেন লগা চেইমোৰ শ্লোথ,,,
8,1,az_AZ,Seymur ərincək əli çənəsində və başında sual işarələri ilə çaşmış görünür,,,
9,1,eu_ES,"Seymour Sloth nahastuta, eskua kokotsean eta galdera markak buruaren inguruan",,,
10,1,be_BY,"Лянівец Сэймур выглядае збянтэжаным, з рукой на шчацэ і пытальнікамі вакол галавы",,,
11,1,bn_IN,চিবুকে হাত এবং মাথার পিছনে প্রশ্নবোধক চিহ্নসহ দ্বিধাগ্রস্থ দেখানো সেমুর স্লথ,,,
12,1,bn_BD,চিবুকে হাত দিয়ে ও মাথার পাশে প্রশ্নবোধক চিহ্ন নিয়ে Seymour Sloth-কে বিভ্রান্ত দেখাচ্ছে,,,
13,1,bs,Zbunjeni Seymour Sloth s rukom na bradi i upitnikom iznad glave,,,
14,1,bg,Сеймур Слот изглежда объркан с ръка на брадичката и въпросителен знак над главата,,,
15,1,ca,"El Seymour el peresós amb cara de confusió, la mà a la barbeta i signes d'interrogació al voltant del cap",,,
16,1,zn_CN,西摩树懒看上去很困惑，手托着下巴，头周围有几个问号,,,
17,1,zn_HK,Seymour Sloth 滿眼困惑，手放在下巴上，頭周圍出現一圈問號,,,
18,1,zn_TW,西摩樹懶眼神困惑，手放在下巴，背景充滿問號,,,
19,1,hr,Seymour Sloth izgleda zbunjeno s dlanom na bradi i upitnicima oko glave,,,
20,1,cs,Seymour Sloth vypadá zmateně s rukama na bradě a otazníky kolem hlavy,,,
21,1,da,Seymour Sloth ser forvirret ud med hånd på hagen og spørgsmålstegn om hovedet,,,
22,1,nl,Seymour Sloth kijkt verward met hand op kin en vraagtekens rond hoofd,,,
23,1,et_EE,"Laiskloom Seymour näib segaduses, käsi lõual ja küsimärgid pea kohal",,,
24,1,fa,سیمور تنبل گیج شده با دست روی چانه و علامت‌های سوال اطراف سرش,,,
25,1,tl,Seymour Sloth mukhang nalilito na nasa baba ang kamay at may mga tandang-pananong sa ibabaw ng ulo,,,
26,1,fi,"Seymour Sloth näyttää hämmentyneeltä, käsi leualla ja kysymysmerkkejä pään ympärillä",,,
27,1,fr,Seymour Sloth paraissant confus avec la main sur le menton et des points d'interrogation autour de la tête,,,
28,1,fr_CA,Seymour Sloth paraissant confus avec la main sur le menton et des points d'interrogation autour de la tête,,,
29,1,gl_ES,Seymour Sloth con aspecto confundido coa man no queixo e signos de interrogación derredor,,,
30,1,ka_GE,"სეიმურ სლოთი დაბნეული იყურება, ნიკაპზე ხელით და კითხვის ნიშნებით თავის გარშემო",,,
31,1,de,Fabi Faultier blickt verwirrt mit Hand am Kinn und mit Fragezeichen um den Kopf,,,
32,1,el,"Ο Seymour Sloth μπερδεμένος, με το χέρι στο πηγούνι και ερωτηματικά γύρω από το κεφάλι του",,,
33,1,gu_IN,હડપચી પર હાથ ટેકવી મૂંઝાયેલ દેખાતો સિમૌર સ્લૉથ જેના માથાની આસપાસ પ્રશ્નાર્થ ચિહ્નો છે,,,
34,1,iw,סימור העצלן בהבעה מבולבלת עם יד על הסנטר וסימני שאלה מעל ראשו,,,
35,1,hi,हाथों को ठुड्डी पर रखकर और सिर के चारो ओर प्रश्नवाचक चिह्न बने हुए उलझन में दिखाई देता हुआ सीमौर स्लॉथ,,,
36,1,hu,"Lajhár Lali bizonytalan tekintettel néz, keze az állán van, feje körül kérdőjelek",,,
37,1,is_IS,Seymour Sloth er ringlaður með hönd á höku og spurningarmerki í kringum höfuðið,,,
38,1,in,Seymour Sloth tampak bingung dengan tangan di dagu dan tanda tanya di sekeliling kepala,,,
39,1,ga,"Séamas an Spadán agus é trí chéile, a lámh ar a smig aige, agus comharthaí ceiste thart ar a cheann",,,
40,1,it,"Seymour il Bradipo con espressione confusa, mano sul mento e punti interrogativi attorno alla testa",,,
41,1,ja,頭の周りにクエスチョンマークを浮かべ、手をあごに当てて困惑した様子のシーモアスロース,,,
42,1,kn_IN,"ಸೆಮೌರ್ ಸ್ಲೌಥ್ ಗೊಂಡಲದಿಂದ ನೋಡುವುದು, ಮುಖದ ಮೇಲೆ ಕೈ ಹಾಗೂ ತಲೆಯ ಮೇಲೆ ಪ್ರಶ್ನಾರ್ಥಕ ಚಿಹ್ನೆ ಹೊಂದಿರುವುದು",,,
43,1,kk_KZ,"Абыржыған Сеймур жалқау аң қолын иегіне қойып, басының айналасында сұрақ белгілері бар",,,
44,1,km_KH,Seymour Sloth មើល​ទៅ​ឆ្ងល់ ដៃ​ទ្រ​ចង្កា និង​សញ្ញា​សួរ​ជុំវិញ​ក្បាល,,,
45,1,ko,궁금한 표정의 나무늘보와 머리 위의 물음표,,,
46,1,ky_KG,"Сеймур аттуу ленивец ээгин колуна тиреп, башынын үстүндө суроо белгилери турат",,,
47,1,lo_LA,ເຊມົວສະລັອດ ເບິ່ງຄືວ່າສັບສົນໂດຍເອົາມືຄ້ຳຄາງ ແລະ ມີຮູບໝາຍຖາມຢູ່ອ້ອມຮອບຫົວ,,,
48,1,lv,"Seymour Sloth izskatās apmulsis, ar roku uz zoda un jautājuma zīmēm ap galvu",,,
49,1,lt,"Sumišęs tinginys Seymour ranką laiko ant smakro, o aplink galvą klaustukai",,,
50,1,mk_MK,Мрзливецот Симор изгледа збунето со рака на брадата и прашалници околу главата,,,
51,1,ms_MY,Seymour Sloth kelihatan keliru dan memegang dagu dengan tangan dan tanda soal di sekeliling kepala,,,
52,1,ml_IN,തലയ്ക്ക് ചുറ്റും ചോദ്യചിഹ്നങ്ങളോടെ താടിക്ക് കൈയും കൊടുത്ത് സന്ദേഹവാനായി കാണപ്പെടുന്ന സെയ്മോർ സ്ലോത്ത്,,,
53,1,mr_IN,डोक्या भोवती प्रश्नार्थक चिन्हे असलेला हनुवटी वर हात ठेवून गोंधळलेला दिसणारा सेमोर स्लॉथ,,,
54,1,my_ZG,ေမးတြင္ လက္ေထာက္လ်က္ ေခါင္းနားတြင္ ေမးခြန္းသေကၤတမ်ားျဖင့္ စိတ္ရႈပ္ေနပံုေပၚသည့္ ေဆးမာဆေလာ့သ္,,,
55,1,mn_MN,"Гараа эрүүндээ авч, толгойн дээрээ асуултын тэмдэгтэй эргэлзсэн Залхуу Сеймур",,,
56,1,my_MM,မေးတွင် လက်ထောက်လျက် ခေါင်းနားတွင် မေးခွန်းသင်္ကေတများဖြင့် စိတ်ရှုပ်နေပုံပေါ်သည့် ဆေးမာဆလော့သ်,,,
57,1,ne_NP,सेमोर स्लथ चिउँडोमा हात लगाएर अकमक्क देखिएको र टाउको माथि प्रश्न चिन्हहरू भएको,,,
58,1,nb,Seymour Sloth som ser forvirret ut med en hånd på haken og spørsmålstegn rundt hodet,,,
59,1,or,ଥୋଡିରେ ହାତ ରଖି ଏବଂ ମୁଣ୍ତର ଚାରିପାଖରେ ପ୍ରଶ୍ନ ଚିହ୍ନ ଥିବା ସହ ଦ୍ଵନ୍ଦାତ୍ମକ ଦେଖାଯାଉଥିବା ସେମୌର ସ୍ଲୋଥ୍,,,
60,1,pl,"Zmieszany Leniwiec Seymour opiera brodę na ręce, a wokół głowy ma znaki zapytania",,,
61,1,pt_PT,"Seymour Sloth com ar confundido, a mão no queixo e pontos de interrogação em volta da cabeça",,,
62,1,pt_BR,Seymour Sloth parecendo confuso com mão no queixo e pontos de interrogação ao redor da cabeça,,,
