work_spec_id,system_id
40167fc4-9fa5-414f-a692-3d15a0f49e9f,3844
fd9040e3-60d5-40d5-9088-1b8af8736ef0,3846
7815a6e7-efcb-4673-b3b6-39f2774b63e9,3965
f3c87bbb-9498-46d1-b766-a2c61b45f611,3967
520436b8-e16d-4835-8524-75483e06de4a,3968
fd696720-f5df-4ecf-88a9-695a018f4017,3970
cc150b19-4d28-464a-8919-8f899cb76db3,3975
a078069a-3b15-49b1-9c30-cffa06274c4c,4020
904e3bad-ed6c-425b-b12f-9409185dbaa9,4021
4c0e2721-1617-47b8-b395-f04dd12d01e9,4022
c756aca5-b72b-48ee-aaa6-795bdacf1168,4024
fcf6a879-b5bc-48e5-877f-0143372c6c50,4025
35942d15-0860-45d1-bc72-4935f4f33ea2,4026
8f2ce915-262f-4fa9-8223-22a6ef375378,4027
bf760d4f-dcf3-4cd5-a985-b15cc2987fe3,4028
0d19561c-d009-4be6-928d-0940f1be8906,4030
e2eeb751-a87f-4de3-af96-11530d813a49,4034
45038c1e-e99c-4921-b661-005b37378a66,4036
1c2df3ab-2331-408a-84b1-5860357db2f2,4037
c4034bed-d71c-4384-9129-c7be55c64213,4038
d39f0467-9dc1-42a8-9dca-44cf65f7bdd2,4040
1b0a3b3f-58d2-459c-9ed4-da152abfc0e7,4041
50277ede-d07f-4fa8-b6a9-333ef890c02a,4043
ebd6663d-b2af-4825-b37e-2607b58f3d08,4044
2dc9201b-630f-4d7a-b2c8-a391ead1e22c,4045
6f520e61-03d7-408d-9595-379c01144f0b,4047
1bc34ae7-5ec9-4765-9513-5014502fa624,4048
b6f7adbe-202c-4b58-870c-f2917f27adec,4049
bf2d9f0d-7d80-4d76-ac53-16fbdcd8c200,4051
1f859f8d-be98-43ca-9883-369286bfe836,4052
b8c0913c-7a05-47b6-8894-9e52786a1b1b,4053
a02fcf9e-377c-4255-896d-6af21e40905d,4055
7b36417a-80f3-47f6-8b3f-7372cfd01a3e,4058
6241c4a6-400e-44c6-80fc-729e01cb644d,4060
05a48a65-9d2c-44a9-b40a-dd9c7d6a34db,4061
a1758045-ca81-46d1-aa54-f4f510c0d84d,4062
af711e7e-574a-4dc6-b73d-613f9b679839,4064
0a1392e9-5a89-4cfa-97be-82d6c00985e9,4066
175a2715-5a1e-43ed-9428-afbad33f0cb1,4067
d883f490-877a-4e24-9620-9b4a1be461b1,4068
560cda0a-32a7-4694-b90c-5314ff5eb5c3,4070
5a36846b-38f4-49b2-84df-f614c893bbca,4072
b8082183-3971-47ff-81b6-0461414b606f,4073
babf9685-2d0e-4c17-883a-47f8d34d79fa,4074
8149a605-2a0f-491c-8e8c-50f3cbf9557d,4075
a82f2b19-43b9-4136-be82-1f68c4519d1f,4076
9e74270d-ad83-4b15-97f9-dc57c2f970da,4077
710eb968-8c5c-4fa5-b34e-e9d65cc95768,4079
5bd1d303-ed01-4680-a2f7-2674f253d515,4080
ab6db578-b8b9-4ba3-883d-ed6445695ab7,4081
42cfda0b-ee75-438d-b0a8-0b459f7aeb39,4082
6e0b0fe1-2241-461c-85cf-3362839e0f2d,4084
02ba255b-4cd0-4189-bb0a-e3ca01612c49,4086
5e87a61d-cd0b-4adf-b925-706160ba78b7,4087
1d8d73c0-19d4-42e4-b788-7d0517dbd30e,4088
c73d8458-73cf-4677-8e78-be5d7d246071,4092
d299fa10-c7c7-4803-9cbe-16e1fb6732e0,4095
232ac779-89d8-44da-a266-175edd08012d,4096
c39f2a27-ff4d-472b-a3a8-32e702b6598b,4098
4a065e7a-4b02-47a9-a5e9-6abd110f9372,4100
035c5c9e-ac90-4b09-b493-34b98317c658,4101
71fdd2a0-d38a-4de9-94af-820413c5f7fd,4102
52e006b3-1618-4013-b80d-2c638da559ac,4103
df91cf2e-fdae-4fc6-b908-49f2e4eb3fe3,4105
52f07b92-2a7c-4543-b844-2afecf53dbcd,4107
b2ddee04-e23a-4755-9052-f448851b0b1b,4108
795c25fd-e3ac-43a2-bd80-3125e8d5b131,4110
fdc89c6a-865a-42b4-b58e-f4d0a9a71230,4112
22eba46f-37c2-4f39-a6c3-18ffdabf5eaa,4115
3aa5c8d5-3cf9-4dca-a09c-7ad3e49d7efc,4116
6e1d4d79-7b67-4afa-8e06-2683b7695db1,4117
5f714d89-d34c-475c-8542-28449ce33a3e,4118
ab83eb15-bfbc-42e8-af7e-a1b510482511,4119
e583102c-4279-4f71-9947-e47833b26e02,4120
f81aac25-4cea-4a19-977e-f7a124a23581,4122
d7d776ed-5ee6-4cdc-8afe-e253499df75a,4123
7b6bfbeb-129e-4ffc-a8de-33f691b8aa4a,4124
d654fb72-562b-4456-a6c2-438488dacc8d,4126
553af34d-df1b-47c3-838a-6e3aeac7a098,4128
89b329ff-36f4-4761-bf36-d3aa8918bc43,4129
8b1a2e7c-d9b4-4c3a-8739-7314172d385a,4133
2ec5732b-4adc-44d3-9123-52833668aecd,4134
2b228f2d-7936-4c11-8e85-b4c217162c4a,4136
77570719-0f28-4336-af58-b05c016c2a62,4138
493844d4-3648-44a8-9d44-89d185c7327f,4139
3b6e857f-48cb-4b66-a710-ae91e4c84089,4140
84ffe9c1-4684-4e6c-8fd8-1e3a6da7246e,4141
46e10a9b-f0c3-4825-b8e4-b5f8b4de3771,4142
b03d18af-6e50-44f1-a68e-f61c16963abb,4144
1f1ffc9c-4edb-4b80-82d8-c88660843c95,4145
73743403-11f8-402a-a87a-b6602639358a,4148
60aa3a38-6b69-4699-b038-6cbed9fa5961,4149
bec61489-3055-4311-bcc0-0e2681525b7b,4150
af73d1c2-e1e5-46ef-9bd9-507c7f8a087d,4164
e2445397-1414-4233-85f3-1a0997f0b1b4,4165
dafecd5a-0813-4e44-8567-c10ea6d5da60,4166
d62215a1-9c05-43d7-b9ce-bd09cce925ba,4170
4164efe5-d9a0-4056-8f45-c9d0439f9eaa,4172
d569f9e1-43db-44fb-bdaa-ea1f2ec1f84a,4173
90d38d02-7896-467b-a6dd-3c1fb3261a9a,4174
debd5489-3d9b-420b-b0bc-0f1935f9de38,4175
97f53dda-f033-4594-8923-133745c8d035,4176
2baf17d1-f721-41be-bfec-efcb7b5afa0e,4177
19490c44-02e3-429e-a3e0-68d5a89afedd,4178
8eb51391-3807-49da-945d-b293285af26f,4179
f66d4817-9cf2-4028-bb65-7f80b92f35f9,4180
ccbdafe7-85d1-437b-a6eb-30e0c7031251,4181
36710b8c-7c9e-488e-95f8-7e63f6b7ad2e,4182
aa4293c3-31eb-4ae4-9ba3-12cacbf416c6,4185
df8b6d5d-b143-49ae-ade2-8414c2ff3f70,4186
bde26572-a7ab-4f3d-a117-43d8c1dc99fe,4189
87019bdc-9c4b-4cc8-8e6c-3e62c5a23fa7,4190
1155dcf2-481a-4741-a430-5800b5097a8b,4191
cf084beb-2287-4f2b-80e7-6760e96b21c4,4192
fba175eb-4e69-4f5a-9d7c-a3825b703fd6,4193
2a069105-3625-46a9-9ebe-08f220845eda,4194
dca85b0b-897e-4403-943d-7e742a7e6a96,4195
c053f55b-959b-4719-873c-ee9d1f02d653,4196
ae040621-7ad7-4277-b834-7a3967adcac9,4199
43f751eb-47c0-4daa-8edb-0c9bfc13263f,4200
188fdc1a-27b5-480b-b1fd-191305f127a4,4201
6a66ed08-5e83-4be5-9ee7-2547e47090ac,4202
77212a1a-d085-473c-bedf-78246eb03bbf,4204
0d6e1b67-7d61-4b35-a93a-90ba6494cae9,4205
d5e5d96e-66aa-4dcc-bfaf-660a368dce9c,4206
cc5038cc-f413-4bcb-9255-be597726e304,4207
d4916c2f-fa57-47ea-958c-a07c4b8ee496,4211
2d4daa3e-864f-4749-aebe-ce324b88669f,4212
7bb83d40-19fd-43fd-9561-7e0d9c23c839,4216
635dd3ca-e195-45c4-8f6e-9d71c1b7c17e,4217
09cc81c3-d3b5-45df-b5ed-2731bfc9e22a,4218
25393414-7bb1-45dd-bf1e-be5d70aa436b,4220
72457d23-76cc-43e0-b226-fa43eeabe857,4223
3d5a4579-689a-4143-889d-769605326ecc,4226
436419f3-1339-4a07-b8b8-124033ebcd1b,4228
c590506c-a133-4800-8b3f-0360e047dd79,4229
7535c8da-2ae4-446f-beb3-f0d95d173dcf,4230
093b5b92-0b48-4d52-9d6b-9ee4c1b053b5,4234
6c2dd846-2600-46f4-9711-2dc3e1791453,4235
29cc38b4-aef6-423c-a546-02ddf978351c,4236
d86cf606-74c8-4fdd-952c-aca897579771,4237
384a373b-34e9-445d-b612-bbfe329ffbf5,4240
c798d309-4b96-4d0f-b43c-0d7f8a735c09,4241
ad03d48c-75fb-4d8a-bec4-6bd72437c55d,4242
3a73de29-6fc2-47ce-b10e-107d847a58ba,4245
5faa44d2-89c5-4fe0-af4c-45ccc3865211,4246
11462d67-849d-43c1-893f-325f903ea699,4249
be215cfd-8989-4b52-b737-5f708609494f,4250
3afca4b0-842a-46fc-b30b-174e97f87c85,4251
bacc0d9c-35a3-411e-9ab6-37d67f3350b8,4254
0069bb40-ebbd-460d-b4ee-35f80652765b,4255
54826805-81eb-4073-b5bc-c3e177afc03b,4257
0955ff57-5035-467a-9d0d-728dbe221603,4258
407b1b35-1333-4b89-bf26-beaa462a0f3a,4259
d0250d16-612f-4b23-8618-3d1e4323a503,4260
8d81d846-8d0e-4a0f-9b72-f9954260f80b,4262
c9c8c2d5-b099-435f-bddc-467679c44f4f,4263
edd79c7b-6f4f-411f-a306-ff59a8f09829,4264
d09a0983-a9f6-4006-ad92-e04ea28116d2,4266
7af4e797-f0ea-4e2e-8bcc-0f9750360a9e,4268
8a66fe1d-1212-44dd-a8a4-f9ea76e7502d,4269
3a4e5490-a540-42e3-a2c7-e4353d6b9a51,4271
304b7aac-ad8e-47af-bb32-184dd7f4d729,4272
958381d6-3825-42ef-82b2-7dfb91bffacf,4273
8612cac8-70c4-4189-9476-43dd725c9832,4275
6350f5c1-cfa9-42d3-afdf-f85505eb7fc7,4276
51fe3d8c-9ec9-4bea-926e-9d13fc27889c,4277
8317eed5-8d5a-4738-928e-1de7e9a4ebd2,4278
2196c351-99b8-4f0a-9dab-32cf559620f8,4279
3ae1844e-b131-44bc-837a-aee3b2e56a5c,4284
1c2c35f4-31a4-4ade-b1b8-5285df6eb26c,4286
5dbf2f54-5d0e-40c5-8b02-f85437ee207c,4287
56f0515c-ade3-4ee0-a5d3-2e5cc876b484,4288
23fa90b7-83c6-47ec-9e36-08e7a28ad8e7,4289
694d4eab-2ae1-4440-ae41-f7d25457804e,4290
308b88ae-42ac-46b3-a6ea-e0797f3e19a3,4291
5b194d5a-f34d-4f63-898e-b46325235084,4308
b884405a-3ec8-4256-80ce-fb3b27468c3c,4311
