_id,mItemPath,mDate,mOperationType,mItemCount,mFolderCount,mPageType,mOperationResult
1,,2021-05-05 04:21:50:419,TRASH_EXPIRATION,0,0,NONE,
2,,2021-05-05 04:22:51:352,TRASH_EXPIRATION,0,0,NONE,
