id,availMem,cached,running,checkTime
81,3180140,2330823,1578330,1618685176549
82,2996724,1574736,2375160,1618699580131
83,2903864,1742996,1977824,1618714277964
84,2983976,1765273,1987470,1618729219947
85,3122156,1602330,1978082,1618743979129
86,3046332,1753197,1957971,1618759278638
87,3250208,1588176,1837909,1618773839404
88,3438352,1533292,1801301,1618788444240
89,3380024,1694609,1815392,1618803079199
90,3420108,1838486,1644958,1618818379030
91,3492712,1682833,1666061,1618833678775
92,3579100,1560493,1765468,1618848978609
93,3708300,1643064,1638578,1618864279407
94,3921188,1282483,1635217,1618879579340
95,3661808,1747540,1655723,1618894878340
96,3697244,1667932,1666433,1618910179112
97,3576436,1792199,1686303,1618925479037
98,3637840,1704245,1692154,1618940778836
99,3887496,1169614,1702302,1618956079750
100,3424880,1703967,1599619,1618971379837
101,3448032,1680077,1652349,1618986679798
102,3487428,1678971,1611653,1619001979430
103,3488172,1764500,1578095,1619017279425
104,3747756,1461469,1594533,1619032580473
105,3655012,1560128,1621267,1619047879154
106,3722688,1442484,1586204,1619063178966
107,3801952,1317794,1673112,1619078478639
108,3827472,1228565,1693152,1619093478722
109,3382448,1579308,2116950,1619108156394
110,3186648,1494591,1961833,1619123179348
111,3254884,1462171,1848977,1619138479413
112,3367392,1333691,1853765,1619153779090
113,3189256,1622013,1838446,1619169079115
114,3415488,1415078,1814525,1619184378873
115,3440680,1392867,1814525,1619198849654
116,3563168,1440386,1854593,1619214079374
117,3420232,1729096,1825318,1619229378418
118,3868972,1246460,1485708,1619244679063
119,4001104,1034065,1486551,1619259978774
120,3670188,1459246,1577463,1619275278960
121,3565996,1408466,1436507,1619290592298
122,3422704,1550841,1583991,1619304979586
123,3629836,1744674,1249798,1619320278846
124,3631676,1780872,1225773,1619335579401
125,3850292,1440562,1251396,1619350879089
126,3504848,1523707,1751418,1619365778079
127,3503676,1764997,1575922,1619380879100
128,3433908,1959055,1350900,1619396178924
129,3614588,2127326,1279533,1619410742049
130,3646904,1948816,1336014,1619425578727
131,3581496,1829624,1509274,1619440162883
132,3596448,2010778,1334902,1619454583986
133,3292800,1423329,2050747,1619483184030
134,3153532,1862964,1362426,1619498475422
135,3982144,716169,1482800,1619513174891
136,3462080,1641436,1415217,1619528476352
137,3410536,1904678,1496719,1619543774939
138,3464060,1932947,1504655,1619559075805
139,3512364,1870392,1418681,1619574376914
140,3567196,1814790,1479307,1619589676945
141,3669636,1775786,1438495,1619604974942
142,3587936,1784754,1503413,1619620275629
143,3602540,1672846,1506236,1619635575465
144,3623764,1680397,1558208,1619650887049
145,3901688,1409585,1384820,1619666174431
146,3389752,1872567,1405360,1619681476054
147,3675312,1798999,1459699,1619696776862
148,3683396,1793353,1459699,1619712073981
149,3550928,1382712,1810854,1619726502828
150,3610120,1532978,1688626,1619741476585
151,3578064,1640446,1616328,1619756776415
152,3517940,1734156,1625150,1619772076384
153,3639624,1570632,1718391,1619787376357
154,3599124,1574326,1722036,1619802676250
155,3646464,1595684,1749317,1619817974991
156,3693296,1711738,1636976,1619832908998
157,3660580,1691613,1632851,1619847275121
158,3623336,1683507,1654614,1619862075730
159,5647468,380265,248873,1620170448179
160,5655568,380265,248873,1620186589157
161,5671612,382563,241683,1620201748899
162,4075712,1535960,1568499,1620202441396
163,4463692,785845,1114903,1620202913905
164,4445884,1343557,1133451,1620218091503
165,4373876,1372313,1143907,1620232970310
