data,pk
b'\n\x18com.zhiliaoapp.musically\x12\n\x08\x92\xe6\x91\xef\x8b/\x10\xdf\t',com.zhiliaoapp.musically
b'\n\x13com.facebook.katana\x12\n\x08\x81\xcf\xf1\xb1\x8e/\x10\xa3\x01',com.facebook.katana
b'\n\x15com.instagram.android\x12\n\x08\x82\xab\x8f\x9a\x97/\x10\xcf\x01',com.instagram.android
b'\n\x17com.netflix.mediaclient\x12\n\x08\xad\xeb\xcb\xeb\xa1/\x10\xbb\x01',com.netflix.mediaclient
