_id,key,value,timeStamp
2,PowerMode5G,"PSM_5G_MODE : null, need to init",1611196541085
3,ACTION_BATTERY_DETERIORATION,This country does not support Battery Deterioration !!,1611196547142
20,AnomalyNotification,Notified : com.google.android.apps.maps / reason : 4 / type : 2 / restrictionType : 0,1619493949033
26,ACTION_BATTERY_DETERIORATION,This country does not support Battery Deterioration !!,1620202904357
38,AnomalyNotification,Notified : com.google.android.apps.maps / reason : 4 / type : 2 / restrictionType : 0,1621125230107
51,Anomaly_FilterOut_2,"filtered : com.microsoft.office.outlook / reason : isSystemApp : false, shouldRemoveFasTable : false, shouldHideAnomaly : false, isIgnoringBatteryOptimizations : false, hasPkg : com.microsoft.office.outlook [10287] is in FAS table, isSystemUid : false, isExcessiveBackgroundAnomaly : false, isAlreadyRestricted : alreadyRestriced",1622046920352
52,Anomaly_FilterOut_2,"filtered : com.microsoft.office.officehubrow / reason : isSystemApp : false, hasPkg : com.microsoft.office.officehubrow [10289] is in FAS table, shouldRemoveFasTable : false, shouldHideAnomaly : false, isIgnoringBatteryOptimizations : false, isSystemUid : false, isExcessiveBackgroundAnomaly : false, isAlreadyRestricted : alreadyRestriced",1622047417282
54,AutoOpt,Optimization took 738,1622099070923
55,Anomaly_FilterOut_2,"filtered : com.duckduckgo.mobile.android / reason : isSystemApp : false, shouldRemoveFasTable : false, shouldHideAnomaly : false, isIgnoringBatteryOptimizations : false, hasPkg : com.duckduckgo.mobile.android [10304] is in FAS table, isSystemUid : false, isExcessiveBackgroundAnomaly : false, isAlreadyRestricted : alreadyRestriced",1622609919275
56,Anomaly_FilterOut_2,"filtered : com.venmo / reason : isSystemApp : false, hasPkg : com.venmo [10305] is in FAS table, shouldRemoveFasTable : false, shouldHideAnomaly : false, isIgnoringBatteryOptimizations : false, isSystemUid : false, isExcessiveBackgroundAnomaly : false, isAlreadyRestricted : alreadyRestriced",1622610011621
57,Anomaly_FilterOut_2,"filtered : com.microsoft.office.outlook / reason : isSystemApp : false, shouldRemoveFasTable : false, shouldHideAnomaly : false, isIgnoringBatteryOptimizations : false, hasPkg : com.microsoft.office.outlook [10287] is in FAS table, isSystemUid : false, isExcessiveBackgroundAnomaly : false, isAlreadyRestricted : alreadyRestriced",1622610061091
61,AutoOpt,Optimization took 923,1622790212773
62,dmtsysabnormal,Server Version : -1Local Version : 2018010100,1622859817304
63,dmtsysabnormal,Server Version : -1Local Version : 2018010100,1622859819042
64,AnomalyNotification,Notified : com.google.android.apps.maps / reason : 4 / type : 2 / restrictionType : 0,1622917553106
