start_time,end_time,drain_type,power,used_time
1626377883746,1626378030450,7,0.5374610555552408,146
1626385896766,1626386625484,7,2.149352972222222,678
1626386625484,1626387526409,7,1.7859425833333331,808
1626387526409,1626388285730,7,1.9571453888888888,901
1626388285730,1626389184589,7,2.7910953055555563,898
1626389184589,1626390084589,7,2.1005541111111103,900
1626390084589,1626391284594,7,2.6755946944444453,1199
1626391284594,1626392185567,7,1.9742252777777782,900
1626392185567,1626393027784,7,1.92091947222222,842
1626393027784,1626393984497,7,2.481329944444443,956
1626393984497,1626394885501,7,1.9200018333333375,900
1626394885501,1626395784567,7,1.9566274166666666,899
1626395784567,1626396684551,7,1.930621638888887,900
1626396684551,1626397584472,7,1.9045412500000012,899
1626397584472,1626398484534,7,1.9767754166666656,900
1626398484534,1626399385462,7,1.9511708333333324,900
1626399385462,1626400072072,7,1.4861302500000022,686
1626400072072,1626400683336,7,2.136607055555551,601
1626400683336,1626401485133,7,1.9081982500000052,767
1626401485133,1626402685270,7,2.0882296388888903,945
1626402685270,1626403746144,7,2.7422227499999963,1282
1626403746144,1626404784447,7,2.4967900277777773,1116
1626404784447,1626405685451,7,1.9654576944444457,900
1626405685451,1626406584445,7,1.8993026666666708,899
1626406584445,1626407484455,7,2.8447352499999923,899
1626407484455,1626408385463,7,1.9369693333333373,901
1626408385463,1626409284406,7,1.913656027777776,898
1626409284406,1626410184395,7,1.919579027777779,899
1626410184395,1626411085416,7,1.9938352500000036,901
1626411085416,1626411985334,7,1.9009016111111023,899
1626411985334,1626412885425,7,1.9043708888888986,900
1626412885425,1626413326391,7,0.9899080555555457,441
1626413326391,1626414388025,7,2.7334014722222264,1027
1626414388025,1626415461085,7,2.0413818333333325,932
1626415461085,1626416485317,7,2.6067106111111116,1198
1626416485317,1626417384124,7,1.9740856388888943,898
1626417384124,1626418284163,7,2.1009170277777827,900
1626418284163,1626419185425,7,1.9764999166666541,901
1626419185425,1626420084157,7,1.9068995833333418,898
1626420084157,1626420985267,7,1.9053396944444358,901
1626420985267,1626421885240,7,1.9166428611111144,899
1626421885240,1626422785299,7,1.958289861111112,900
1626422785299,1626423685272,7,1.9592530555555498,899
1626423685272,1626424585212,7,1.9016056111111084,899
1626424585212,1626425485337,7,2.0145656388888966,900
1626425485337,1626426385200,7,1.9013042777777684,899
1626426385200,1626426992175,7,1.3085043888888919,606
1626426992175,1626428122154,7,3.2634649999999965,1130
1626428122154,1626429085272,7,2.1098029444444535,963
1626429085272,1626429985227,7,1.9036173888888896,899
1626429985227,1626430885508,7,1.9679562500000003,900
1626430885508,1626431785166,7,1.9554946666666666,899
1626431785166,1626432685389,7,1.916208972222222,900
1626432685389,1626433585132,7,1.929834277777772,899
1626433585132,1626434485265,7,1.9908901944444608,900
1626434485265,1626435385136,7,2.0082023333333296,899
1626435385136,1626436285140,7,1.9137899722222045,900
1626436285140,1626437185154,7,1.9818321944444648,899
1626437185154,1626438085172,7,1.9276206388888824,900
1626438085172,1626438985151,7,2.049656749999997,899
1626438985151,1626439885072,7,1.9012773611110987,899
1626439885072,1626440785139,7,1.999560166666683,900
1626440785139,1626441685300,7,1.905525499999996,899
1626441685300,1626442585110,7,1.9411831388889027,899
1626442585110,1626443485151,7,1.9608592777777574,899
1626443485151,1626444385024,7,1.9150828888888896,899
1626444385024,1626445285083,7,1.905885611111131,900
1626445285083,1626446185119,7,2.0173288333333232,899
1626446185119,1626447085159,7,1.9485139166666556,900
1626447085159,1626447985052,7,1.976507055555544,899
1626447985052,1626448885057,7,2.6153952500000344,899
1626448885057,1626449785024,7,1.9571731111111035,899
1626449785024,1626450685033,7,1.920723666666646,900
1626450685033,1626451584927,7,1.924472250000008,899
1626451584927,1626452485015,7,1.9680236111111071,900
1626452485015,1626453385118,7,1.9720165555555695,899
1626453385118,1626454285989,7,1.9485595555555335,901
1626454285989,1626455184970,7,1.9691874166666707,898
1626455184970,1626456085006,7,1.9442749444444587,900
1626456085006,1626456754564,7,1.9214706666666928,669
1626456754564,1626457660044,7,2.063000666666653,905
1626457660044,1626458565962,7,2.0473586944444264,905
1626458565962,1626459231095,7,1.6200300277777728,665
1626459231095,1626459930340,7,2.7118115277777974,699
1626459930340,1626460585212,7,1.469300249999975,654
1626460585212,1626461485924,7,2.2501171944444422,900
1626461485924,1626462213965,7,1.5863880555555454,728
1626462213965,1626463284941,7,2.4654156666667006,1070
1626463284941,1626464185898,7,1.9889665555555496,900
1626464185898,1626465084878,7,1.9469249722222344,899
1626465084878,1626465760000,7,1.48604813888889,675
1626465760000,1626466884920,7,2.766620666666654,1124
1626466884920,1626467784896,7,1.9750891111111173,899
1626467784896,1626468684890,7,1.9067220277777608,900
1626468684890,1626469584899,7,1.9205889166666736,899
1626469584899,1626470484838,7,1.9561637222222146,899
1626470484838,1626471385160,7,1.9563940000000173,900
1626471385160,1626472160499,7,1.63140333333331,775
1626472160499,1626472983832,7,2.123521000000011,823
1626472983832,1626473871819,7,1.9515964722222066,887
1626473871819,1626474984809,7,2.378430666666702,1112
1626474984809,1626475885018,7,2.0045249444444266,900
1626475885018,1626476784160,7,1.9867946944444554,899
1626476784160,1626477684803,7,1.9029833888888845,900
1626477684803,1626478584833,7,1.925313861111107,899
1626478584833,1626479484780,7,1.9983822777777789,900
1626479484780,1626480384787,7,1.968249611111105,900
1626480384787,1626481284754,7,1.904053861111123,899
1626481284754,1626482184758,7,1.9821153333333257,900
1626482184758,1626483084782,7,2.0021711666666704,900
1626483084782,1626483985718,7,1.9305345277777803,900
