ID_A,STICKER_PACKAGES_ID,PKG_NAME_A,LOCALES,STRING,EXTRA_A1,EXTRA_A2,EXTRA_A3
1,1,com.samsung.preload.Pocket_Fox.stickerb1,en,Pocket Fox sticker set,,,
2,1,com.samsung.preload.Pocket_Fox.stickerb1,en_US,Pocket Fox sticker set,,,
3,1,com.samsung.preload.Pocket_Fox.stickerb1,en_CA,Pocket Fox sticker set,,,
4,1,com.samsung.preload.Pocket_Fox.stickerb1,sq_AL,Paketa e adezivëve Pocket Fox,,,
5,1,com.samsung.preload.Pocket_Fox.stickerb1,ar,مجموعة ملصقات Pocket fox,,,
6,1,com.samsung.preload.Pocket_Fox.stickerb1,hy_AM,Գրպանի աղվեսի պիտակների լրակազմ,,,
7,1,com.samsung.preload.Pocket_Fox.stickerb1,as,পকেট ফক্স ষ্টিকাৰ ছেট,,,
8,1,com.samsung.preload.Pocket_Fox.stickerb1,az_AZ,Pocket Fox stiker dəsti,,,
9,1,com.samsung.preload.Pocket_Fox.stickerb1,eu_ES,Pocket Fox sticker sorta,,,
10,1,com.samsung.preload.Pocket_Fox.stickerb1,be_BY,Набор стыкераў Pocket Fox,,,
11,1,com.samsung.preload.Pocket_Fox.stickerb1,bn_IN,পকেট ফক্স স্টিকার সেট,,,
12,1,com.samsung.preload.Pocket_Fox.stickerb1,bn_BD,Pocket Fox স্টিকার সেট,,,
13,1,com.samsung.preload.Pocket_Fox.stickerb1,bs,Set naljepnica Pocket Fox,,,
14,1,com.samsung.preload.Pocket_Fox.stickerb1,bg,Комплект стикери на Pocket Fox,,,
15,1,com.samsung.preload.Pocket_Fox.stickerb1,ca,Conjunt d'adhesius Pocket Fox,,,
16,1,com.samsung.preload.Pocket_Fox.stickerb1,zn_CN,口袋狐狸贴纸包,,,
17,1,com.samsung.preload.Pocket_Fox.stickerb1,zn_HK,Pocket Fox 貼紙集,,,
18,1,com.samsung.preload.Pocket_Fox.stickerb1,zn_TW,Pocket Fox 貼圖組,,,
19,1,com.samsung.preload.Pocket_Fox.stickerb1,hr,Set naljepnica Džepna lisica,,,
20,1,com.samsung.preload.Pocket_Fox.stickerb1,cs,Sada nálepek Pocket Fox,,,
21,1,com.samsung.preload.Pocket_Fox.stickerb1,da,Pocket Fox-stickersæt,,,
22,1,com.samsung.preload.Pocket_Fox.stickerb1,nl,Pocket Fox-stickerset,,,
23,1,com.samsung.preload.Pocket_Fox.stickerb1,et_EE,Taskurebase kleebiste komplekt,,,
