_id,storyId,featureType,timestamp,videoTrackUrl,remoteSequenceMax,numPrefetchedBytes
1416,16::4918328776458256#2736833847873536::1619431223000,1,1626288015334,https://cf-st.sc-cdn.net/d/3MZxlPA5dLm1L4t6dXrh0.1413.RZETOYY.mpd?mo=GuYCGiISFTFXaHNzSDZHT3pvTzNTbDhNNFZuYhoAGgAyAQRQBWABWhVMb25nZm9ybVZpZGVvVmFyaWFudHOiAT0IswkiOAo2EidVNjhUdkw3RDZPc2NDTlhBbU05a3AuMTIwMy5SWkVUT1lZLm0zdTg6AX1CBgiHmpiEBkgCogFaCIULEhwKGkoYChMfFA4PCxkKCwYKCBYHCAcGBRQFEPQDIjcKNRImM01aeGxQQTVkTG0xTDR0NmRYcmgwLjE0MTMuUlpFVE9ZWS5tcGQ6AX1CBgiHmpiEBkgCogE9CM4JIjgKNhInZUhUd0JFUzRQbWIwd0hzRmQzcXhVLjEyMzAuUlpFVE9ZWS5tM3U4OgF9QgYI0JqYhAZIAqIBPQjPCSI4CjYSJ3ZMRFJhaDFDYlRTNWcxZ0tsb3VpWi4xMjMxLlJaRVRPWVkubTN1ODoBfUIGCIuamIQGSAKiAQsIASIHCgUyAX1IAQ%3D%3D&uc=5,48.0,0
1431,5e06f70c-3a2c-46dc-b356-7e9596b9c9ed,1,1626288015310,,10.0,0
1432,d7dd171f-e4e1-4f90-a8ad-781e916f3562,1,1626288015320,,3.0,0
1433,20d053d2-90bf-431e-9bed-9a6d55614074,1,1626288015322,,7.0,0
1434,19::d7a7ebeb-0fe4-4035-bb72-01fc812b0e6c::846051218146196,1,1626288015327,,,0
1435,19::ffffffff-ffff-ffff-ffff-ffffffffffff::846051218146196,1,1626288015327,,,0
1436,16::5118067394478080#1999074021937152::1626267600000,1,1626288015333,,12.0,0
1437,16::6066054247481360#626884102735872::1626256847000,1,1626288015333,https://cf-st.sc-cdn.net/d/nld0r8m1CYY3dUaWzzYi1.1413.mpd?mo=GucCGgsaABoAMgEEUAVgAVoVTG9uZ2Zvcm1WaWRlb1ZhcmlhbnRzogEYCLIJIhMKDToBfUIGCPb0oocGSAISACAVogE2CIULEhwKGkoYChMVEwsGDhMNCQ8OCAwJDwkQDg8EEPQDIhMKDToBfUIGCPb0oocGSAISACAWogE2CIYLEhwKGkoYChMVEwsGDhMNCQ8OCAwJDwkQDg8EEPQDIhMKDToBfUIGCPb0oocGSAISACAWogE2CIcLEhwKGkoYChMgFxIHEhMUFRAQCwcNDg8SGwkIEPQDIhMKDToBfUIGCNn0oocGSAISACAWogE2CIgLEhwKGkoYChMVEwsHDRQMCRANCAwJDwkQDw4EEPQDIhMKDToBfUIGCND0oocGSAISACAWogEYCMIJIhMKDToBfUIGCND0oocGSAISACAVogEYCMMJIhMKDToBfUIGCNn0oocGSAISACAVogELCAEiBwoFMgF9SAE%3D&uc=5,54.0,0
1438,16::5400259508568080#2112325328404480::1626278459000,1,1626288015333,https://cf-st.sc-cdn.net/d/r063VlI5qJqXMs16LX07P.1413.mpd?mo=GrsDGgsaABoAMgEEUAVgAVoVTG9uZ2Zvcm1WaWRlb1ZhcmlhbnRzogEYCLIJIhMKDToBfUIGCO38u4cGSAISACAVogE2CIULEhwKGkoYChMZFhgOGRUFBxAQDRQHDAgRDRsNEPQDIhMKDToBfUIGCOz8u4cGSAISACAWogE2CIYLEhwKGkoYChMZFhgOGRUFBxAQDRQHDAgRDRsNEPQDIhMKDToBfUIGCOz8u4cGSAISACAWogE2CIcLEhwKGkoYChMvLB8pJRgSESQfHRMRGhgjIB4bEPQDIhMKDToBfUIGCLr8u4cGSAISACAWogE2CIgLEhwKGkoYChMZFhgOGRUFBhEQDBUHDAgRDRsNEPQDIhMKDToBfUIGCI78u4cGSAISACAWogE2CIkLEhwKGkoYChMcFhEUEBEFBgwPDhEHCwgNDxgNEPQDIhMKDToBfUIGCM_8u4cGSAISACAWogEYCMEJIhMKDToBfUIGCND8u4cGSAISACAVogEYCMIJIhMKDToBfUIGCI78u4cGSAISACAVogEYCMMJIhMKDToBfUIGCLv8u4cGSAISACAVogELCAEiBwoFMgF9SAE%3D&uc=5,54.0,0
1439,16::5124150410346496#160692056616960::1626279060000,1,1626288015333,,35.0,0
1440,16::5075335791771648#2221176656740352::1626170433000,1,1626288015333,,41.0,0
1441,16::6315636286029840#1899019189516288::1625849110000,1,1626288015334,https://cf-st.sc-cdn.net/d/FDdVLUjMX7I8zDfdlcGFS.1413.mpd?mo=GucCGgsaABoAMgEEUAVgAVoVTG9uZ2Zvcm1WaWRlb1ZhcmlhbnRzogEYCLIJIhMKDToBfUIGCN3VoYcGSAISACAVogE2CIULEhwKGkoYChMeEBALBxcNDAkNAQkBCQMFAgwCEPQDIhMKDToBfUIGCN3VoYcGSAISACAWogE2CIYLEhwKGkoYChMeEBALBxcNDAkNAQkBCQMFAgwCEPQDIhMKDToBfUIGCN3VoYcGSAISACAWogE2CIcLEhwKGkoYChM7Kx4aEh8YFxEVAQMCHAsOCgoCEPQDIhMKDToBfUIGCJzVoYcGSAISACAWogE2CIgLEhwKGkoYChMeEBALBxgNCwkNAQkBCQMFAgwCEPQDIhMKDToBfUIGCKfVoYcGSAISACAWogEYCMIJIhMKDToBfUIGCKfVoYcGSAISACAVogEYCMMJIhMKDToBfUIGCJzVoYcGSAISACAVogELCAEiBwoFMgF9SAE%3D&uc=5,40.0,0
1442,16::6327647166267408#2374008248504320::1626044433000,1,1626288015334,https://cf-st.sc-cdn.net/d/PdGTv9hA1c8LTfW6H5v1q.1413.mpd?mo=GucCGgsaABoAMgEEUAVgAVoVTG9uZ2Zvcm1WaWRlb1ZhcmlhbnRzogEYCLIJIhMKDToBfUIGCIXgoocGSAISACAVogE2CIULEhwKGkoYChMVDQkOBQ4GBhQYFC0LEhEICRMHEPQDIhMKDToBfUIGCIXgoocGSAISACAWogE2CIYLEhwKGkoYChMVDQkOBQ4GBhQYFC0LEhEICRMHEPQDIhMKDToBfUIGCIXgoocGSAISACAWogE2CIcLEhwKGkoYChMnGhIRFwwKCUtGOEouLycODw8MEPQDIhMKDToBfUIGCPLfoocGSAISACAWogE2CIgLEhwKGkoYChMVDQkOBQ4GBhQYFC0LEhEICRMHEPQDIhMKDToBfUIGCIXgoocGSAISACAWogEYCMIJIhMKDToBfUIGCIXgoocGSAISACAVogEYCMMJIhMKDToBfUIGCPLfoocGSAISACAVogELCAEiBwoFMgF9SAE%3D&uc=5,47.0,0
1443,16::4884560968679440#2578498131068928::1616454014000,1,1626288015334,https://cf-st.sc-cdn.net/d/4RKkfpajpKXCJ0OIeElsz.1413.mpd?mo=GrwBGgsaABoAMgEEUAVgAVoVTG9uZ2Zvcm1WaWRlb1ZhcmlhbnRzogEYCLIJIhMKDToBfUIGCPKY5IIGSAISACAVogE2CIULEhwKGkoYChMYDg0PEg8JDxUTEBUPFBYYFx4QEPQDIhMKDToBfUIGCPOY5IIGSAISACAWogEYCMAJIhMKDToBfUIGCM-Z5IIGSAISACAVogEYCMEJIhMKDToBfUIGCPKY5IIGSAISACAVogELCAEiBwoFMgF9SAE%3D&uc=5,48.0,0
1444,16::5297934188675088#2801718292934656::1625872508000,1,1626288015334,https://cf-st.sc-cdn.net/d/y7yfEf0aalv6944nOMZ9O.1413.mpd?mo=GucCGgsaABoAMgEEUAVgAVoVTG9uZ2Zvcm1WaWRlb1ZhcmlhbnRzogEYCLIJIhMKDToBfUIGCImto4cGSAISACAVogE2CIULEhwKGkoYChMTCQQTCBkKDAUDAgoKAwMEAhcDEPQDIhMKDToBfUIGCImto4cGSAISACAWogE2CIYLEhwKGkoYChMTCQQTCBkKDAUDAgoKAwMEAhcDEPQDIhMKDToBfUIGCIqto4cGSAISACAWogE2CIcLEhwKGkoYChMfDgssCxUVFQYGBhMGBwcHBRcIEPQDIhMKDToBfUIGCPOso4cGSAISACAWogE2CIgLEhwKGkoYChMTCQQTCBkKDQQDAgoKAwMEAhcEEPQDIhMKDToBfUIGCPeso4cGSAISACAWogEYCMIJIhMKDToBfUIGCPeso4cGSAISACAVogEYCMMJIhMKDToBfUIGCPOso4cGSAISACAVogELCAEiBwoFMgF9SAE%3D&uc=5,44.0,0
1445,16::6349131544789008#408082134949888::1626193548000,1,1626288015334,https://cf-st.sc-cdn.net/d/DLph0o6Vf39CZc4xXeFpV.1413.mpd?mo=GucCGgsaABoAMgEEUAVgAVoVTG9uZ2Zvcm1WaWRlb1ZhcmlhbnRzogEYCLIJIhMKDToBfUIGCL72tocGSAISACAVogE2CIULEhwKGkoYChMgCBILDRwIBQwIBhAJBwgGCxQFEPQDIhMKDToBfUIGCL32tocGSAISACAWogE2CIYLEhwKGkoYChMgCBILDRwIBQwIBhAJBwgGCxQFEPQDIhMKDToBfUIGCL32tocGSAISACAWogE2CIcLEhwKGkoYChNPHCseIR4jEB8TEgwXERMSNBAQEPQDIhMKDToBfUIGCOD1tocGSAISACAWogE2CIgLEhwKGkoYChMgCBILDRwIBQwIBhAJBwgGCxQFEPQDIhMKDToBfUIGCPH0tocGSAISACAWogEYCMIJIhMKDToBfUIGCPH0tocGSAISACAVogEYCMMJIhMKDToBfUIGCOD1tocGSAISACAVogELCAEiBwoFMgF9SAE%3D&uc=5,42.0,0
