tableName,columnId,colName
CliqueAttribute,col1,mediaIdList
CliqueAttribute,col2,Int_count
CliqueAttribute,col3,timestamp
CliqueAttribute,id,id
MediaAttribute,col1,media_id
MediaAttribute,col2,serviceFlag
MediaAttribute,col3,Int_count
MediaAttribute,col4,media_path
MediaAttribute,col5,storage_id
MediaAttribute,col6,story_id
MediaAttribute,col7,timestamp
MediaAttribute,col8,dateTaken
MediaAttribute,col9,selfie
MediaAttribute,id,id
SceneAttribute,col1,sceneName
SceneAttribute,col2,Int_count
SceneAttribute,col3,timestamp
SceneAttribute,id,id
FaceAttribute,col1,group_id
FaceAttribute,col2,faceName
FaceAttribute,col3,Int_count
FaceAttribute,col4,age
FaceAttribute,col5,gender
FaceAttribute,col6,timestamp
FaceAttribute,id,id
LocationAttribute,col1,latitude
LocationAttribute,col2,longitude
LocationAttribute,col3,Int_count
LocationAttribute,col4,locality
LocationAttribute,col5,timestamp
LocationAttribute,id,id
AgeAttribute,col1,type
AgeAttribute,col2,Int_count
AgeAttribute,col3,timestamp
AgeAttribute,id,id
MediaAttribute_Backup,col1,media_id
MediaAttribute_Backup,col2,serviceFlag
MediaAttribute_Backup,col3,Int_count
MediaAttribute_Backup,col4,media_path
MediaAttribute_Backup,col5,storage_id
MediaAttribute_Backup,col6,story_id
MediaAttribute_Backup,col7,timestamp
MediaAttribute_Backup,col8,dateTaken
MediaAttribute_Backup,col9,selfie
MediaAttribute_Backup,id,id
SceneAttribute_Backup,col1,sceneName
SceneAttribute_Backup,col2,Int_count
SceneAttribute_Backup,col3,timestamp
SceneAttribute_Backup,id,id
FaceAttribute_Backup,col1,group_id
FaceAttribute_Backup,col2,faceName
FaceAttribute_Backup,col3,Int_count
FaceAttribute_Backup,col4,age
FaceAttribute_Backup,col5,gender
FaceAttribute_Backup,col6,timestamp
FaceAttribute_Backup,id,id
LocationAttribute_Backup,col1,latitude
LocationAttribute_Backup,col2,longitude
LocationAttribute_Backup,col3,Int_count
LocationAttribute_Backup,col4,locality
LocationAttribute_Backup,col5,timestamp
LocationAttribute_Backup,id,id
MediaRelationship,col1,Face
MediaRelationship,col2,Location
MediaRelationship,col3,Scene
MediaRelationship,id,id
MediaRelationship_Backup,col1,Face
MediaRelationship_Backup,col2,Location
