key,type,value
/config/path_provider/stale_removal/-220558465,1,"{""stale_age_s"":2419200,""feature_name"":""graph_cursor"",""usage_timestamp_s"":1618370076,""stale_timestamp_s"":1620789276,""path"":""\/data\/user\/0\/com.facebook.orca\/files\/graph_cursor""}"
/fb_android/user_last_used_app_time,4,1618370076806
/X.5Vj/X.5WO,4,1618370080500
/settings/connection_manager/conn_tracking/3/3,4,0
/settings/connection_manager/conn_tracking/3/1,4,0
/settings/connection_manager/conn_tracking/3/2,4,3600000
/settings/connection_manager/conn_tracking/3/0,4,0
/settings/connection_manager/conn_tracking/4/2,4,0
/settings/connection_manager/conn_tracking/4/3,4,0
/settings/connection_manager/conn_tracking/4/0,4,3600000
/settings/connection_manager/conn_tracking/4/1,4,0
/config/path_provider/max_size/-220558465,1,"{""feature_name"":""graph_cursor"",""max_size"":524288000,""max_size_low_space_bytes"":209715200,""delete_only_on_init"":true,""path"":""\/data\/user\/0\/com.facebook.orca\/files\/graph_cursor"",""last_measured_size"":0}"
/settings/connection_manager/conn_tracking/5/3,4,0
/settings/connection_manager/conn_tracking/5/1,4,0
/settings/connection_manager/conn_tracking/5/2,4,0
/settings/connection_manager/conn_tracking/5/0,4,3600000
/settings/connection_manager/conn_tracking/6/2,4,2090212
/settings/connection_manager/conn_tracking/6/3,4,0
/settings/connection_manager/conn_tracking/6/0,4,1509787
/settings/connection_manager/conn_tracking/6/1,4,0
/settings/connection_manager/conn_tracking/7/1,4,0
/settings/connection_manager/conn_tracking/7/2,4,3600000
/settings/connection_manager/conn_tracking/7/0,4,0
/settings/connection_manager/conn_tracking/7/3,4,0
/settings/connection_manager/conn_tracking/8/0,4,3600000
/settings/connection_manager/conn_tracking/8/1,4,0
/settings/connection_manager/conn_tracking/8/2,4,0
/settings/connection_manager/conn_tracking/8/3,4,0
/settings/connection_manager/conn_tracking/9/0,4,3600000
/settings/connection_manager/conn_tracking/9/3,4,0
/settings/connection_manager/conn_tracking/9/1,4,0
/settings/connection_manager/conn_tracking/9/2,4,0
/settings/connection_manager/conn_tracking/10/0,4,2056516
/settings/connection_manager/conn_tracking/10/3,4,0
/settings/connection_manager/conn_tracking/10/2,4,1543483
/settings/connection_manager/conn_tracking/10/1,4,0
/settings/connection_manager/conn_tracking/11/3,4,0
/settings/connection_manager/conn_tracking/11/2,4,3600000
/settings/connection_manager/conn_tracking/11/1,4,0
/settings/connection_manager/conn_tracking/11/0,4,0
/settings/connection_manager/conn_tracking/12/3,4,0
/settings/connection_manager/conn_tracking/12/2,4,3600000
/settings/connection_manager/conn_tracking/12/1,4,0
/settings/connection_manager/conn_tracking/12/0,4,0
/settings/connection_manager/conn_tracking/13/3,4,0
/settings/connection_manager/conn_tracking/13/2,4,3600000
/settings/connection_manager/conn_tracking/13/1,4,0
/settings/connection_manager/conn_tracking/13/0,4,0
/settings/connection_manager/conn_tracking/14/3,4,0
/settings/connection_manager/conn_tracking/14/2,4,0
