_id,client_key,group_key,sync_token
3,stickers,StickerPackMetadata	hometab_megapack_mood	,b'\x08\x05\x18\xc9\x88\xd1\xd8\x97/'
4,stickers,StickerPackMetadata	contextual_black_lives_matter_060220	,b'\x08\x03\x18\xd0\x88\xd1\xd8\x97/'
5,stickers,StickerPackMetadata	hometab_megapack_face_body	,b'\x08\x03\x18\xd0\x88\xd1\xd8\x97/'
6,stickers,StickerPackMetadata	hometab_megapack_sky	,b'\x08\x01\x18\xd1\x88\xd1\xd8\x97/'
7,stickers,StickerPackMetadata	contextual_midday_en	,b'\x08\x03\x18\xd1\x88\xd1\xd8\x97/'
8,stickers,StickerPackMetadata	Asian_Heritage_APIDA_Month_050121	,b'\x08\x01\x18\xd1\x88\xd1\xd8\x97/'
9,stickers,StickerPackMetadata	hometab_megapack_arrows_marks_cta	,b'\x08\x02\x18\xd1\x88\xd1\xd8\x97/'
10,stickers,StickerPackMetadata	hometab_megapack_seasons_horo	,b'\x08\x05\x18\xd2\x88\xd1\xd8\x97/'
11,stickers,StickerPackMetadata	hometab_megapack_flowers_plants	,b'\x08\x01\x18\xd2\x88\xd1\xd8\x97/'
12,stickers,StickerPackMetadata	hometab_megapack_hearts	,b'\x08\x03\x18\xd2\x88\xd1\xd8\x97/'
13,stickers,StickerPackMetadata	hometab_megapack_food_drinks	,b'\x08\x01\x18\xd3\x88\xd1\xd8\x97/'
14,stickers,StickerPackMetadata	hometab_megapack_text	,b'\x08\x02\x18\xd4\x88\xd1\xd8\x97/'
15,stickers,StickerPackMetadata	hometab_megapack_objects	,b'\x08\x01\x18\xd5\x88\xd1\xd8\x97/'
16,stickers,StickerPackMetadata	asian_heritage_apida_month_country_050121	,b'\x08\x03\x18\xd7\x88\xd1\xd8\x97/'
17,stickers,StickerPackMetadata	hometab_megapack_sweets	,b'\x08\x01\x18\xd7\x88\xd1\xd8\x97/'
18,stickers,StickerPackMetadata	hometab_megapack_happy_sad_mad_haha	,b'\x08\x01\x18\xd8\x88\xd1\xd8\x97/'
19,stickers,StickerPackMetadata	hometab_megapack_love	,b'\x08\x02\x18\xd8\x88\xd1\xd8\x97/'
20,stickers,StickerPackMetadata	contextual_holiday_stop_asian_hate_041521	,b'\x08\x01\x18\xe3\x88\xd1\xd8\x97/'
21,stickers,StickerPackMetadata	contextual_holiday_covid_vaccine_en_051121	,b'\x08\x01\x18\xa0\x89\xd1\xd8\x97/'
22,stickers,StickerPackMetadata	monday	,b'\x08\x01\x18\xa1\x89\xd1\xd8\x97/'
23,stickers,StickerPackMetadata	hometab_megapack_apparel_props	,b'\x08\x01\x18\xa1\x89\xd1\xd8\x97/'
24,stickers,StickerPackMetadata	hometab_megapack_decoratives	,b'\x08\x01\x18\xa1\x89\xd1\xd8\x97/'
25,stickers,StickerPackMetadata	hometab_megapack_characters	,b'\x08\x03\x18\xa2\x89\xd1\xd8\x97/'
26,stickers,StickerPackMetadata	hometab_megapack_replies	,b'\x08\x03\x18\xa3\x89\xd1\xd8\x97/'
27,stickers,StickerPackMetadata	hometab_megapack_greetings	,b'\x08\x08\x18\xa6\x89\xd1\xd8\x97/'
28,stickers,StickerPackMetadata	hometab_megapack_animals	,b'\x08\x01\x18\xa6\x89\xd1\xd8\x97/'
29,bitmoji_stickers,StickerPackMetadata	bitmoji-en-04:00	,b'\x08\xe2\x80\x02\x18\xd6\x8c\xd1\xd8\x97/'
