history_id,time_stamp,attack_type,reason
1,210403150948,17,setCurrentBss - isBeacon : false - bssid : 87e724aea7e5d6dee6811c05b4d0fb94175f23296912c3e0fe84271733e86f30 - 01088c129824b048606c30140100000fac040100000fac040100000fac020c000b050600270000460572080100002d1aef0917ffff0000000000000000000000000000000000000000003d169d0d16000000000000000000000000000000000000007f080400080000000040bf0cb259810ffaff0000faff0000c005019b000000c30402020202dd7c0050f204104a0001101044000102103b000103104700102915df3266e929444451375a712f9321102100074e657467656172102300074e6574676561721024000631323334353610420007303030303030311054000800060050f2040001101100054336323230100800022008103c0001031049000600372a000120dd090010180206001c0000dd180050f2020101800003a4000027a4000042435e0062322f00
2,210403150949,18,hotspotandroid s 87e724aea7e5d6dee6811c05b4d0fb94175f23296912c3e0fe84271733e86f30 : NOT_DETECTED
3,210403150949,19,hotspotios s 87e724aea7e5d6dee6811c05b4d0fb94175f23296912c3e0fe84271733e86f30 : NOT_DETECTED
4,210403150951,9,"EVENT_CAPTIVE_PORTAL - Status: 0, isExcept: 0"
5,210403150954,8,Beacon timing inspection EVENT: Start on 9f92f6f7efd336857b7df7d27d4e0a4224220caec1354d9a062045d7a1c8853d [87e724aea7e5d6dee6811c05b4d0fb94175f23296912c3e0fe84271733e86f30]
6,210403151001,8,Beacon timing inspection EVENT: Start on 9f92f6f7efd336857b7df7d27d4e0a4224220caec1354d9a062045d7a1c8853d [87e724aea7e5d6dee6811c05b4d0fb94175f23296912c3e0fe84271733e86f30]
7,210403151007,8,"Unstable frames: 0
Beacon loss rate: 0/59 = 0 %
PN Ratio: (39:41)"
8,210403151007,8,Beacon timing inspection EVENT: Estimated as normal on 9f92f6f7efd336857b7df7d27d4e0a4224220caec1354d9a062045d7a1c8853d [87e724aea7e5d6dee6811c05b4d0fb94175f23296912c3e0fe84271733e86f30]
9,210403151007,8,beacontiming s 87e724aea7e5d6dee6811c05b4d0fb94175f23296912c3e0fe84271733e86f30 : NOT_DETECTED
10,210505041320,17,setCurrentBss - isBeacon : false - bssid : 451b117f818782b80c4d74aea783e0ffba5c1f2de62fa286fb135a8ed8f1d22c - 01088c129824b048606c30140100000fac040100000fac040100000fac020c000b050500190000460572080100002d1aef0917ffff0000000000000000000000000000000000000000003d169d0d16000000000000000000000000000000000000007f080400080000000040bf0cb259810ffaff0000faff0000c005019b000000c30402020202dd7c0050f204104a0001101044000102103b000103104700102915df3266e929444451375a712f9321102100074e657467656172102300074e6574676561721024000631323334353610420007303030303030311054000800060050f2040001101100054336323230100800022008103c0001031049000600372a000120dd090010180205001c0000dd180050f2020101800003a4000027a4000042435e0062322f00
