parent_class,child_class,parent_title,child_title
com.android.settings.DisplaySettings,com.samsung.android.settings.display.KeyboardBacklightDurationSettings,Display,Keyboard backlight duration
com.android.settings.development.DevelopmentSettingsDashboardFragment,com.android.settings.development.DevelopmentSettingsDashboardFragment,Developer options,Autofill
com.samsung.accessibility.dexterity.AccessibilitySettingsMobility,com.samsung.accessibility.Activities$AccessibilitySettingsMobilityActivity,Interaction and dexterity,Tap duration
com.samsung.android.settings.lockscreen.LockScreenNotificationSettings,com.samsung.android.settings.lockscreen.LockScreenNotificationSettings,Notifications,Auto-reverse text color
com.samsung.android.settings.connection.WirelessSettings,com.samsung.android.settings.smartbonding.SmartBondingSettings,More connection settings,Download booster
com.android.settings.wifi.ConfigureWifiSettings,com.android.settings.wifi.ConfigureWifiSettings,Advanced,Network diagnostics
com.samsung.android.app.telephonyui.callsettings.ui.preference.CallSettingsActivity$Other call settings,com.samsung.android.app.telephonyui.callsettings.ui.preference.CallSettingsActivity$Other call settings,Other call settings,Show caller information
com.samsung.accessibility.homepage.AccessibilitySettings,com.samsung.accessibility.dexterity.AccessibilitySettingsMobility,Accessibility,Interaction and dexterity
com.samsung.android.app.telephonyui.callsettings.ui.preference.CallSettingsActivity$Answering and ending calls,com.samsung.android.app.telephonyui.callsettings.ui.preference.CallSettingsActivity$Answering and ending calls,Answering and ending calls,Answer automatically
com.android.settings.development.DevelopmentSettingsDashboardFragment,com.android.settings.development.DevelopmentSettingsDashboardFragment,Developer options,Bluetooth PBAP version
com.samsung.android.settings.notification.ConfigureNotificationMoreSettings,com.samsung.android.settings.notification.ConfigureNotificationMoreSettings,Advanced settings,Notification history
com.samsung.android.settings.inputmethod.PhysicalKeyboardFragment,com.samsung.android.settings.inputmethod.PhysicalKeyboardFragment,Physical keyboard,Show on-screen keyboard in Samsung DeX
com.android.settings.development.DevelopmentSettingsDashboardFragment,com.android.settings.development.DevelopmentSettingsDashboardFragment,Developer options,Force 4x MSAA
com.android.settings.wifi.ConfigureWifiSettings,com.android.settings.wifi.ConfigureWifiSettings,Advanced,Switch to mobile data
com.samsung.android.settings.lockscreen.LockScreenSettings,com.samsung.android.settings.lockscreen.LockScreenSettings,Lock screen,Screen lock type
com.android.settings.notification.zen.ZenModeSettings,com.android.settings.notification.zen.ZenModeSettings,Do not disturb,For how long?
com.samsung.android.settings.display.SecFontSizePreferenceFragment,com.samsung.android.settings.display.SecFontStylePreferenceFragment,Font size and style,Font style
com.samsung.android.app.calendar.activity.SettingsActivity,com.samsung.android.app.calendar.activity.SettingsActivity,Calendar settings,Customization Service
com.android.settings.development.DevelopmentSettingsDashboardFragment,com.android.settings.development.DevelopmentSettingsDashboardFragment,Developer options,Smooth Display
com.samsung.android.gallery.settings.activity.SettingActivity,com.samsung.android.gallery.settings.activity.SettingActivity,Gallery settings,Notifications
com.samsung.android.settings.deviceinfo.Status,com.samsung.android.settings.deviceinfo.Status,Status information,Serial number
com.samsung.android.app.settings.SettingsActivity,com.samsung.android.app.settings.SettingsActivity,Screenshots and screen recorder,Hide status and navigation bars
com.samsung.accessibility.vision.viewclear.AccessibilityViewClear,com.samsung.accessibility.Activities$AccessibilityViewClearActivity,Visibility enhancements,Color correction
com.samsung.android.app.settings.SettingsActivity,com.samsung.android.app.settings.SettingsActivity,Screenshots and screen recorder,Screenshot format
com.samsung.accessibility.vision.viewclear.magnifier.ToggleMagnifierPreferenceFragment,com.samsung.accessibility.Activities$MagnifierWindowActivity,Magnifier window,Ignore diagonal movements
com.samsung.android.settings.biometrics.face.FaceEntry,com.samsung.android.settings.biometrics.face.FaceEntry,Face recognition,Faster recognition
com.samsung.android.honeyboard.settings.swipetouchandfeedback.defaultactivity.SwipeTouchGestureFeedBackSettings,com.samsung.android.honeyboard.settings.swipetouchandfeedback.backspacespeed.BackspaceDeleteSpeedSettings,"Swipe, touch, and feedback",Backspace speed
com.samsung.android.settings.nfc.NfcSettings,com.samsung.android.settings.nfc.NfcSettings,NFC and contactless payments,NFC payment services
com.samsung.android.app.telephonyui.netsettings.ui.NetSettingsActivity,com.samsung.android.app.telephonyui.netsettings.ui.NetSettingsActivity,Mobile networks,Network operators
com.samsung.android.settings.autopoweronoff.AutoPowerOnOffSettings,com.samsung.android.settings.autopoweronoff.AutoPowerOnOffSettings,Auto turn on/off,Set a schedule for your device to be automatically turned on or off.
com.android.settings.applications.specialaccess.SpecialAccessSettings,com.android.settings.datausage.UnrestrictedDataAccess,Special access,Allowed to use data while Data saver is on
com.samsung.android.accessibility.talkback.TalkBackDeveloperPreferencesActivity,com.samsung.android.accessibility.talkback.TalkBackDeveloperPreferencesActivity,Developer settings,Echo recognized speech
com.samsung.android.settings.usefulfeature.Usefulfeature,com.samsung.android.settings.activekey.ActiveKeySettings,Advanced features,Active key
com.samsung.android.settings.connection.WirelessSettings,com.android.settings.vpn2.VpnSettingsForATT,More connection settings,VPN
com.android.settings.development.DevelopmentSettingsDashboardFragment,com.android.settings.development.DevelopmentSettingsDashboardFragment,Developer options,Multicore packet scheduler
com.samsung.android.sm.battery.ui.setting.AppPowerManagementActivity,com.samsung.android.sm.battery.ui.setting.AppPowerManagementActivity,Background usage limits,Deep sleeping apps
com.android.settings.development.DevelopmentSettingsDashboardFragment,com.android.settings.development.DevelopmentSettingsDashboardFragment,Developer options,Tethering hardware acceleration
com.samsung.android.gallery.settings.activity.SettingActivity,com.samsung.android.gallery.settings.activity.SettingActivity,Gallery settings,Contact us
com.samsung.android.app.aodservice.settings.AODSettingsMain,com.samsung.android.app.aodservice.settings.AODSettingsMain,Always On Display,Screen orientation
com.sec.android.app.sbrowser.settings.SettingsActivity,com.sec.android.app.sbrowser.settings.SettingsActivity,Personal data,Secret mode settings
com.samsung.android.app.telephonyui.callsettings.ui.preference.CallSettingsActivity,com.samsung.android.app.telephonyui.callsettings.ui.preference.CallSettingsActivity$Supplementary services,Call settings,Supplementary services
com.android.settings.development.DevelopmentSettingsDashboardFragment,com.android.settings.development.DevelopmentSettingsDashboardFragment,Developer options,Show notification channel warnings
com.android.launcher3.settings.SamsungDexLabsOptions,com.android.launcher3.settings.SamsungDexLabsOptions,Labs,Auto open last app
com.android.launcher3.settings.DesktopSettingsActivity,com.sec.android.app.wallpaperchooser.WallpaperSettingsActivity,Samsung DeX,Wallpaper
com.samsung.android.settings.security.BiometricsAndSecuritySettings,com.samsung.android.settings.encryption.CryptSDCardSettings,Biometrics and security,Encrypt or decrypt SD card
com.samsung.android.settings.security.BiometricsAndSecuritySettings,com.samsung.android.settings.security.BiometricsAndSecuritySettings,Biometrics and security,Secure Wi-Fi
com.samsung.android.settings.notification.SecVolumeSettings,com.samsung.android.settings.notification.SecVolumeSettings,Volume,Ringtone
com.samsung.android.settings.usefulfeature.Usefulfeature,com.samsung.android.service.aircommand.settings.SPenSettingActivity,Advanced features,S Pen
com.samsung.android.honeyboard.settings.common.HoneyBoardSettingsActivity,com.samsung.android.honeyboard.settings.common.HoneyBoardSettingsActivity,Samsung Keyboard,Languages and types
com.samsung.android.sm.powermode.ui.PowerModeSettingsActivity,com.samsung.android.sm.powermode.ui.PowerModeSettingsActivity,Power saving mode,Limit CPU speed to 70%
com.sec.android.app.myfiles.external.ui.SettingsActivity,com.sec.android.app.myfiles.external.ui.SettingsActivity,My Files settings,Make the switch to OneDrive
