flags,word,value,confidence,CultureId
256,uno,1,1000,10
256,ún,1,1000,10
258,primero,1,1000,10
258,primera,1,1000,10
258,primeros,1,1000,10
258,primeras,1,1000,10
258,primer,1,1000,10
262,1º,1,1000,10
262,1ª,1,1000,10
256,dos,2,1000,10
256,dós,2,1000,10
258,segundo,2,1000,10
258,segunda,2,1000,10
258,segundos,2,1000,10
258,segundas,2,1000,10
262,2º,2,1000,10
262,2ª,2,1000,10
256,tres,3,1000,10
256,trés,3,1000,10
258,tercero,3,1000,10
258,tercera,3,1000,10
258,terceros,3,1000,10
258,terceras,3,1000,10
258,tercer,3,1000,10
262,3º,3,1000,10
262,3ª,4,1000,10
256,cuatro,4,1000,10
131330,cuarto,4,1000,10
258,cuarta,4,1000,10
258,cuartos,4,1000,10
258,cuartas,4,1000,10
262,4º,4,1000,10
262,4ª,4,1000,10
256,cinco,5,1000,10
256,quin,5,1000,10
258,quinto,5,1000,10
258,quinta,5,1000,10
258,quintos,5,1000,10
258,quintas,5,1000,10
262,5º,5,1000,10
262,5ª,5,1000,10
256,seis,6,1000,10
256,séis,6,1000,10
258,sexto,6,1000,10
258,sexta,6,1000,10
258,sextos,6,1000,10
258,sextas,6,1000,10
262,6º,6,1000,10
262,6ª,6,1000,10
256,siete,7,1000,10
256,sete,7,1000,10
258,séptimo,7,1000,10
258,septimo,7,1000,10
258,séptima,7,1000,10
258,septima,7,1000,10
258,séptimos,7,1000,10
258,septimos,7,1000,10
258,séptimas,7,1000,10
258,septimas,7,1000,10
262,7º,7,1000,10
262,7ª,7,1000,10
256,ocho,8,1000,10
258,octavo,8,1000,10
258,octava,8,1000,10
258,octavos,8,1000,10
258,octavas,8,1000,10
262,8º,8,1000,10
262,8ª,8,1000,10
256,nueve,9,1000,10
256,nove,9,1000,10
258,noveno,9,1000,10
258,novena,9,1000,10
258,novenos,9,1000,10
258,novenas,9,1000,10
262,9º,9,1000,10
262,9ª,9,1000,10
1536,diez,10,1000,10
1538,décimo,10,1000,10
1538,decimo,10,1000,10
1538,décima,10,1000,10
1538,decima,10,1000,10
1538,décimos,10,1000,10
1538,decimos,10,1000,10
1538,décimas,10,1000,10
1538,decimas,10,1000,10
1542,10º,10,1000,10
1542,10ª,10,1000,10
512,once,11,1000,10
514,undécimo,11,1000,10
514,undecimo,11,1000,10
514,undécima,11,1000,10
514,undecima,11,1000,10
514,undécimos,11,1000,10
514,undecimos,11,1000,10
514,undécimas,11,1000,10
514,undecimas,11,1000,10
514,décimo primero,11,1000,10
514,decimo primero,11,1000,10
514,décimo primer,11,1000,10
514,decimo primer,11,1000,10
514,décimo primera,11,1000,10
514,decimo primera,11,1000,10
514,décimoprimer,11,1000,10
514,decimoprimer,11,1000,10
514,decimoprimero,11,1000,10
514,decimoprimera,11,1000,10
518,11º,11,1000,10
518,11ª,11,1000,10
512,doce,12,1000,10
514,duodécimo,12,1000,10
514,duodecimo,12,1000,10
514,duodécima,12,1000,10
514,duodecima,12,1000,10
514,duodécimos,12,1000,10
514,duodecimos,12,1000,10
514,duodécimas,12,1000,10
514,duodecimas,12,1000,10
514,décimo segundo,12,1000,10
514,decimo segundo,12,1000,10
514,décimo segunda,12,1000,10
514,decimo segunda,12,1000,10
514,decimosegundo,12,1000,10
514,decimosegunda,12,1000,10
518,12º,12,1000,10
518,12ª,12,1000,10
576,docena,12,1000,10
576,docenas,12,1000,10
512,trece,13,1000,10
514,décimo tercero,13,1000,10
514,decimo tercero,13,1000,10
514,décimo tercera,13,1000,10
514,decimo tercera,13,1000,10
514,décimo terceros,13,1000,10
514,decimo terceros,13,1000,10
514,décimo terceras,13,1000,10
514,decimo terceras,13,1000,10
514,décimo tercer,13,1000,10
514,decimo tercer,13,1000,10
514,decimotercer,13,1000,10
514,decimotercero,13,1000,10
514,decimotercera,13,1000,10
518,13º,13,1000,10
518,13ª,14,1000,10
512,catorce,14,1000,10
514,décimo cuarto,14,1000,10
514,decimo cuarto,14,1000,10
514,décimo cuarta,14,1000,10
514,decimo cuarta,14,1000,10
514,décimo cuartos,14,1000,10
514,decimo cuartos,14,1000,10
514,décimo cuartas,14,1000,10
514,decimo cuartas,14,1000,10
514,decimocuarto,14,1000,10
514,decimocuarta,14,1000,10
518,14º,14,1000,10
518,14ª,14,1000,10
512,quince,15,1000,10
514,décimo quinto,15,1000,10
514,decimo quinto,15,1000,10
514,décimo quinta,15,1000,10
514,decimo quinta,15,1000,10
514,décimo quintos,15,1000,10
514,decimo quintos,15,1000,10
514,décimo quintas,15,1000,10
514,decimo quintas,15,1000,10
514,decimoquinto,15,1000,10
514,decimoquinta,15,1000,10
518,15º,15,1000,10
518,15ª,15,1000,10
512,dieciséis,16,1000,10
512,dieciseis,16,1000,10
514,décimo sexto,16,1000,10
514,decimo sexto,16,1000,10
514,décimo sexta,16,1000,10
514,decimo sexta,16,1000,10
514,decimosexto,16,1000,10
514,decimosexta,16,1000,10
518,16º,16,1000,10
518,16ª,16,1000,10
512,diecisiete,17,1000,10
514,décimo séptimo,17,1000,10
514,decimo septimo,17,1000,10
514,décimo séptima,17,1000,10
514,decimo septima,17,1000,10
514,décimo séptimos,17,1000,10
514,decimo septimos,17,1000,10
514,décimo séptimas,17,1000,10
514,decimo septimas,17,1000,10
514,decimoseptimo,17,1000,10
514,decimoseptima,17,1000,10
518,17º,17,1000,10
518,17ª,17,1000,10
512,dieciocho,18,1000,10
512,diesiocho,18,1000,10
514,décimo octavo,18,1000,10
514,decimo octavo,18,1000,10
514,décimo octava,18,1000,10
514,decimo octava,18,1000,10
514,décimo octavos,18,1000,10
514,decimo octavos,18,1000,10
514,décimo octavas,18,1000,10
514,decimo octavas,18,1000,10
