time,anomaly_type,auto_restriction,package_name,uid,reason,dimension_value
1625853493556,4,0,com.samsung.android.honeyboard,10260,11,27:{1:10260|}
1625853493591,4,0,com.samsung.android.bixby.agent.dummy,5018,11,27:{1:5018|}
1625858001735,4,0,com.qualcomm.atfwd,10277,11,27:{1:10277|}
1625858001753,4,0,com.sec.spp.push,10121,11,27:{1:10121|}
1625892885474,4,0,com.facebook.services,10087,11,27:{1:10087|}
1625914154249,4,0,com.samsung.android.easysetup,10085,11,27:{1:10085|}
1625991551448,4,0,com.samsung.android.bixby.agent.dummy,5018,11,27:{1:5018|}
1626012370513,4,0,com.facebook.services,10087,11,27:{1:10087|}
1626076658350,4,0,com.samsung.android.bixby.agent.dummy,5018,11,27:{1:5018|}
1626121697755,4,0,com.facebook.services,10087,11,27:{1:10087|}
1626166845261,4,0,com.samsung.android.bixby.agent.dummy,5018,11,27:{1:5018|}
1626214848498,4,0,com.samsung.android.honeyboard,10260,11,27:{1:10260|}
1626214848520,4,0,com.sec.spp.push,10121,11,27:{1:10121|}
1626214848553,4,0,com.qualcomm.atfwd,10277,11,27:{1:10277|}
1626264724855,4,0,com.facebook.services,10087,11,27:{1:10087|}
1626264724868,4,0,com.samsung.android.bixby.agent.dummy,5018,11,27:{1:5018|}
1626264724934,4,0,com.samsung.android.honeyboard,10260,11,27:{1:10260|}
1626264724949,4,0,com.sec.spp.push,10121,11,27:{1:10121|}
1626264724961,4,0,com.qualcomm.atfwd,10277,11,27:{1:10277|}
1626302488298,4,0,com.sec.spp.push,10121,11,27:{1:10121|}
1626302488328,4,0,com.qualcomm.atfwd,10277,11,27:{1:10277|}
1626336754803,4,0,com.samsung.android.honeyboard,10260,11,27:{1:10260|}
1626351055895,4,0,com.samsung.android.bixby.agent.dummy,5018,11,27:{1:5018|}
1626351055924,4,0,com.facebook.services,10087,11,27:{1:10087|}
1626385275762,4,0,com.samsung.android.honeyboard,10260,11,27:{1:10260|}
1626385275792,4,0,com.sec.spp.push,10121,11,27:{1:10121|}
1626385275801,4,0,com.qualcomm.atfwd,10277,11,27:{1:10277|}
1626448063576,4,0,com.samsung.android.bixby.agent.dummy,5018,11,27:{1:5018|}
1626448063604,4,0,com.facebook.services,10087,11,27:{1:10087|}
1626534105558,4,0,com.samsung.android.bixby.agent.dummy,5018,11,27:{1:5018|}
1626560260194,4,0,com.facebook.services,10087,11,27:{1:10087|}
1626616705946,4,0,com.samsung.android.bixby.agent.dummy,5018,11,27:{1:5018|}
1626700671412,4,0,com.facebook.services,10087,11,27:{1:10087|}
1626710340818,4,0,com.samsung.android.bixby.agent.dummy,5018,11,27:{1:5018|}
1626746206244,4,0,com.sec.spp.push,10121,11,27:{1:10121|}
1626746206269,4,0,com.qualcomm.atfwd,10277,11,27:{1:10277|}
1626795330036,4,0,com.facebook.services,10087,11,27:{1:10087|}
1626795330085,4,0,com.samsung.android.bixby.agent.dummy,5018,11,27:{1:5018|}
1626795330099,4,0,com.samsung.android.honeyboard,10260,11,27:{1:10260|}
1626862658441,4,0,com.qualcomm.atfwd,10277,11,27:{1:10277|}
1626876988182,4,0,com.samsung.android.bixby.agent.dummy,5018,11,27:{1:5018|}
1626876988214,4,0,com.samsung.android.honeyboard,10260,11,27:{1:10260|}
1626883178618,4,0,com.sec.spp.push,10121,11,27:{1:10121|}
1626898614590,4,0,com.qualcomm.atfwd,10277,11,27:{1:10277|}
1626926378374,4,0,com.sec.spp.push,10121,11,27:{1:10121|}
1626977236863,4,0,com.samsung.android.bixby.agent.dummy,5018,11,27:{1:5018|}
1626977236898,4,0,com.samsung.android.honeyboard,10260,11,27:{1:10260|}
1626980823324,4,0,com.qualcomm.atfwd,10277,11,27:{1:10277|}
1626980823396,4,0,com.sec.spp.push,10121,11,27:{1:10121|}
