_id,table_name,name,type_name,default_value,is_nullable,is_primary,is_autoincrement,is_deleted,is_added,foreign_table,foreign_column,on_foreign_key_update,on_foreign_key_delete
451,thread_themes,hot_like_color,INTEGER,0,1,0,0,0,1,,,,
452,thread_themes,primary_button_background_color,INTEGER,0,1,0,0,0,1,,,,
453,thread_themes,voice_record_soundwave_color,INTEGER,0,1,0,0,0,1,,,,
454,thread_themes,reaction_pill_background_color,INTEGER,0,1,0,0,0,1,,,,
455,virtual_folders,_id,INTEGER,,0,1,1,0,0,,,,
456,virtual_folders,virtual_folder,TEXT,,1,0,0,0,0,,,,
457,virtual_folders,thread_key,TEXT,,1,0,0,0,0,,,,
458,virtual_folders,timestamp_ms,INTEGER,,1,0,0,0,0,,,,
459,community,_id,INTEGER,,0,1,1,0,0,,,,
460,community,community_id,TEXT,,1,0,0,0,0,,,,
461,community,group_id,TEXT,,1,0,0,0,0,,,,
462,community,community_name,TEXT,,1,0,0,0,0,,,,
463,community,member_count,INTEGER,,1,0,0,0,0,,,,
464,community,snippet,TEXT,,1,0,0,0,0,,,,
465,community,last_activity_timestamp,INTEGER,,1,0,0,0,0,,,,
466,community,profile_pic_url,TEXT,,1,0,0,0,0,,,,
977,messages,_id,INTEGER,,0,1,1,0,0,,,,
978,messages,msg_id,TEXT,,1,0,0,0,0,,,,
979,messages,thread_key,TEXT,,1,0,0,0,0,,,,
980,messages,text,TEXT,,1,0,0,0,0,,,,
981,messages,sender,TEXT,,1,0,0,0,0,,,,
982,messages,is_not_forwardable,INTEGER,,1,0,0,0,0,,,,
983,messages,timestamp_ms,INTEGER,,1,0,0,0,0,,,,
984,messages,timestamp_sent_ms,INTEGER,,1,0,0,0,0,,,,
985,messages,attachments,TEXT,,1,0,0,0,0,,,,
986,messages,shares,TEXT,,1,0,0,0,0,,,,
987,messages,sticker_id,TEXT,,1,0,0,0,0,,,,
988,messages,msg_type,INTEGER,,1,0,0,0,0,,,,
989,messages,affected_users,TEXT,,1,0,0,0,0,,,,
990,messages,coordinates,TEXT,,1,0,0,0,0,,,,
991,messages,offline_threading_id,TEXT,,1,0,0,0,0,,,,
992,messages,source,TEXT,,1,0,0,0,0,,,,
993,messages,channel_source,TEXT,,1,0,0,0,0,,,,
994,messages,send_channel,TEXT,,1,0,0,0,0,,,,
995,messages,is_non_authoritative,INTEGER,,1,0,0,0,0,,,,
996,messages,pending_send_media_attachment,TEXT,,1,0,0,0,0,,,,
997,messages,sent_share_attachment,TEXT,,1,0,0,0,0,,,,
998,messages,client_tags,TEXT,,1,0,0,0,0,,,,
999,messages,extensible_message_data,TEXT,,1,0,0,0,0,,,,
1000,messages,send_error,TEXT,,1,0,0,0,0,,,,
1001,messages,send_error_message,TEXT,,1,0,0,0,0,,,,
1002,messages,send_error_detail,TEXT,,1,0,0,0,0,,,,
1003,messages,send_error_original_exception,TEXT,,1,0,0,0,0,,,,
1004,messages,send_error_number,INTEGER,,1,0,0,0,0,,,,
1005,messages,send_error_timestamp_ms,INTEGER,,1,0,0,0,0,,,,
1006,messages,send_error_error_url,TEXT,,1,0,0,0,0,,,,
1007,messages,publicity,TEXT,,1,0,0,0,0,,,,
1008,messages,send_queue_type,TEXT,,1,0,0,0,0,,,,
1009,messages,payment_transaction,TEXT,,1,0,0,0,0,,,,
1010,messages,payment_request,TEXT,,1,0,0,0,0,,,,
1011,messages,has_unavailable_attachment,INTEGER,,1,0,0,0,0,,,,
1012,messages,app_attribution,TEXT,,1,0,0,0,0,,,,
1013,messages,content_app_attribution,TEXT,,1,0,0,0,0,,,,
1014,messages,tree_xma,TEXT,,1,0,0,0,1,,,,
1015,messages,xma,TEXT,,1,0,0,1,0,,,,
1016,messages,admin_text_type,INTEGER,,1,0,0,0,0,,,,
1017,messages,admin_text_theme_color,INTEGER,,1,0,0,0,0,,,,
1018,messages,admin_text_should_show_theme_icon,INTEGER,1,1,0,0,0,1,,,,
1019,messages,admin_text_gradient_colors,TEXT,,1,0,0,0,0,,,,
1020,messages,admin_text_thread_icon_emoji,TEXT,,1,0,0,0,0,,,,
1021,messages,admin_text_nickname,TEXT,,1,0,0,0,0,,,,
1022,messages,admin_text_target_id,TEXT,,1,0,0,0,0,,,,
1023,messages,admin_text_thread_message_lifetime,INTEGER,,1,0,0,0,0,,,,
1024,messages,message_lifetime,INTEGER,,1,0,0,0,0,,,,
1025,messages,admin_text_thread_rtc_event,TEXT,,1,0,0,0,0,,,,
1026,messages,admin_text_thread_rtc_server_info_data,TEXT,,1,0,0,0,0,,,,
1027,messages,admin_text_thread_rtc_is_video_call,INTEGER,,1,0,0,0,0,,,,
1028,messages,is_sponsored,INTEGER,,1,0,0,0,0,,,,
1029,messages,admin_text_thread_ad_properties,TEXT,,1,0,0,0,0,,,,
1030,messages,admin_text_game_score_data,TEXT,,1,0,0,0,0,,,,
1031,messages,admin_text_thread_event_reminder_properties,TEXT,,1,0,0,1,0,,,,
1032,messages,commerce_message_type,TEXT,,1,0,0,0,0,,,,
1033,messages,admin_text_joinable_event_type,TEXT,,1,0,0,0,0,,,,
1034,messages,metadata_at_text_ranges,TEXT,,1,0,0,0,0,,,,
1035,messages,platform_metadata,TEXT,,1,0,0,0,0,,,,
1036,messages,admin_text_is_joinable_promo,INTEGER,,1,0,0,0,0,,,,
1037,messages,admin_text_agent_intent_id,TEXT,,1,0,0,0,0,,,,
1038,messages,montage_reply_message_id,TEXT,,1,0,0,0,0,,,,
1039,messages,montage_reply_action,TEXT,,1,0,0,0,0,,,,
1040,messages,montage_reply_message_media_type,TEXT,,1,0,0,0,0,,,,
