event_id,address,name,cod,bond_state,appearance,manufacturerdata,date,linktype,flag,uuids,timestamp
1,[B@dffe83f,,,101,,,,,,,1611196543664
2,34:C7:31:F8:61:3B,CAR MULTIMEDIA,3408904.0,2,0.0,,1617592536601.0,1.0,,"0000111e-0000-1000-8000-00805f9b34fb,0000110b-0000-1000-8000-00805f9b34fb,0000110e-0000-1000-8000-00805f9b34fb,00001133-0000-1000-8000-00805f9b34fb,",1617592536601
3,F0:8A:76:C4:F8:EB,,,101,,,,,,,1620586684467
4,2C:6B:7D:1D:21:A7,Bose SoundTouch CE2D10,2360340.0,2,0.0,,1621559933597.0,1.0,,"0000110b-0000-1000-8000-00805f9b34fb,0000110e-0000-1000-8000-00805f9b34fb,",1621559933597
