_id,item,category,data1,data2,data3,data4,data5
1,air.princessmakeupdrs,1,1000000/1.0.0,7.1.1/SM-C7100#SM-C7108#SM-N9500#SM-N9508#SM-W2018,FAIL,P161013-00902,
2,air.princessmakeupdrs,1,1100000/1.1.0,7.1.1/SM-C7100#SM-C7108#SM-N9500#SM-N9508#SM-W2018,FAIL,P161013-00902,
3,cn.com.talker,1,32/1.32,7.1.1/SM-C7100#SM-C7108#SM-N9500#SM-N9508#SM-W2018,FAIL,P170503-01050,
4,com.angrymobgames.muffinknight_imedia,1,9163/1.6.3,7.1.1/SM-C7100#SM-C7108#SM-N9500#SM-N9508#SM-W2018,FAIL,P170628-04890,
5,com.backflipstudios.android.ninjumpdeluxe,1,721501/72.15.01,7.1.1/SM-C7100#SM-C7108#SM-N9500#SM-N9508#SM-W2018,FAIL,P170502-02860,
6,com.bfs.ninjump,1,805326/80.53.26,7.1.1/SM-C7100#SM-C7108#SM-N9500#SM-N9508#SM-W2018,FAIL,P170428-04478,
7,com.bizhi.bianona,1,4/4.5.6,7.1.1/SM-C7100#SM-C7108#SM-N9500#SM-N9508#SM-W2018,FAIL,P170418-03885,
8,com.by.fishgame,1,2000600/2.0.6.0,7.1.1/SM-C7100#SM-C7108#SM-N9500#SM-N9508#SM-W2018,FAIL,P170503-01956,
9,com.candyrufusgames.survivalcraftchsdying,1,1296500/1.29.65.0,7.1.1/SM-C7100#SM-C7108#SM-N9500#SM-N9508#SM-W2018,FAIL,P170418-03880,
10,com.catstudio.littlesoldiers2mm,1,52/1.5.2,7.1.1/SM-C7100#SM-C7108#SM-N9500#SM-N9508#SM-W2018,FAIL,P170502-03430,
11,com.classics.game.goldminer,1,201061229/20161125.105,7.1.1/SM-C7100#SM-C7108#SM-N9500#SM-N9508#SM-W2018,FAIL,P170731-01246,
12,com.classics.game.goldminer,1,100/1.00,7.1.1/SM-C7100#SM-C7108#SM-N9500#SM-N9508#SM-W2018,FAIL,P170731-01246,
