name,value,containerID,userID
PlatformSoftwareVersion,samsung/d1que/d1q:11/RP1A.200720.012/N970U1UES6FUE1:user/release-keys,0,0
FingerPrintInfo,samsung/d1que/d1q:11/RP1A.200720.012/N970U1UES6FUE1:user/release-keys,0,0
disabledWidgetComponents,,0,0
passwordChangeRequested,0,0,0
networkLastSSID,,0,0
OneUIVersionInfo,3.1,0,0
