parentLinkId,isRead,readTimestampUtc,isHidden,isSubscribed,isSaved,isFollowed
nwlbmr,1,1623339499152,,,,
nxlbm3,1,1623470687937,,,,
o3fhw2,1,1624128627903,,,,
o3bzp7,1,1624128672704,,,,
