_id,client_key,group_key,sync_token
3,GrowthData,GrowthData	9002a6f8-54f8-4540-bc16-53a6b37f0688	,b'#)je'
4,notification_data,NotificationData	9002a6f8-54f8-4540-bc16-53a6b37f0688	,b'\xdf\x03\xe3\xbe'
