id,url,icon_type
3,https://www.google.com/images/branding/product/1x/gsa_android_144dp.png,1
9,https://www.rent.com/apple-touch-icon.png,2
10,https://www.rent.com/favicon-32x32.png,1
11,https://www.mintahoe.com/wp-content/uploads/2017/02/cropped-2017_mintahoe_favicon-180x180.png,2
12,https://www.mintahoe.com/wp-content/uploads/2017/02/cropped-2017_mintahoe_favicon-192x192.png,1
13,https://www.t-mobile.com/favicon.ico,1
14,https://static.xx.fbcdn.net/rsrc.php/v3/ya/r/O2aKM2iSbOw.png,2
15,https://images-na.ssl-images-amazon.com/images/G/01/anywhere/a_smile_196x196._CB368246573_.png,2
16,https://m.youtube.com/yts/mobile/img/apple-touch-icon-144x144-precomposed-vflopw1IA.png,2
17,http://a.espncdn.com/wireless/mw5/r1/images/bookmark-icons/espn_icon-152x152.min.png,2
18,https://en.m.wikipedia.org/static/apple-touch/wikipedia.png,2
19,https://s.yimg.com/dh/ap/default/130909/y_200_a.png,2
20,https://ir.ebaystatic.com/pictures/aw/pics/mobile/images/apple-touch-icon.png,2
21,https://www.instagram.com/static/images/ico/favicon-192.png/b407fa101800.png,2
22,https://www.amazon.com/favicon.ico,1
23,https://cdn.shopify.com/s/files/1/0306/1642/0487/files/output-onlinepngtools_1_32x32.png?v=1620648213,1
24,https://www.beenverified.com/favicon.ico,1
25,https://direct-web.prod.slicelife.com/favicon.ico,1
26,https://direct-web.prod.slicelife.com/apple-icon-144x144.png,2
27,https://slicelife.com/sf2/static/images/favicons/apple-icon-180x180.png,2
28,https://slicelife.com/sf2/static/images/favicons/android-icon-192x192.png,1
29,https://www.digital4n6india.com/wp-content/uploads/2020/06/cropped-mentir-180x180.jpg,2
30,https://www.digital4n6india.com/wp-content/uploads/2020/06/cropped-mentir-192x192.jpg,1
31,https://images.contentstack.io/v3/assets/blt36c2e63521272fdc/blt3b9dbc8492637093/60a7f2761df7ea69b75ba460/cropped-SANS-Blue-Square-192x192.png,1
32,https://images.contentstack.io/v3/assets/blt36c2e63521272fdc/bltb065db290a92f932/60a7f27dc8faf774ab45ffd9/cropped-SANS-Blue-Square-180x180.png,2
33,https://co1.qualtrics.com/WRQualtricsShared/Graphics/qipadicon.png,4
34,https://survey.sans.org/WRQualtricsShared/Brands/sans/favicon.ico,1
35,https://thebinaryhick.blog/favicon.ico,1
36,https://di-uploads-pod21.dealerinspire.com/southernnorfolkairportdodgechryslerjeepram/uploads/2020/08/CDJR.png,1
37,https://di-uploads-pod21.dealerinspire.com/southernnorfolkairportdodgechryslerjeepram/uploads/2020/08/CDJR.png,4
38,https://www.carfax.com/favicon.ico,1
39,https://www.google.com/favicon.ico,1
40,https://static.xx.fbcdn.net/rsrc.php/v3/yj/r/gB76kJXPYJV.png,1
41,https://www.walmart.com/favicon.ico,1
42,https://www.totalcardiagnostics.com/favicon.ico,1
43,https://www.edmunds.com/favicon.ico,1
44,https://d2guulkeunn7d8.cloudfront.net/assets/instacart_favicon_48x48-4d2540a191e0855aae5f29e893b21223.png,1
45,https://partners.thepennyhoarder.com/wp-content/uploads/2020/02/cropped-favicon-1-180x180.png,4
46,https://partners.thepennyhoarder.com/wp-content/uploads/2020/02/cropped-favicon-1-192x192.png,1
47,https://cdn.shopify.com/s/files/1/0276/1621/5176/files/wc-ico_96x.png?v=1599753005,1
48,https://i3.ypcdn.com/ypu/apps/ypm-core/ypm/images/icon/favicon.ico?v=aadc01b,1
49,https://i1.ypcdn.com/ypu/apps/ypm-core/ypm/images/icon/apple-touch-icon-precomposed.png?v=aadc01b,4
50,https://cdn.shopify.com/s/files/1/0287/8390/2817/files/bb-favicon_96x.png?v=1612892203,1
51,https://www.modernliquors.com/uploads/b/74c8e350-75b0-11ea-960c-55f0e5ddde62/1df66c83e83e7c02129a1608bf0f6710.jpg,1
