packageName,count
com.google.android.apps.podcasts_android.user#com.google.android.googlequicksearchbox,14
com.google.android.apps.gsa.pcp.device#com.google.android.googlequicksearchbox,20
com.google.android.apps.search.transcription.uidevice#com.google.android.googlequicksearchbox,20
com.google.android.apps.search.hsi.device#com.google.android.googlequicksearchbox,14
com.google.android.apps.search.pronunciationlearning#com.google.android.googlequicksearchbox,15
com.google.android.apps.search.soundsearch.user#com.google.android.googlequicksearchbox,14
com.google.android.apps.search.soundsearch.device#com.google.android.googlequicksearchbox,14
com.google.android.libraries.search.googleapp.uiuser#com.google.android.googlequicksearchbox,20
com.google.android.libraries.surveys#com.google.android.googlequicksearchbox,27
com.google.ar.sceneviewer.android.device#com.google.android.googlequicksearchbox,14
com.google.android.libraries.search.user#com.google.android.googlequicksearchbox,6
com.google.android.apps.search.faceviewer#com.google.android.googlequicksearchbox,17
com.google.android.libraries.assistant.ampactions#com.google.android.googlequicksearchbox,14
com.google.android.libraries.onegoogle#com.google.android.googlequicksearchbox,20
com.google.android.libraries.consent.flows.footprints#com.google.android.googlequicksearchbox,20
com.google.android.libraries.personalization.footprints#com.google.android.googlequicksearchbox,14
com.google.vr.c9#com.google.android.googlequicksearchbox,14
com.google.android.libraries.consentverifier#com.google.android.googlequicksearchbox,14
com.google.android.gms.places,10
com.google.android.gms.notifications,9
com.google.android.libraries.social.populous#com.google.android.gm,10
com.google.android.libraries.social.populous#com.google.android.apps.docs,15
com.google.android.platform.settings_stats,22
com.google.android.gms.enpromo,25
com.google.android.libraries.internal.growth.growthkit#com.google.android.apps.docs,8
com.google.android.libraries.internal.growth.growthkit#com.google.android.apps.tachyon,12
com.google.android.gms.reminders,5
com.google.android.libraries.search.googleapp.device#com.google.android.googlequicksearchbox,22
com.google.android.metrics,31
com.google.android.apps.gsa.pcp.user#com.google.android.googlequicksearchbox,29
com.google.android.apps.pixelmigrate,26
com.google.android.gms.tron.metrics,27
com.google.android.apps.podcasts_android.device#com.google.android.googlequicksearchbox,16
com.google.android.apps.restore,26
com.google.android.libraries.assistant.symbiote#com.google.android.googlequicksearchbox,25
com.google.android.apps.search.assistant.device#com.google.android.googlequicksearchbox,28
com.google.android.platform.connectivity,14
com.google.android.libraries.notifications.platform#com.google.android.apps.docs,4
com.google.android.apps.search.assistant.verticals.memory#com.google.android.googlequicksearchbox,18
com.google.android.libraries.notifications.platform#com.google.android.apps.tachyon,6
com.google.android.gms.icing.mdd#com.google.android.apps.photos,18
