name,available,usingUserValue,usingPkgValue,state,inheritedFlag,forcedFlag,enabledFlagByServer,enabledFlagByUser
auto_control,1,0,0,inherited,1,0,1,1
boost_touch,0,0,0,inherited,1,0,1,1
allow_more_heat,0,0,0,inherited,1,1,0,0
resolution,1,0,0,inherited,1,0,1,1
render_thread_affinity,1,0,0,inherited,1,0,0,0
external_sdk,1,0,0,inherited,1,0,1,1
wifi_qos,1,0,0,inherited,1,0,0,0
md_switch_wifi,1,0,0,inherited,1,0,0,0
limit_bg_network,1,0,0,inherited,1,0,0,0
siop_mode,1,0,0,inherited,1,0,1,1
gallery_cmh_stop,1,0,0,inherited,1,0,0,0
clear_bg_process,1,0,0,inherited,1,0,0,0
dfs,1,0,0,inherited,1,0,1,1
gfi,1,0,0,forcibly_disabled,0,1,0,0
ipm,1,0,0,forcibly_enabled,0,1,1,0
tsp,1,0,0,inherited,1,0,1,1
vrr,0,0,0,inherited,1,0,1,1
governor_settings,1,0,0,inherited,1,0,1,1
mdnie,1,0,0,forcibly_enabled,0,1,1,0
volume_control,1,0,0,inherited,1,0,0,0
ringlog,1,0,0,inherited,1,0,1,1
launch_boost,1,0,0,inherited,1,0,1,1
resume_boost,1,0,0,inherited,1,0,1,1
