RecordId,formal,alias
1,Plus,plus
2,Plus,add
3,Plus,sum
4,Plus,+
5,Minus,minus
6,Minus,subtract
7,Minus,remove
8,Minus,difference
9,Minus,−
10,Minus,less than
11,Minus,discount
12,Minus,off
13,Multiply,multiply
14,Multiply,times
15,Multiply,multiplied
16,Multiply,product
17,Multiply,×
18,Divide,divide
19,Divide,divided
20,Divide,go into
