text,data,path,storage_type,text_type,update_time
speed trap reported ahead,,database//Jane//1625260854-883084-0.tts,2,0,1625260855
heavy traffic reported ahead,,database//Jane//1625260854-883239-1.tts,2,0,1625260855
"watch out, accident reported ahead",,database//Jane//1625260854-883240-2.tts,2,0,1625260855
"watch out, hazard reported ahead",,database//Jane//1625260854-883241-3.tts,2,0,1625260855
You are entering an enforcement zone,,database//Jane//1625260854-884956-20.tts,2,0,1625260855
You are leaving an enforcement zone,,database//Jane//1625260854-884958-21.tts,2,0,1625260855
Entering a crime risk area,,database//Jane//1625260854-884959-22.tts,2,0,1625260855
Crime risk area,,database//Jane//1625260854-884959-23.tts,2,0,1625260855
"watch out, object on road ahead",,database//Jane//1625260854-883637-4.tts,2,0,1625260855
"watch out, pothole on road ahead",,database//Jane//1625260854-883638-5.tts,2,0,1625260855
"watch out, road kill on road ahead",,database//Jane//1625260854-883639-6.tts,2,0,1625260855
"watch out, vehicle stopped on shoulder ahead",,database//Jane//1625260854-883639-7.tts,2,0,1625260855
red light camera reported ahead,,database//Jane//1625260854-884597-16.tts,2,0,1625260855
Approaching a railroad crossing,,database//Jane//1625260854-884599-17.tts,2,0,1625260855
Beep from a friend,,database//Jane//1625260854-884599-18.tts,2,0,1625260855
Message from a friend,,database//Jane//1625260854-884600-19.tts,2,0,1625260855
"watch out, animal on shoulder ahead",,database//Jane//1625260854-883871-8.tts,2,0,1625260855
"watch out, fog reported ahead",,database//Jane//1625260854-883872-9.tts,2,0,1625260855
"watch out, hail reported ahead",,database//Jane//1625260854-883873-10.tts,2,0,1625260855
"watch out, rain reported ahead",,database//Jane//1625260854-883873-11.tts,2,0,1625260855
Average speed enforcement zone ahead,,database//Jane//1625260854-885193-24.tts,2,0,1625260855
Entering speed enforcement zone,,database//Jane//1625260854-885195-25.tts,2,0,1625260855
Exiting average speed enforcement zone,,database//Jane//1625260854-885195-26.tts,2,0,1625260855
Entering high risk or illegal area,,database//Jane//1625260854-885196-27.tts,2,0,1625260855
"watch out, snow reported ahead",,database//Jane//1625260854-884242-12.tts,2,0,1625260855
"watch out, Construction on road ahead",,database//Jane//1625260854-884243-13.tts,2,0,1625260855
"watch out, vehicle stopped on road ahead",,database//Jane//1625260854-884244-14.tts,2,0,1625260855
police reported ahead,,database//Jane//1625260854-884244-15.tts,2,0,1625260855
in,,database//Jane//1625260855-367390-44.tts,2,0,1625260855
to,,database//Jane//1625260855-367395-45.tts,2,0,1625260855
on,,database//Jane//1625260855-367396-46.tts,2,0,1625260855
meters,,database//Jane//1625260855-367397-47.tts,2,0,1625260855
Approaching stop point,,database//Jane//1625260855-365752-40.tts,2,0,1625260855
Did you drop off your rider?,,database//Jane//1625260855-365757-41.tts,2,0,1625260855
you've arrived at,,database//Jane//1625260855-365758-42.tts,2,0,1625260855
within,,database//Jane//1625260855-365759-43.tts,2,0,1625260855
"Reminder, turn on your headlights.",,database//Jane//1625260855-85391-32.tts,2,0,1625260855
Wazer needs help,,database//Jane//1625260855-85394-33.tts,2,0,1625260855
Let's go,,database//Jane//1625260855-85395-34.tts,2,0,1625260855
"All set, let's go!",,database//Jane//1625260855-85396-35.tts,2,0,1625260855
"We're all set, let's go!",,database//Jane//1625260855-224122-36.tts,2,0,1625260855
"We're all set, drive safely",,database//Jane//1625260855-224126-37.tts,2,0,1625260855
"Let's get started, drive safely",,database//Jane//1625260855-224127-38.tts,2,0,1625260855
Let’s Carpool today,,database//Jane//1625260855-224128-39.tts,2,0,1625260855
Entering a high crime area2,,database//Jane//1625260854-885421-28.tts,2,0,1625260855
Your drive passes through a high risk or illegal area,,database//Jane//1625260854-885422-29.tts,2,0,1625260855
High crime area2,,database//Jane//1625260854-885423-30.tts,2,0,1625260855
Entering a road that requires headlights. Don't forget to turn them on.,,database//Jane//1625260854-885423-31.tts,2,0,1625260855
at,,database//Jane//1625260855-377950-52.tts,2,0,1625260855
in two hundred meters,,database//Jane//1625260855-377954-53.tts,2,0,1625260855
in four hundred meters,,database//Jane//1625260855-377955-54.tts,2,0,1625260855
in five hundred meters,,database//Jane//1625260855-377956-55.tts,2,0,1625260855
in eight hundred meters,,database//Jane//1625260855-382509-56.tts,2,0,1625260855
in one kilometer,,database//Jane//1625260855-382513-57.tts,2,0,1625260855
in one point five kilometers,,database//Jane//1625260855-382514-58.tts,2,0,1625260855
in 500 feet,,database//Jane//1625260855-382515-59.tts,2,0,1625260855
miles,,database//Jane//1625260855-376903-48.tts,2,0,1625260855
take the,,database//Jane//1625260855-376907-49.tts,2,0,1625260855
exit,,database//Jane//1625260855-376908-50.tts,2,0,1625260855
then,,database//Jane//1625260855-376909-51.tts,2,0,1625260855
in a quarter of a mile,,database//Jane//1625260855-486050-60.tts,2,0,1625260855
in O point three miles,,database//Jane//1625260855-486053-61.tts,2,0,1625260855
