_id,item_type,intVal,realVal,booleanVal,textVal,blobVal,row_version,pw_status,last_updated_time
45,5,,,1.0,,,1,0,33128150
117,5,,,1.0,,,1,0,33128150
18,5,,,1.0,,,1,0,33128150
9,5,,,1.0,,,1,0,33128150
169,5,,,1.0,,,1,0,33128151
111,5,,,1.0,,,1,0,33128151
243,1,1617509933387.0,,,,,2,0,33128151
221,4,,,,baf2b2fc2f7224ceb91667831865db30,,3,0,33128151
254,5,,,1.0,,,4,0,33128151
333,5,,,0.0,,,0,0,33128151
406,1,0.0,,,,,0,0,33128151
506,5,,,0.0,,,0,0,33128151
210,5,,,1.0,,,0,0,33128151
205,4,,,,📌,,0,0,33128151
375,5,,,0.0,,,0,0,33128151
31,5,,,1.0,,,0,0,33128151
153,5,,,0.0,,,0,0,33128151
433,5,,,0.0,,,0,0,33128151
323,5,,,0.0,,,0,0,33128151
252,5,,,0.0,,,0,0,33128151
301,5,,,0.0,,,0,0,33128151
328,5,,,0.0,,,0,0,33128151
435,5,,,0.0,,,0,0,33128151
211,1,1.0,,,,,0,0,33128151
407,5,,,0.0,,,0,0,33128152
483,5,,,0.0,,,0,0,33128152
229,5,,,0.0,,,0,0,33128152
28,1,-9999.0,,,,,0,0,33128152
154,5,,,0.0,,,0,0,33128152
59,1,1262304000.0,,,,,0,0,33128152
383,5,,,1.0,,,0,0,33128152
275,5,,,0.0,,,0,0,33128152
306,5,,,0.0,,,0,0,33128152
108,5,,,0.0,,,0,0,33128152
403,5,,,0.0,,,0,0,33128152
180,5,,,0.0,,,0,0,33128152
215,1,0.0,,,,,0,0,33128152
354,5,,,0.0,,,0,0,33128152
399,1,0.0,,,,,0,0,33128152
217,5,,,0.0,,,0,0,33128152
318,5,,,0.0,,,0,0,33128152
389,1,0.0,,,,,0,0,33128152
274,5,,,0.0,,,0,0,33128152
311,5,,,0.0,,,0,0,33128152
378,5,,,0.0,,,0,0,33128152
426,5,,,0.0,,,0,0,33128152
194,5,,,0.0,,,0,0,33128152
320,5,,,0.0,,,0,0,33128152
454,5,,,0.0,,,0,0,33128152
157,5,,,0.0,,,0,0,33128152
401,1,0.0,,,,,0,0,33128152
488,5,,,0.0,,,0,0,33128152
363,5,,,0.0,,,0,0,33128152
409,5,,,0.0,,,0,0,33128153
491,5,,,0.0,,,0,0,33128153
410,1,0.0,,,,,0,0,33128153
158,5,,,0.0,,,0,0,33128153
414,5,,,0.0,,,0,0,33128153
140,1,0.0,,,,,0,0,33128153
492,1,-9999.0,,,,,0,0,33128153
202,4,,,,😎,,0,0,33128153
10,5,,,0.0,,,0,0,33128153
279,5,,,0.0,,,0,0,33128153
125,5,,,0.0,,,0,0,33128153
190,1,0.0,,,,,0,0,33128153
487,5,,,0.0,,,0,0,33128153
115,5,,,0.0,,,0,0,33128153
347,5,,,0.0,,,0,0,33128153
437,5,,,0.0,,,0,0,33128153
300,5,,,0.0,,,0,0,33128153
303,5,,,0.0,,,0,0,33128153
499,1,0.0,,,,,0,0,33128153
1,5,,,0.0,,,0,0,33128153
132,5,,,0.0,,,0,0,33128153
509,5,,,0.0,,,0,0,33128153
70,5,,,1.0,,,0,0,33128153
351,5,,,0.0,,,0,0,33128153
358,5,,,0.0,,,0,0,33128153
231,5,,,0.0,,,0,0,33128153
188,1,0.0,,,,,0,0,33128153
349,5,,,0.0,,,0,0,33128155
292,5,,,0.0,,,0,0,33128155
391,5,,,0.0,,,0,0,33128155
475,5,,,0.0,,,0,0,33128155
429,5,,,1.0,,,0,0,33128155
473,5,,,0.0,,,0,0,33128155
294,5,,,0.0,,,0,0,33128155
486,5,,,0.0,,,0,0,33128155
496,5,,,0.0,,,0,0,33128155
322,5,,,0.0,,,0,0,33128155
443,5,,,1.0,,,0,0,33128155
479,3,,0.0,,,,0,0,33128156
419,1,0.0,,,,,0,0,33128156
393,5,,,0.0,,,0,0,33128156
304,5,,,0.0,,,0,0,33128156
477,5,,,0.0,,,0,0,33128156
49,5,,,0.0,,,0,0,33128156
195,5,,,0.0,,,0,0,33128156
222,5,,,0.0,,,0,0,33128156
365,5,,,0.0,,,0,0,33128156
505,5,,,1.0,,,0,0,33128156
436,5,,,0.0,,,0,0,33128156
260,1,0.0,,,,,0,0,33128156
332,5,,,0.0,,,0,0,33128156
236,5,,,0.0,,,0,0,33128156
503,5,,,0.0,,,0,0,33128156
387,5,,,0.0,,,0,0,33128156
327,5,,,0.0,,,0,0,33128156
495,1,0.0,,,,,0,0,33128156
237,1,0.0,,,,,0,0,33128156
267,1,0.0,,,,,0,0,33128156
444,1,0.0,,,,,0,0,33128156
315,5,,,0.0,,,0,0,33128157
432,1,0.0,,,,,0,0,33128157
170,5,,,1.0,,,0,0,33128157
141,5,,,0.0,,,0,0,33128157
485,5,,,0.0,,,0,0,33128157
288,5,,,0.0,,,0,0,33128157
404,5,,,0.0,,,0,0,33128157
307,5,,,0.0,,,0,0,33128157
369,5,,,0.0,,,0,0,33128157
164,5,,,1.0,,,0,0,33128157
466,5,,,0.0,,,0,0,33128157
200,4,,,,💞,,0,0,33128157
177,5,,,1.0,,,0,0,33128157
312,5,,,0.0,,,0,0,33128157
368,5,,,0.0,,,0,0,33128157
460,5,,,0.0,,,0,0,33128157
336,5,,,0.0,,,0,0,33128157
187,1,-9999.0,,,,,0,0,33128157
251,5,,,0.0,,,0,0,33128157
423,1,0.0,,,,,0,0,33128157
65,4,,,,,,0,0,33128157
103,1,0.0,,,,,0,0,33128157
207,5,,,0.0,,,0,0,33128157
484,5,,,0.0,,,0,0,33128157
185,5,,,0.0,,,0,0,33128157
225,5,,,0.0,,,0,0,33128157
337,5,,,0.0,,,0,0,33128157
366,5,,,0.0,,,0,0,33128158
411,5,,,0.0,,,0,0,33128158
455,5,,,0.0,,,0,0,33128158
359,5,,,0.0,,,0,0,33128158
136,1,-1.0,,,,,0,0,33128158
372,5,,,0.0,,,0,0,33128158
415,5,,,0.0,,,0,0,33128158
213,5,,,0.0,,,0,0,33128158
242,1,0.0,,,,,0,0,33128158
150,1,0.0,,,,,0,0,33128158
129,5,,,1.0,,,0,0,33128158
465,5,,,0.0,,,0,0,33128158
446,5,,,0.0,,,0,0,33128158
