_id,mccmnc,gid1,gid2,plmn,imsi_prefix_xpattern,spn,apn,iccid_prefix,privilege_access_rule,carrier_name,carrier_id,parent_carrier_id
950,40459,,,,,,,,,Bharat Sanchar Nigam Ltd. (BSNL),1549,-1
951,40462,,,,,,,,,Bharat Sanchar Nigam Ltd. (BSNL),1549,-1
952,40464,,,,,,,,,Bharat Sanchar Nigam Ltd. (BSNL),1549,-1
953,40466,,,,,,,,,Bharat Sanchar Nigam Ltd. (BSNL),1549,-1
954,40471,,,,,,,,,Bharat Sanchar Nigam Ltd. (BSNL),1549,-1
955,40472,,,,,,,,,Bharat Sanchar Nigam Ltd. (BSNL),1549,-1
956,40473,,,,,,,,,Bharat Sanchar Nigam Ltd. (BSNL),1549,-1
957,40474,,,,,,,,,Bharat Sanchar Nigam Ltd. (BSNL),1549,-1
958,40475,,,,,,,,,Bharat Sanchar Nigam Ltd. (BSNL),1549,-1
959,40476,,,,,,,,,Bharat Sanchar Nigam Ltd. (BSNL),1549,-1
960,40477,,,,,,,,,Bharat Sanchar Nigam Ltd. (BSNL),1549,-1
961,40479,,,,,,,,,Bharat Sanchar Nigam Ltd. (BSNL),1549,-1
962,40480,,,,,,,,,Bharat Sanchar Nigam Ltd. (BSNL),1549,-1
963,40481,,,,,,,,,Bharat Sanchar Nigam Ltd. (BSNL),1549,-1
964,40441,,,,,,,,,RPG Cellular,1550,-1
965,40442,,,,,,,,,Aircel Ltd.,1551,-1
966,40425,,,,,,,,,Aircel Ltd.,1551,-1
967,40428,,,,,,,,,Aircel Ltd.,1551,-1
968,40429,,,,,,,,,Aircel Ltd.,1551,-1
969,40437,,,,,,,,,Aircel Ltd.,1551,-1
970,40491,,,,,,,,,Aircel Ltd.,1551,-1
971,405800,,,,,,,,,Aircel Ltd.,1551,-1
972,405801,,,,,,,,,Aircel Ltd.,1551,-1
973,405802,,,,,,,,,Aircel Ltd.,1551,-1
974,405803,,,,,,,,,Aircel Ltd.,1551,-1
975,405804,,,,,,,,,Aircel Ltd.,1551,-1
976,405805,,,,,,,,,Aircel Ltd.,1551,-1
977,405806,,,,,,,,,Aircel Ltd.,1551,-1
978,405807,,,,,,,,,Aircel Ltd.,1551,-1
979,405808,,,,,,,,,Aircel Ltd.,1551,-1
980,405809,,,,,,,,,Aircel Ltd.,1551,-1
981,405810,,,,,,,,,Aircel Ltd.,1551,-1
982,405811,,,,,,,,,Aircel Ltd.,1551,-1
983,405812,,,,,,,,,Aircel Ltd.,1551,-1
984,40468,,,,,,,,,Mahanagar Telephone Nigam Ltd.,1556,-1
985,40469,,,,,,,,,Mahanagar Telephone Nigam Ltd.,1556,-1
986,40483,,,,,,,,,Reliable Internet Services Ltd.,1559,-1
987,43211,,,,,,,,,IR-MCI (Hamrahe Avval),1562,-1
988,43214,,,,,,,,,Telecommunication Kish Co. (KIFZO),1563,-1
989,43219,,,,,,,,,MTCE (Espadan),1564,-1
990,27401,,,,,,,,,Iceland Telecom Ltd.,1565,-1
991,27402,,,,,,,,,Tal hf,1566,-1
992,27403,,,,,,,,,Islandssimi GSM ehf,1567,-1
993,27404,,,,,,,,,IMC Islande ehf,1568,-1
994,27407,,,,,,,,,IceCell ehf,1569,-1
995,22202,,,,,,,,,Elsacom,1571,-1
996,22277,,,,,,,,,IPSE 2000,1572,-1
997,22288,,,,,,,,,WINDTRE,1573,-1
998,22298,,,,,,,,,Blu,1574,-1
999,22299,,,,,,,,,WINDTRE,1575,-1
1000,338020,,,,,,,,,Cable & Wireless Jamaica Ltd.,1576,-1
1001,338050,,,,,,,,,Mossel (Jamaica) Ltd.,1577,-1
1002,33805,,,,,,,,,Mossel (Jamaica) Ltd.,1577,-1
1003,41601,,,,,,,,,Fastlink,1578,-1
1004,41602,,,,,,,,,Xpress,1579,-1
1005,41603,,,,,,,,,Umniah,1580,-1
1006,44050,10,,,,,,,,au,1581,-1
1007,44051,10,,,,,,,,au,1581,-1
1008,44052,10,,,,,,,,au,1581,-1
1009,41902,,,,,,,,,Zain,1585,-1
1010,41903,,,,,,,,,Ooredoo,1586,-1
1011,346140,,,,,,,,,Cable & Wireless (Cayman),1587,-1
1012,40101,,,,,,,,,Beeline,1588,-1
1013,40102,,,,,,,,,TSC Kazak Telecom,1589,-1
1014,45701,,,,,,,,,Lao Telecommunications,1590,-1
1015,45702,,,,,,,,,ETL Mobile,1591,-1
1016,45708,,,,,,,,,Millicom,1592,-1
1017,41532,,,,,,,,,Cellis,1593,-1
1018,41533,,,,,,,,,Cellis,1593,-1
1019,41534,,,,,,,,,Cellis,1593,-1
1020,41535,,,,,,,,,Cellis,1593,-1
1021,41536,,,,,,,,,Libancell,1594,-1
1022,41537,,,,,,,,,Libancell,1594,-1
1023,41538,,,,,,,,,Libancell,1594,-1
1024,41539,,,,,,,,,Libancell,1594,-1
1025,29501,,,,,,,,,Telecom FL AG,1595,-1
1026,29502,,,,,,,,,Viag Europlatform AG,1596,-1
1027,29505,,,,,,,,,Mobilkom (Liechstein) AG,1597,-1
1028,29577,,,,,,,,,Tele2 AG,1598,-1
1029,41302,,,,,,,,,Dialog Sri Lanka,1599,-1
1030,41303,,,,,,,,,Celtel Lanka Ltd.,1600,-1
1031,61804,,,,,,,,,Comium Liberia,1601,-1
1032,65101,,,,,vodacom,,,,Vodacom Lesotho (pty) Ltd.,1602,-1
1033,65102,,,,,,,,,Econet Ezin-cel,1603,-1
1034,29703,,,,,,,,,MTEL d.o.o. Podgorica,1604,-1
1035,64601,,,,,,,,,Airtel Madagascar,1605,-1
1036,64602,,,,,,,,,Orange Madagascar,1606,-1
1037,64604,,,,,,,,,Telecom Malagasy Mobile,1607,-1
1038,29402,,,,,,,,,Cosmofon,1608,-1
1039,29403,,,,,,,,,Nov Operator,1609,-1
1040,61001,,,,,,,,,Malitel,1610,-1
1041,41401,,,,,,,,,Myanmar Post and Telecommunication,1611,-1
1042,42899,,,,,,,,,Mobicom,1612,-1
1043,45500,,,,,,,,,Smartone Mobile Communications (Macao) Ltd.,1613,-1
1044,45501,,,,,,,,,CTM GSM,1614,-1
1045,45504,,,,,,,,,CTM GSM,1614,-1
1046,45503,,,,,,,,,Hutchison Telecom,1615,-1
1047,60901,,,,,,,,,Mattel S.A.,1616,-1
1048,60902,,,,,,,,,Chinguitel S.A.,1617,-1
1049,60910,,,,,,,,,Mauritel Mobiles,1618,-1
1050,27801,,,,,vodafone mt,,,,Vodafone,1619,-1
1051,27821,,,,,,,,,go mobile,1620,-1
1052,61701,,,,,,,,,Orange Mauritius,1621,-1
1053,61702,,,,,,,,,Mahanagar Telephone (Mauritius) Ltd.,1622,-1
1054,61710,,,,,,,,,Emtel,1623,-1
1055,47201,,,,,,,,,DhiMobile,1624,-1
1056,65001,,,,,,,,,Telekom Network Ltd.,1625,-1
1057,65010,,,,,,,,,Airtel Malawi,1626,-1
1058,50200,,,,,,,,,Art900,1627,-1
1059,50212,,,,,,,,,Maxis/Hotlink,1628,-1
1060,50210,,,,,,,,,Digi,1630,-1
1061,502143,,,,,,,,,Digi,1630,-1
1062,502146,,,,,,,,,Digi,1630,-1
1063,50216,,,,,,,,,Digi,1630,-1
1064,50217,,,,,,,,,TimeCel,1631,-1
1065,50218,,,,,,,,,U Mobile,1632,-1
1066,50213,,,,,,,,,Celcom,1633,-1
1067,50219,,,,,,,,,Celcom,1633,-1
1068,64301,,,,,,,,,T.D.M. GSM,1634,-1
1069,64304,,,,,vodacom,,,,Vodacom,1635,-1
1070,61401,,,,,,,,,Sahel.Com,1636,-1
1071,61403,,,,,,,,,Telecel,1637,-1
1072,62120,,,,,,,,,Airtel Nigeria,1638,-1
1073,62130,,,,,,,,,MTN Nigeria Communications,1639,-1
1074,62140,,,,,,,,,Nigeria Telecommunications Ltd.,1640,-1
1075,71021,,,,,,,,,Claro NI,1641,-1
1076,71073,,,,,,,,,"Servicios de Comunicaciones, S.A. (SERCOM)",1642,-1
1077,710730,,,,,,,,,"Servicios de Comunicaciones, S.A. (SERCOM)",1642,-1
1078,20402,4e4c,,,,,,,,Tele2,1643,-1
1079,20402,,,,,tele2 nl,,,,Tele2,1643,-1
1080,20408,,,,,,,,,KPN/Telfort,1644,-1
1081,20412,,,,,,,,,KPN/Telfort,1644,-1
1082,20421,,,,,,,,,NS Railinfrabeheer B.V.,1646,-1
1083,71610,,,,,,,,,Claro PE,1647,-1
1084,54720,,,,,,,,,Tikiphone,1648,-1
1085,53701,,,,,,,,,Vodafone,1649,-1
1086,53702,,,,,,,,,Vodafone,1649,-1
1087,53703,,,,,,,,,Digicel Ltd,1651,-1
1088,51501,,,,,,,,,Islacom,1652,-1
1089,51502,,,,,,,,,Globe Telecom,1653,-1
1090,51503,,,,,,,,,Smart Communications,1654,-1
1091,51503,,,,5150363,,,,,Sun,1655,-1
1092,51505,,,,,,,,,Sun,1655,-1
1093,41001,,,,,,,,,Jazz,1656,-1
1094,41007,,,,,,,,,Jazz,1656,-1
1095,41003,,,,,,,,,PAK Telecom Mobile Ltd. (UFONE),1657,-1
1096,26001,,,,,,,,,Plus,1658,-1
1097,26003,,,,,,,,,Orange,1659,-1
1098,26004,,,,,,,,,Tele2 Polska (Tele2 Polska Sp. Z.o.o.),1660,-1
1099,26005,,,,,,,,,IDEA (UMTS)/PTK Centertel sp. Z.o.o.,1661,-1
1100,26006,,,,,,,,,PLAY,1662,-1
1101,26007,,,,,,,,,Premium internet,1663,-1
1102,26008,,,,,,,,,E-Telko,1664,-1
1103,26009,,,,,,,,,Telekomunikacja Kolejowa (GSM-R),1665,-1
1104,26010,,,,,,,,,Telefony Opalenickie,1666,-1
1105,30801,,,,,,,,,St. Pierre-et-Miquelon Télécom,1667,-1
1106,26803,,,,,,,,,NOS,1668,-1
1107,26805,,,,,,,,,"Oniway - Inforcomunicaçôes, S.A.",1669,-1
1108,26802,,,,,,,,,MEO,1670,-1
1109,26806,,,,,,,,,MEO,1670,-1
1110,26880,,,,,,,,,MEO,1670,-1
1111,55201,,,,,,,,,Palau National Communications Corp. (a.k.a. PNCC),1671,-1
1112,74401,,,,,,,,,Hola Paraguay S.A.,1672,-1
1113,74406,,,,,,,,,Hola Paraguay S.A.,1672,-1
1114,74402,,,,,,,,,Claro PY,1673,-1
1115,74403,,,,,,,,,Compañia Privada de Comunicaciones S.A.,1674,-1
1116,42701,,,,,,,,,Ooredoo,1675,-1
1117,64700,,,,,,,,,Orange La Réunion,1676,-1
1118,64702,,,,,,,,,Telco OI,1677,-1
1119,25001,,,,,,,,,МТС,1678,-1
1120,25092,,,,,,,,,Printelefone,1679,-1
1121,25093,,,,,,,,,Telecom XXI,1680,-1
1122,25099,,,,,,,,,Билайн,1681,-1
1123,63510,,,,,,,,,MTN Rwandacell,1682,-1
1124,42001,,,,,,,,,STC,1683,-1
1125,42003,,,,,,,,,Mobily,1684,-1
1126,63301,,,,,,,,,Cable & Wireless (Seychelles) Ltd.,1685,-1
1127,63302,,,,,,,,,Mediatech International Ltd.,1686,-1
1128,63310,,,,,,,,,Airtel Seychelles,1687,-1
1129,63401,,,,,,,,,SD Mobitel,1688,-1
1130,63402,,,,,,,,,Areeba-Sudan,1689,-1
1131,24001,,,,,,,,,Telia Sonera AB,1690,-1
1132,24005,,,,,telia,,,,Telia Sonera AB,1690,-1
1133,24002,,,,,,,,,3 (Hi3G Access AB),1691,-1
1134,24003,,,,,,,,,Nordisk Mobiltelefon AS,1692,-1
1135,24004,,,,,,,,,3G Infrastructure Services AB,1693,-1
1136,24005,,,,,,,,,Svenska UMTS-Nät AB,1694,-1
1137,24006,,,,,,,,,Telenor Sverige AB,1695,-1
1138,24008,,,,,,,,,Telenor Sverige AB,1695,-1
1139,24007,,,,,,,,,Tele2/Comviq Sverige/Com Hem,1696,-1
1140,24024,,,,,tele2,,,,Tele2/Comviq Sverige/Com Hem,1696,-1
1141,24010,,,,,,,,,Spring Mobil AB,1697,-1
1142,24011,,,,,,,,,Linholmen Science Park AB,1698,-1
1143,24012,,,,,,,,,Barablu Mobile Scandinavia Ltd,1699,-1
1144,24013,,,,,,,,,Ventelo Sverige AB,1700,-1
1145,24014,,,,,,,,,TDC Mobil A/S,1701,-1
1146,24015,,,,,,,,,Wireless Maingate Nordic AB,1702,-1
1147,24016,,,,,,,,,42IT AB,1703,-1
1148,24020,,,,,,,,,Wireless Maingate Message Services AB,1704,-1
1149,24021,,,,,,,,,Banverket,1705,-1
1150,52503,,,,,,,,,M1,1706,-1
1151,52505,,,,,,,,,StarHub,1707,-1
1152,52512,,,,,,,,,Digital Trunked Radio Network,1708,-1
1153,29340,,,,,,,,,SI Mobil,1709,-1
1154,29341,,,,,,,,,Telekom Slovenije,1710,-1
1155,29364,,,,,,,,,T-2 d.o.o.,1711,-1
1156,29370,,,,,,,,,Tusmobil d.o.o.,1712,-1
1157,23101,,,,,,,,,Orange,1713,-1
1158,23104,,,,,,,,,"Eurotel, UMTS",1714,-1
1159,23105,,,,,,,,,"Orange, UMTS",1715,-1
1160,61901,,,,,,,,,Orange,1716,-1
1161,61902,,,,,,,,,Millicom,1717,-1
1162,61903,,,,,,,,,Africell,1718,-1
1163,61950,,,,,,,,,Dtatel (SL) Ltd CDMA,1719,-1
1164,29201,,,,,,,,,SMT - San  Marino Telecom,1720,-1
1165,60801,,,,,,,,,Orange Senegal,1721,-1
1166,60802,,,,,,,,,Sentel GSM,1722,-1
1167,52015,,,,,,,,,ACT Mobile,1723,-1
1168,43601,,,,,,,,,JC Somoncom,1724,-1
1169,43602,,,,,,,,,CJSC Indigo Tajikistan,1725,-1
1170,43603,,,,,,,,,TT mobile,1726,-1
1171,43604,,,,,,,,,Josa Babilon-T,1727,-1
1172,43605,,,,,,,,,CTJTHSC Tajik-tel,1728,-1
1173,43801,,,,,,,,,Barash Communication Technologies (BCTI),1729,-1
1174,43802,,,,,,,,,TM-Cell,1730,-1
1175,60502,,,,,,,,,Tunisie Telecom,1731,-1
1176,60503,,,,,,,,,Ooredoo Tunisia,1732,-1
1177,53901,,,,,,,,,Tonga Communications Corporation,1733,-1
1178,53943,,,,,,,,,Shoreline Communication,1734,-1
1179,28601,,,,,,,,,Paycell | Turkcell,1735,-1
1180,28602,,,,,,,,,Vodafone,1736,-1
1181,28603,,,,,,,,,Türk Telekom,1737,-1
1182,28604,,,,,,,,,Türk Telekom,1737,-1
1183,37412,,,,,,,,,TSTT Mobile,1739,-1
1184,374122,,,,,,,,,TSTT Mobile,1739,-1
1185,374123,,,,,,,,,TSTT Mobile,1739,-1
1186,374124,,,,,,,,,TSTT Mobile,1739,-1
1187,374125,,,,,,,,,TSTT Mobile,1739,-1
1188,374126,,,,,,,,,TSTT Mobile,1739,-1
1189,374127,,,,,,,,,TSTT Mobile,1739,-1
1190,374128,,,,,,,,,TSTT Mobile,1739,-1
1191,374129,,,,,,,,,TSTT Mobile,1739,-1
1192,374130,,,,,,,,,Digicel Trinidad and Tobago Ltd.,1740,-1
1193,37413,,,,,,,,,Digicel Trinidad and Tobago Ltd.,1740,-1
1194,374140,,,,,,,,,LaqTel Ltd.,1741,-1
1195,64002,,,,,,,,,TIGO,1742,-1
1196,64003,,,,,,,,,Zantel,1743,-1
1197,64004,,,,,vodacom tanzania,,,,Vodacom (T) Ltd.,1744,-1
1198,64005,,,,,,,,,Airtel,1745,-1
1199,25501,,,,,,,,,"Ukrainian Mobile Communication, UMC",1746,-1
1200,25503,,,,,,,,,Kyivstar GSM,1747,-1
1201,25504,,,,,,,,,International Telecommunications Ltd.,1748,-1
1202,25505,,,,,,,,,Golden Telecom,1749,-1
1203,25506,,,,,,,,,Astelit,1750,-1
1204,25507,,,,,,,,,Ukrtelecom,1751,-1
1205,25521,,,,,,,,,CJSC - Telesystems of Ukraine,1752,-1
1206,64101,,,,,,,,,Airtel Uganda,1753,-1
1207,64122,,,,,,,,,Airtel Uganda,1753,-1
1208,64110,,,,,,,,,MTN Uganda Ltd.,1754,-1
1209,64111,,,,,,,,,Uganda Telecom Ltd.,1755,-1
1210,64114,,,,,,,,,House of Integrated Technology and Systems Uganda Ltd,1756,-1
1211,90101,,,,,,,,,ICO Global Communications,1758,-1
1212,90102,,,,,,,,,Sense Communications International AS,1759,-1
1213,90107,,,,,,,,,Ellipso,1760,-1
1214,90109,,,,,,,,,Tele1 Europe,1761,-1
1215,90110,,,,,,,,,Asia Cellular Satellite (AceS),1762,-1
1216,90111,,,,,,,,,Inmarsat Ltd.,1763,-1
1217,90112,,,,,,,,,Maritime Communications Partner AS (MCP network),1764,-1
1218,90113,,,,,,,,,"Global Networks, Inc.",1765,-1
1219,90114,,,,,,,,,Telenor GSM - services in aircraft,1766,-1
1220,90115,,,,,,,,,SITA GSM services in aircraft (On Air),1767,-1
1221,90116,,,,,,,,,"Jasper Systems, Inc.",1768,-1
1222,90117,,,,,,,,,Jersey Telecom,1769,-1
1223,90118,,,,,,,,,AT&T Mobility (Wireless Maritime Services),1770,-1
1224,90119,,,,,,,,,Vodafone,1771,-1
1225,90120,,,,,,,,,Intermatica,1772,-1
1226,90121,,,,,,,,,Seanet Maritime Communications,1773,-1
