oid,target_token,type,priority,log,persistence_group,target_key
14,,startService,1,"{""type"":""startService"",""timestamp"":""2021-07-07T21:15:20.713Z"",""device"":{""sdkName"":""appcenter.android"",""sdkVersion"":""4.0.0"",""model"":""SM-N970U1"",""oemName"":""samsung"",""osName"":""Android"",""osVersion"":""11"",""osBuild"":""RP1A.200720.012"",""osApiLevel"":30,""locale"":""en_US"",""timeZoneOffset"":-240,""screenSize"":""1080x2064"",""appVersion"":""4.2121.2"",""carrierName"":""T-Mobile"",""carrierCountry"":""us"",""appBuild"":""42121811"",""appNamespace"":""com.microsoft.office.outlook""},""services"":[""Crashes"",""Analytics""]}",group_core,
15,,startService,1,"{""type"":""startService"",""timestamp"":""2021-07-09T05:46:17.529Z"",""device"":{""sdkName"":""appcenter.android"",""sdkVersion"":""4.0.0"",""model"":""SM-N970U1"",""oemName"":""samsung"",""osName"":""Android"",""osVersion"":""11"",""osBuild"":""RP1A.200720.012"",""osApiLevel"":30,""locale"":""en_US"",""timeZoneOffset"":-240,""screenSize"":""1080x2064"",""appVersion"":""4.2121.2"",""carrierName"":""T-Mobile"",""carrierCountry"":""us"",""appBuild"":""42121811"",""appNamespace"":""com.microsoft.office.outlook""},""services"":[""Crashes"",""Analytics""]}",group_core,
