_id,title,container,screen,cellX,cellY,spanX,spanY,rank,itemType,intent,appWidgetId,appWidgetProvider,iconPackage,iconResource,icon,modified,restored,profileId,options,color,hidden
2,,-100,0,0,1,4,1,0,4,,2,com.sec.android.daemonapp/com.sec.android.daemonapp.appwidget.WeatherAppWidget2x1,,,,1617511056325,0,0,0,-1,0
4,,-100,0,0,3,4,1,0,4,,3,com.google.android.googlequicksearchbox/com.google.android.googlequicksearchbox.SearchWidgetProvider,,,,0,0,0,0,-1,0
