_id,mnoname,apntype,ratpreforder
146,Orange_FR:Reunion,mms,IWLAN:LTE
147,Orange_FR:Reunion,xcap,IWLAN:LTE
148,Orange_FR:Reunion,cbs,IWLAN:LTE
149,Orange_FR:Reunion,emergency,LTE
150,Orange_FR:Reunion,default,LTE
151,Orange_FR:Reunion,hipri,LTE
152,Orange_FR:Reunion,supl,LTE
153,Orange_FR:Reunion,dun,LTE
154,Orange_FR:Caraibe,ims,IWLAN:LTE
155,Orange_FR:Caraibe,mms,LTE
156,Orange_FR:Caraibe,xcap,IWLAN:LTE
157,Orange_FR:Caraibe,cbs,IWLAN:LTE
158,Orange_FR:Caraibe,emergency,LTE
159,Orange_FR:Caraibe,default,LTE
160,Orange_FR:Caraibe,hipri,LTE
161,Orange_FR:Caraibe,supl,LTE
162,Orange_FR:Caraibe,dun,LTE
163,SFR_FR,ims,IWLAN:LTE
164,SFR_FR,mms,LTE
165,SFR_FR,xcap,LTE
166,SFR_FR,cbs,LTE
167,SFR_FR,emergency,LTE
168,SFR_FR,default,LTE
169,SFR_FR,hipri,LTE
170,SFR_FR,supl,LTE
171,SFR_FR,dun,LTE
172,Bouygues_FR,ims,LTE:IWLAN
173,Bouygues_FR,mms,LTE
174,Bouygues_FR,xcap,LTE
175,Bouygues_FR,cbs,LTE
176,Bouygues_FR,emergency,LTE
177,Bouygues_FR,default,LTE
178,Bouygues_FR,hipri,LTE
179,Bouygues_FR,supl,LTE
180,Bouygues_FR,dun,LTE
181,Coriolis_FR,ims,IWLAN:LTE
182,Coriolis_FR,mms,LTE
183,Coriolis_FR,xcap,LTE
184,Coriolis_FR,cbs,LTE
185,Coriolis_FR,emergency,LTE:IWLAN
186,Coriolis_FR,default,LTE
187,Coriolis_FR,hipri,LTE
188,Coriolis_FR,supl,LTE
189,Coriolis_FR,dun,LTE
190,Vodafone_ES,ims,IWLAN:LTE
191,Vodafone_ES,mms,LTE
192,Vodafone_ES,xcap,LTE
193,Vodafone_ES,cbs,LTE
194,Vodafone_ES,emergency,LTE
195,Vodafone_ES,default,LTE
196,Vodafone_ES,hipri,LTE
197,Vodafone_ES,supl,LTE
198,Vodafone_ES,dun,LTE
199,Telefonica_ES,ims,IWLAN:LTE
200,Telefonica_ES,mms,LTE
201,Telefonica_ES,xcap,LTE
202,Telefonica_ES,cbs,LTE
203,Telefonica_ES,emergency,IWLAN:LTE
204,Telefonica_ES,default,LTE
205,Telefonica_ES,hipri,LTE
206,Telefonica_ES,supl,LTE
207,Telefonica_ES,dun,LTE
208,Orange_ES,ims,IWLAN:LTE
209,Orange_ES,mms,LTE
210,Orange_ES,xcap,LTE
211,Orange_ES,cbs,LTE
212,Orange_ES,emergency,LTE
213,Orange_ES,default,LTE
214,Orange_ES,hipri,LTE
215,Orange_ES,supl,LTE
216,Orange_ES,dun,LTE
217,TMobile_HU,ims,LTE:IWLAN
218,TMobile_HU,mms,LTE:IWLAN
219,TMobile_HU,xcap,LTE:IWLAN
220,TMobile_HU,cbs,LTE
221,TMobile_HU,emergency,LTE
222,TMobile_HU,default,LTE
223,TMobile_HU,hipri,LTE
224,TMobile_HU,supl,LTE
225,TMobile_HU,dun,LTE
226,DIGI_HU,ims,IWLAN:LTE
227,DIGI_HU,mms,LTE
228,DIGI_HU,xcap,IWLAN:LTE
229,DIGI_HU,cbs,LTE
230,DIGI_HU,emergency,LTE
231,DIGI_HU,default,LTE
232,DIGI_HU,hipri,LTE
233,DIGI_HU,supl,LTE
234,DIGI_HU,dun,LTE
235,TMobile_HR,ims,IWLAN:LTE
