_id,suggestionPlacement,friendRowId,rank
37001,1,611,0
37002,1,16,1
37003,1,12,2
37004,1,1251,3
37005,1,15,4
37006,1,22,5
37007,1,1248,6
37008,1,478,7
37009,1,1283,8
37010,1,1423,9
37011,1,209,10
37012,1,1380,11
37013,1,1383,12
37014,1,80,13
37015,1,10,14
37016,1,55,15
37017,1,119,16
37018,1,83,17
37019,1,1424,18
37020,1,117,19
37021,1,1409,20
37022,1,1404,21
37023,1,27,22
37024,1,1005,23
37025,1,1007,24
37026,1,1410,25
37027,1,250,26
37028,1,101,27
37029,1,1379,28
37030,1,726,29
37031,1,280,30
37032,1,193,31
37033,1,1414,32
37034,1,1436,33
37035,1,1422,34
37036,1,737,35
37037,1,784,36
37038,1,73,37
37039,1,173,38
37040,1,685,39
37041,1,1435,40
37042,1,89,41
37043,1,1003,42
37044,1,1432,43
37045,1,1326,44
37046,1,113,45
37047,1,194,46
37048,1,1420,47
37049,1,325,48
37050,1,142,49
37051,1,692,50
37052,1,1189,51
37053,1,190,52
37054,1,1419,53
37055,1,59,54
37056,1,764,55
37057,1,1437,56
37058,1,1402,57
37059,1,234,58
37060,1,1434,59
37061,1,622,60
37062,1,1418,61
37063,1,707,62
37064,1,1401,63
37065,1,1403,64
37066,1,1173,65
37067,1,1328,66
37068,1,90,67
37069,1,433,68
37070,1,596,69
37071,1,1433,70
37072,1,1397,71
37073,1,1431,72
37074,1,523,73
37075,1,400,74
37076,1,853,75
37077,1,1421,76
37078,1,770,77
37079,1,760,78
37080,1,312,79
37081,1,648,80
37082,1,284,81
37083,1,585,82
37084,1,81,83
37085,1,721,84
37086,1,289,85
37087,1,1376,86
37088,1,1425,87
37089,1,134,88
37090,1,1115,89
37091,1,1426,90
37092,1,1417,91
37093,1,1430,92
37094,1,1428,93
37095,1,823,94
37096,1,1161,95
37097,1,1416,96
37098,1,977,97
37099,1,1429,98
37100,1,1427,99
37101,2,611,0
37102,2,16,1
37103,2,12,2
37104,2,1251,3
37105,2,15,4
37106,2,22,5
37107,2,1248,6
37108,2,478,7
37109,2,1283,8
37110,2,1423,9
37111,2,209,10
37112,2,1380,11
37113,2,1383,12
37114,2,80,13
37115,2,10,14
37116,2,55,15
37117,2,119,16
37118,2,83,17
37119,2,1424,18
37120,2,117,19
37121,2,1409,20
37122,2,1404,21
37123,2,27,22
37124,2,1005,23
37125,2,1007,24
37126,2,1410,25
37127,2,250,26
37128,2,101,27
37129,2,1379,28
37130,2,726,29
37131,2,280,30
37132,2,193,31
37133,2,1414,32
37134,2,1436,33
37135,2,1422,34
37136,2,737,35
37137,2,784,36
37138,2,73,37
37139,2,173,38
37140,2,685,39
37141,2,1435,40
37142,2,89,41
37143,2,1003,42
37144,2,1432,43
37145,2,1326,44
37146,2,113,45
37147,2,194,46
37148,2,1420,47
37149,2,325,48
37150,2,142,49
37151,2,692,50
37152,2,1189,51
37153,2,190,52
37154,2,1419,53
37155,2,59,54
37156,2,764,55
37157,2,1437,56
37158,2,1402,57
37159,2,234,58
37160,2,1434,59
37161,2,622,60
37162,2,1418,61
37163,2,707,62
37164,2,1401,63
37165,2,1403,64
37166,2,1173,65
37167,2,1328,66
37168,2,90,67
37169,2,433,68
37170,2,596,69
37171,2,1433,70
37172,2,1397,71
37173,2,1431,72
37174,2,523,73
37175,2,400,74
37176,2,853,75
37177,2,1421,76
37178,2,770,77
37179,2,760,78
37180,2,312,79
37181,2,648,80
37182,2,284,81
37183,2,585,82
37184,2,81,83
37185,2,721,84
37186,2,289,85
37187,2,1376,86
37188,2,1425,87
37189,2,134,88
37190,2,1115,89
37191,2,1426,90
37192,2,1417,91
37193,2,1430,92
37194,2,1428,93
37195,2,823,94
37196,2,1161,95
37197,2,1416,96
37198,2,977,97
37199,2,1429,98
37200,2,1427,99
37201,3,611,0
37202,3,16,1
37203,3,12,2
37204,3,1251,3
37205,3,15,4
37206,3,22,5
37207,3,1248,6
37208,3,478,7
37209,3,1283,8
37210,3,1423,9
37211,3,209,10
37212,3,1380,11
37213,3,1383,12
37214,3,80,13
37215,3,10,14
37216,3,55,15
37217,3,119,16
37218,3,83,17
37219,3,1424,18
37220,3,117,19
37221,3,1409,20
37222,3,1404,21
37223,3,27,22
37224,3,1005,23
37225,3,1007,24
37226,3,1410,25
37227,3,250,26
37228,3,101,27
37229,3,1379,28
37230,3,726,29
37231,3,280,30
37232,3,193,31
37233,3,1414,32
37234,3,1436,33
37235,3,1422,34
37236,3,737,35
37237,3,784,36
37238,3,73,37
37239,3,173,38
37240,3,685,39
37241,3,1435,40
37242,3,89,41
37243,3,1003,42
37244,3,1432,43
37245,3,1326,44
37246,3,113,45
37247,3,194,46
37248,3,1420,47
37249,3,325,48
37250,3,142,49
37251,3,692,50
37252,3,1189,51
37253,3,190,52
37254,3,1419,53
37255,3,59,54
37256,3,764,55
37257,3,1437,56
37258,3,1402,57
37259,3,234,58
37260,3,1434,59
37261,3,622,60
37262,3,1418,61
37263,3,707,62
37264,3,1401,63
37265,3,1403,64
37266,3,1173,65
37267,3,1328,66
37268,3,90,67
37269,3,433,68
37270,3,596,69
37271,3,1433,70
37272,3,1397,71
37273,3,1431,72
37274,3,523,73
37275,3,400,74
37276,3,853,75
37277,3,1421,76
37278,3,770,77
37279,3,760,78
37280,3,312,79
37281,3,648,80
37282,3,284,81
37283,3,585,82
37284,3,81,83
37285,3,721,84
37286,3,289,85
37287,3,1376,86
37288,3,1425,87
37289,3,134,88
37290,3,1115,89
37291,3,1426,90
37292,3,1417,91
37293,3,1430,92
37294,3,1428,93
37295,3,823,94
37296,3,1161,95
37297,3,1416,96
37298,3,977,97
37299,3,1429,98
37300,3,1427,99
37301,4,611,0
37302,4,16,1
37303,4,12,2
37304,4,1251,3
37305,4,15,4
37306,4,22,5
37307,4,1248,6
37308,4,478,7
37309,4,1283,8
37310,4,1423,9
37311,4,209,10
37312,4,1380,11
37313,4,1383,12
37314,4,80,13
37315,4,10,14
37316,4,55,15
37317,4,119,16
37318,4,83,17
37319,4,1424,18
37320,4,117,19
37321,4,1409,20
37322,4,1404,21
37323,4,27,22
37324,4,1005,23
37325,4,1007,24
37326,4,1410,25
37327,4,250,26
37328,4,101,27
37329,4,1379,28
37330,4,726,29
37331,4,280,30
37332,4,193,31
37333,4,1414,32
37334,4,1436,33
37335,4,1422,34
37336,4,737,35
37337,4,784,36
37338,4,73,37
37339,4,173,38
37340,4,685,39
37341,4,1435,40
37342,4,89,41
37343,4,1003,42
37344,4,1432,43
37345,4,1326,44
37346,4,113,45
37347,4,194,46
37348,4,1420,47
37349,4,325,48
37350,4,142,49
37351,4,692,50
37352,4,1189,51
37353,4,190,52
37354,4,1419,53
37355,4,59,54
37356,4,764,55
37357,4,1437,56
37358,4,1402,57
37359,4,234,58
37360,4,1434,59
37361,4,622,60
37362,4,1418,61
37363,4,707,62
37364,4,1401,63
37365,4,1403,64
37366,4,1173,65
37367,4,1328,66
37368,4,90,67
37369,4,433,68
37370,4,596,69
37371,4,1433,70
37372,4,1397,71
37373,4,1431,72
37374,4,523,73
37375,4,400,74
37376,4,853,75
37377,4,1421,76
37378,4,770,77
37379,4,760,78
37380,4,312,79
37381,4,648,80
37382,4,284,81
37383,4,585,82
37384,4,81,83
37385,4,721,84
37386,4,289,85
37387,4,1376,86
37388,4,1425,87
37389,4,134,88
37390,4,1115,89
37391,4,1426,90
37392,4,1417,91
37393,4,1430,92
37394,4,1428,93
37395,4,823,94
37396,4,1161,95
37397,4,1416,96
37398,4,977,97
37399,4,1429,98
37400,4,1427,99
37401,5,611,0
37402,5,16,1
37403,5,12,2
37404,5,1251,3
37405,5,15,4
37406,5,22,5
37407,5,1248,6
37408,5,478,7
37409,5,1283,8
37410,5,1423,9
37411,5,209,10
37412,5,1380,11
37413,5,1383,12
37414,5,80,13
37415,5,10,14
37416,5,55,15
37417,5,119,16
37418,5,83,17
37419,5,1424,18
37420,5,117,19
37421,5,1409,20
37422,5,1404,21
37423,5,27,22
37424,5,1005,23
37425,5,1007,24
37426,5,1410,25
37427,5,250,26
37428,5,101,27
37429,5,1379,28
37430,5,726,29
37431,5,280,30
37432,5,193,31
37433,5,1414,32
37434,5,1436,33
37435,5,1422,34
37436,5,737,35
37437,5,784,36
37438,5,73,37
37439,5,173,38
37440,5,685,39
37441,5,1435,40
37442,5,89,41
37443,5,1003,42
37444,5,1432,43
37445,5,1326,44
37446,5,113,45
37447,5,194,46
37448,5,1420,47
37449,5,325,48
37450,5,142,49
