_id,suggestionPlacement,friendRowId,rank
37451,5,692,50
37452,5,1189,51
37453,5,190,52
37454,5,1419,53
37455,5,59,54
37456,5,764,55
37457,5,1437,56
37458,5,1402,57
37459,5,234,58
37460,5,1434,59
37461,5,622,60
37462,5,1418,61
37463,5,707,62
37464,5,1401,63
37465,5,1403,64
37466,5,1173,65
37467,5,1328,66
37468,5,90,67
37469,5,433,68
37470,5,596,69
37471,5,1433,70
37472,5,1397,71
37473,5,1431,72
37474,5,523,73
37475,5,400,74
37476,5,853,75
37477,5,1421,76
37478,5,770,77
37479,5,760,78
37480,5,312,79
37481,5,648,80
37482,5,284,81
37483,5,585,82
37484,5,81,83
37485,5,721,84
37486,5,289,85
37487,5,1376,86
37488,5,1425,87
37489,5,134,88
37490,5,1115,89
37491,5,1426,90
37492,5,1417,91
37493,5,1430,92
37494,5,1428,93
37495,5,823,94
37496,5,1161,95
37497,5,1416,96
37498,5,977,97
37499,5,1429,98
37500,5,1427,99
