origin,type,used_count,last_access_time,last_modified_time
https://www.google.com/,0,862,13270191473076833,13270191412902507
https://www.townside.com/,0,5,13265612817497614,13265612817507942
https://gum.criteo.com/,0,17,13269983001279047,13262069209616578
https://7f895e71e54d403a6d23d08a285ddb1c.safeframe.googlesyndication.com/,0,4,13262069224569487,13262069215763971
https://300a39bf581739beb49c8806441c68e8.safeframe.googlesyndication.com/,0,2,13262069235438647,13262069234848190
https://3be6f5e085888d4b2b9dd8e48e28e346.safeframe.googlesyndication.com/,0,2,13262069367919130,13262069338720101
https://90d1de65e1bacc83816fb6ae60115118.safeframe.googlesyndication.com/,0,2,13262069399807623,13262069380797278
https://941967c218a9b9f555288bd602176668.safeframe.googlesyndication.com/,0,2,13262069487929443,13262069422721759
https://f95ebdf9daf6aa68b114a4d036d09f59.safeframe.googlesyndication.com/,0,2,13262069496036944,13262069494531699
https://www.rent.com/,0,2,13263945330055297,13263945329468577
https://www.amazon.com/,0,2,13269984500714432,13266352417062762
https://www.walmart.com/,0,0,13269984371518808,13269984371518808
https://www.edmunds.com/,0,2,13270189355113003,13269985719687412
https://b3c4002b0d738c9f4f8572be5a9cf664.safeframe.googlesyndication.com/,0,2,13269985723956242,13269985722383993
