_id,tag,package,component,component_type,category,support_state,label_resource_id,description_resource_id,enabled_label_resource_id,negative_enabled_label_resource_id,support_negative,icon_resource_id,config_activity_class,default_intent_param,default_label_param,attributes,action_extra,uri,correct_param
1,edge_lighting,com.android.systemui,com.android.systemui/com.android.systemui.edgelighting.routine.EdgeLightingRoutineProvider,provider,effects,1,2131887130,2131887129,2131887174,-1,0,2131232637,com.android.systemui.edgelighting.settings.EdgeLightingStyleActivity,,,,,,1
2,edge_panel,com.samsung.android.app.cocktailbarservice,com.samsung.android.app.cocktailbarservice/com.samsung.android.app.cocktailbarservice.routine.EdgePanelRoutineProvider,provider,display_setting,1,2131689772,2131689772,-1,-1,0,2131230818,com.samsung.android.app.cocktailbarservice.routine.EdgePanelRoutineSetting,,,,,,1
3,wifi_on,com.samsung.android.app.routines,com.samsung.android.app.routines/.preloadproviders.provider.PreloadRoutineActionProvider,provider,connection_setting,1,2131822611,2131822609,2131821348,2131821345,1,2131231240,com.samsung.android.app.routines/.preloadproviders.settings.actions.wifi.SepPreloadActionWifiSettingActivity,,,,,,1
4,bluetooth_on,com.samsung.android.app.routines,com.samsung.android.app.routines/.preloadproviders.provider.PreloadRoutineActionProvider,provider,connection_setting,1,2131820764,2131820762,2131821348,2131821345,1,2131231196,,,,,,,1
5,instant_session,com.samsung.android.app.routines,com.samsung.android.app.routines/.preloadproviders.provider.PreloadRoutineActionProvider,provider,connection_setting,1,2131821121,2131821120,2131821348,2131821345,1,2131231219,com.samsung.android.app.routines/.preloadproviders.settings.actions.musicshare.SepPreloadInstantSessionSettingActivity,,,,,,
6,nfc_on,com.samsung.android.app.routines,com.samsung.android.app.routines/.preloadproviders.provider.PreloadRoutineActionProvider,provider,connection_setting,1,2131821299,2131821297,2131821348,2131821345,0,2131231221,com.samsung.android.app.routines/.preloadproviders.settings.actions.nfc.SepPreloadNfcSettingActivity,,,,,,
7,airplane_mode_on,com.samsung.android.app.routines,com.samsung.android.app.routines/.preloadproviders.provider.PreloadRoutineActionProvider,provider,connection_setting,1,2131820649,2131820647,2131821348,2131821345,1,2131231190,,,,,,,1
8,mobile_network_mode_setting,com.samsung.android.app.routines,com.samsung.android.app.routines/.preloadproviders.provider.PreloadRoutineActionProvider,provider,connection_setting,1,2131821229,2131821227,2131821228,-1,0,2131231200,com.samsung.android.app.routines/.preloadproviders.settings.actions.mobilenetworkmode.SepPreloadMobileNetworkModeSettingActivity,,,,,,1
9,mobile_data_on,com.samsung.android.app.routines,com.samsung.android.app.routines/.preloadproviders.provider.PreloadRoutineActionProvider,provider,connection_setting,1,2131821219,2131821217,2131821348,2131821345,1,2131231200,,,,,,,1
10,hotspot_on,com.samsung.android.app.routines,com.samsung.android.app.routines/.preloadproviders.provider.PreloadRoutineActionProvider,provider,connection_setting,1,2131821098,2131821096,2131821348,2131821345,1,2131231208,,,,,,,1
