start_time,end_time,uid,power,screen_power,fg_time,bg_time,cpu_time,wakelock_time,mobile_packet,wifi_packet,wakeup_alarm,gps_time,audio_time,mobile_active
1626377883746,1626378030450,10302,1.188149662118576,0.0,0,73992,3315,0,191,0,0,0,0,28514
1626377883746,1626378030450,10307,1.0393586086379116,0.0,0,1404,1470,996,61,0,0,0,0,23710
1626377883746,1626378030450,10220,1.8756003204148044,0.0,7116,200,5145,0,384,0,0,0,0,29900
1626377883746,1626378030450,10163,0.18037593438296184,0.0,4169,142389,333,0,0,0,0,0,0,0
1626385896766,1626386625484,10300,3.261165637152456,0.0,12156,1386,10149,579,3617,0,2,0,0,64866
1626385896766,1626386625484,10310,6.629292963696871,1.206,63157,14350,20619,7567,4687,0,0,0,0,92754
1626385896766,1626386625484,10306,0.4099503730415215,0.0,0,38,573,0,162,0,0,0,0,12818
1626385896766,1626386625484,10103,1.1575588407859485,0.0,0,678677,17245,1059,97,0,2,0,0,16380
1626385896766,1626386625484,10302,0.15394328395714307,0.0,0,691,3366,0,159,0,0,0,0,2449
1626385896766,1626386625484,10283,0.40911562943130164,0.0,0,0,33,0,27,0,0,0,0,11358
1626385896766,1626386625484,10189,0.21559518291368435,0.0,0,1933,5337,63,147,0,0,0,0,2264
1626385896766,1626386625484,10163,0.6421879857141595,0.0,19780,658897,532,0,0,0,0,0,0,0
1626385896766,1626386625484,10204,0.08001342335593827,0.0,0,246,3171,0,0,0,0,0,0,0
1626385896766,1626386625484,10297,0.0962351476978876,0.0,0,63731,768,0,21,0,0,0,0,323
1626385896766,1626386625484,10106,0.07017501514884934,0.0,0,30567,315,0,82,0,0,0,0,1263
1626385896766,1626386625484,5025,0.0690927743845716,0.0,0,60742,1098,0,0,0,0,0,0,0
1626386625484,1626387526409,10300,0.1488414550859476,0.0,0,64,120,23,0,0,8,0,0,0
1626386625484,1626387526409,10310,0.13989732312156988,0.0,0,0,4,0,0,0,0,0,0,0
1626386625484,1626387526409,10306,0.10537623623975012,0.0,0,0,29,0,0,0,0,0,0,0
1626386625484,1626387526409,10103,0.064703006042657,0.0,0,808979,713,1498,2,0,2,0,0,354
1626386625484,1626387526409,10087,0.3862374879912442,0.0,0,808979,12,23,3,0,1,0,0,10246
1626386625484,1626387526409,10168,0.549824191109162,0.0,0,808979,100,415,34,0,0,0,0,14726
1626386625484,1626387526409,10320,0.4530077805353079,0.0,0,1719,2109,535,61,0,0,0,0,10802
1626387526409,1626388285730,10300,0.12531237452953992,0.0,0,46,144,34,0,0,7,0,0,0
1626387526409,1626388285730,10310,0.11688747387474407,0.0,0,0,4,0,0,0,0,0,0,0
1626387526409,1626388285730,10306,0.08788804898945646,0.0,0,0,11,0,0,0,0,0,0,0
1626387526409,1626388285730,10103,1.2210568802696196,0.0,0,901170,226,718,29,0,2,0,0,31707
1626387526409,1626388285730,10087,0.39773666262977725,0.0,0,901170,11,17,3,0,1,0,0,10240
1626388285730,1626389184589,10300,0.4872019115674977,0.0,0,33,338,52,0,0,6,0,0,0
1626388285730,1626389184589,10310,0.45930317857124603,0.0,0,0,41,1,0,0,0,0,0,0
1626388285730,1626389184589,10306,0.34429899830581334,0.0,0,0,21,0,0,0,0,0,0,0
1626388285730,1626389184589,10103,0.24586834662991297,0.0,0,898833,1250,1616,2,0,1,0,0,803
1626388285730,1626389184589,10301,1.394462546359673,0.0,0,898798,10783,187407,0,0,0,0,0,0
1626388285730,1626389184589,10087,0.5028238804281504,0.0,0,898833,24,33,3,0,1,0,0,10602
1626388285730,1626389184589,10302,0.07799732871064591,0.0,0,0,52,0,0,0,0,0,0,0
1626388285730,1626389184589,10220,1.062731576007954,0.0,0,118651,965,1560,57,0,0,0,0,25622
1626388285730,1626389184589,10320,0.48890230527115974,0.0,0,803,229,238,28,0,0,0,0,11230
1626388285730,1626389184589,10307,0.44309137304920115,0.0,0,893,1189,1009,1,0,0,0,0,9998
1626388285730,1626389184589,10163,0.13826243139174554,0.0,0,898833,30,0,0,0,0,0,0,0
1626389184589,1626390084589,10300,0.1292448678092759,0.0,0,30,310,19,0,0,6,0,0,0
1626389184589,1626390084589,10310,0.11899638900265419,0.0,0,0,92,0,0,0,0,0,0,0
1626389184589,1626390084589,10306,0.08828788540081245,0.0,0,0,21,0,0,0,0,0,0,0
1626389184589,1626390084589,10103,0.509702666521302,0.0,0,900006,966,308,4,0,5,0,0,10660
1626389184589,1626390084589,10087,0.052722210093158584,0.0,0,900006,23,134,3,0,1,0,0,608
1626389184589,1626390084589,10307,1.1225361793423208,0.0,0,673,495,323,32,0,0,0,0,27035
1626389184589,1626390084589,10320,0.3038108230781933,0.0,0,767,254,165,34,0,0,0,0,6895
