poi_p_id,latitude,longitude,is_derived,poi_city,category_id,category_name,poi_name,poi_hierarchy
1,37.235496520996094,-80.43693542480469,0,Blacksburg,4d954b06a243a5684965b473,Residential Building (Apartment / Condo),Sturbridge Square,
2,38.71188735961914,-81.96760559082031,1,Southside,,,The Thornburg Farm,
