name,seq
SnapToken,1
Contact,12
Story,95
PostableStory,1
DeltaForceSync,4
UploadLocation,44
FriendLinkSyncState,0
CombinedUsername,1894
Friend,1437
FriendSyncState,1
FriendsFeedScore,156
Snap,450
StorySnap,450
NotificationData,2
FriendWhoAddedMe,10
LocalConversationInteraction,2
SuggestedFriend,7500
SuggestedFriendPlacement,37500
TopSuggestedFriend,138
BenchmarkRequestRecord,1
MessageMediaRef,4
Feed,3
