downloadable_id,downloadable_item,downloadable_category,downloadable_data1,downloadable_data2,downloadable_data3,downloadable_data4,downloadable_data5
49,BLE CI BlackList,1,FF:FF:FF,Pebble,,,
50,BLE CI BlackList,2,FF:FF:FF,Smart Nudge,,,
51,BLE CI BlackList,3,FF:FF:FF,A&D*,,,
52,BLE CI BlackList,4,FF:FF:FF,Pokemon GO Plus,,,
53,BLE SC BlackList,1,08:62:66,no name,,,
54,BLE SC BlackList,2,38:2C:4A:C9,no name,,,
55,BLE SC BlackList,3,38:2C:4A:E6,no name,,,
56,BLE SC BlackList,4,54:A0:50:D9,no name,,,
57,BLE SC BlackList,5,AC:9E:17,no name,,,
58,BLE SC BlackList,6,F0:79:59,no name,,,
59,BLE SC BlackList,7,80:E4:DA:70,no name,,,
60,BLE SC BlackList,8,1C:96:5A,no name,,,
61,BleNoServiceChgInd,1,Gear VR Controller*,,,,
62,BleNoServiceChgInd,2,Keyboard K850,,,,
63,BleNoServiceChgInd,3,FeiZhiWee,,,,
64,BleNoServiceChgInd,4,Keyboard K370/K375,,,,
