_id,friendRowId,userId,suggestionReason,suggestionToken,added,hidden,seen,deltaForceKey,hiddenTimestamp,score,rankingProfileId,suggestionReasonForToken
7401,611,a5a9b40e-1b6e-4878-bf2c-39a95dd5f4e8,,BgAAAAcAAABrNDEwMjk5YAAAAOQXUPLTeCmU1Gy64U9833l1dEGSxyRlxPg17rkLLXz3HWBeWFhjulWNtv9l2U1yt4R9oM7zsDXo28VwK_hTVVjhhbwzVapJ7043UfhDaT6LN08OfnCs5bU02V28MjFeQhUAAABmcmllbmQtcmVjb21tZW5kYXRpb24QAAAAo_9HgkcUN6BKXy5dNr2LHw,0,0,1,0,0,,,
7402,16,518dd472-026d-484c-a4a9-0e7527944822,,BgAAAAcAAABrNDEwMjk5YAAAANTOWt4fMPR3_-bChggLtFpeILRRkns6BMV-KC_TMnybvfgbJW0NuzwIVyECFyMNb4MlfLcK_OUoTFd_XFeROkqSextj5vWq5hax1rZ91nobEd5Jxpp2TtQkwCDwy-YcLBUAAABmcmllbmQtcmVjb21tZW5kYXRpb24QAAAAJp43-uQkBcNLB-Lb3ZRZTQ,0,0,1,0,0,,,
7403,12,b0cfdf6b-ea91-4281-a20c-525110744632,,BgAAAAcAAABrNDEwMjk5YAAAAFmvQu07d1yMPJf9yL0FOYYyI6fTnAuy_nYhGRMoPo2OjBM2_LOnndqxwUbcdvtQtlPbzw33xPj5jpHrzUk6gulprCQWAjC6p3B1rCRzUUe_ywsTzvyUWWKTwiP39eMNwRUAAABmcmllbmQtcmVjb21tZW5kYXRpb24QAAAACbnIm8DCJ1oWb0ORRlz2jw,0,0,1,0,0,,,
7404,1251,71e536c5-4d46-4ab2-ae94-18d05c9cbfa3,,BgAAAAcAAABrNDEwMjk5YAAAAKy1RAZMBzVNBz0vWKyDAPpGt6snoSNN2pvdwfz_n6yJ8C7VbRkJ_M2WOs8j0caDly_5EEbmLl3ktT6pfqJ3VEAQF-PYF_3bGSB-ZARmX7XUaChjrIEqWJ6trCLwXR0E7RUAAABmcmllbmQtcmVjb21tZW5kYXRpb24QAAAAhfa7AerQuUUctJoQUjcBRg,0,0,1,0,0,,,
7405,15,945a5251-5566-4364-808f-a75e7c064872,,BgAAAAcAAABrNDEwMjk5YAAAAAeyjReknRFIZ44H-WwO_bpli_YnMhchPE5jkG2OtiheQB4_lXKpCX-rOtMWTlKoxXdmVJ683zrR6Sa9qb1ZUd4YU5fW7vv9oXVDvH6Aly8ZmjZxzPtaIGJCpn01TBLWkxUAAABmcmllbmQtcmVjb21tZW5kYXRpb24QAAAAA8_pL9YZRGIl6auNQLc3SA,0,0,1,0,0,,,
7406,22,5bb0b22e-ae17-4807-9085-7f751b873528,,BgAAAAcAAABrNDEwMjk5YAAAAGRqUFtxvzMmADVd5lo0ma4hIH8wiDVcL3L9NssoZtARJr6s4s8oPC4_RbRFfbLb2-0EjHD1S1IM4EOUEuAJPQCQIieZtQMoRqQkuhzWEZBBL5KUWZ0DbXZ0dxXPozfI3BUAAABmcmllbmQtcmVjb21tZW5kYXRpb24QAAAAsmc12Gcb3-Obg42WgxSraA,0,0,1,0,0,,,
7407,1248,d7007535-c77c-44d9-9e88-bf2d7e733766,,BgAAAAcAAABrNDEwMjk5YAAAAI7UhWO7dJoqtDBrghnQ93uK35To1htaY37huzKdp_rNXNw8xakFvCnfqPuXzB68fAnalyMPxzcDjYcOnUjBbZiHfVd4bv36RqaNWdTEMk1hc1k2p2DhVDRHjDLzEBJ0VxUAAABmcmllbmQtcmVjb21tZW5kYXRpb24QAAAAzjwFmW_5m2IjlQI0g2r9sQ,0,0,1,0,0,,,
7408,478,dbc4ca57-c294-4c69-a59e-1ce6728eeb01,,BgAAAAcAAABrNDEwMjk5YAAAAANk3HWrcT0DU5MFILiSHkcoZuxMf9ahQhG2XaHCALbiQLv_8SzrYdfzhSGRt1qeWPBgoF6WBhqIaLjN6rUa5PxGbt3uamX-sf9hfRfYAh2DfnlTBQ-CM4rXbRTwVRg9yhUAAABmcmllbmQtcmVjb21tZW5kYXRpb24QAAAAcHDpmEgbOWyPZ0WG5SVmyw,0,0,1,0,0,,,
7409,1283,2f21b4b4-c9ad-4b8b-bea4-878cd40edb34,,BgAAAAcAAABrNDEwMjk5YAAAALB1rzy-Mm37w8dUKpdoLwCODqLdM18WCfTD9A30KVkxM_TfJGf0Yo937KryHS_p1UArU7AK--eGi7j_6t1EvS9n-PD0i0t7H-Gv5GrvzEAQlpH_W542Zbiw-GHPv1Hp6hUAAABmcmllbmQtcmVjb21tZW5kYXRpb24QAAAAWoaFRvtAAN2FycbqdSX3jg,0,0,1,0,0,,,
7410,1423,304eec58-37af-49fd-a096-e8090fccd2d2,,BgAAAAcAAABrNDEwMjk5YAAAAID_p-qSBTh6bJ3pqB6exxLkzem_z2tTg6xsWmkosPwPiqg4JXZJV9ytK2niSeARvwFxI8IUSkMTfR-XCSlDDCCrCn8UzQL1xtvotiy7CKhYhCy9Tm_DCdzvyqB0ZNx6vRUAAABmcmllbmQtcmVjb21tZW5kYXRpb24QAAAAGWKRR1Zqm8gnUty0kbNP-Q,0,0,1,0,0,,,
