_id,package_name,type
1,gov.ca.covid19.exposurenotifications,0
2,com.samsung.oh,0
3,com.skype.raider,0
4,com.skt.prod.cloud,0
5,jp.co.nttdocomo.contentsheadline,0
6,uy.gub.salud.plancovid19uy,0
7,com.netcompany.smittestop_exposure_notification,0
8,be.belgacom.hello,0
9,com.sds.mobiledesk,0
10,com.nttdocomo.android.photocollection,0
11,gov.scot.covidtracker,0
12,com.z7.samsung.mobiledesk.Z7,0
13,com.z7.samsung.mobiledesk.z7,0
14,com.nttdocomo.android.anmane2,0
15,com.orange.vvm,0
16,com.radioopt.network,0
17,cy.gov.dmrid.covtracer,0
18,com.showcasegig.devlawson,0
19,com.verizon.mips.services,0
20,com.vkontakte.android,0
21,com.verizon.vzwavs,0
22,com.radioopt.engineering,0
23,com.nttdocomo.android.settings.lac,0
24,kr.co.bsbank.sbp.smart,0
25,com.sktelecom.tguard,0
26,com.navercorp.android.ttsapp,0
27,com.vodafone.netperform.full,0
28,com.samsung.android.app.scharm,0
29,com.oculus.systemdriver,0
30,com.life360.android.note4,0
31,nz.govt.health.covidtracer,0
32,com.icq.mobile.client,0
33,at.mobilkom.android.a1apps,0
34,com.nttdocomo.android.hcebridge,0
35,gogolook.callgogolook2,0
36,com.estsoft.alyac,0
37,com.oculus.oculus360photos,0
38,uk.nhs.covid19.production,0
39,com.ibk.onebankA,0
40,com.vodafone.mCare,0
41,kr.co.samsungcard.mpocket,0
42,com.skplanet.mbuzzer,0
43,com.nttdocomo.android.photoviewer,0
44,com.skmc.okcashbag.home_google,0
45,com.viber.voip,0
46,jp.co.nttdocomo.android.gs.utility2,0
47,com.samsung.syncmlservice,0
48,com.skt.prod.phonebook,0
49,com.nttdocomo.android.iconcier,0
50,com.oculus.oculus360videos,0
51,si.gov.ostanizdrav,0
52,com.elevenst.deals,0
53,com.fsp.android.c,0
54,com.fsp.android.h,0
55,jp.co.lawson.activity,0
56,com.my.mail,0
57,com.whatsapp,0
58,com.shinhan.sbanking,0
59,com.wsandroid.suite.vodaemea,0
60,jp.naver.line.android,0
61,com.ipg.gguide.dcm_wifi_app.android,0
62,com.samsung.android.app.vrsetupwizard,0
63,com.cequint.ecid,0
64,com.gha.covid.tracker,0
65,com.vzw.hss.myverizontablet,0
66,es.gob.radarcovid,0
67,at.mobilkom.android.meina1,0
68,com.lguplus.cashbee,0
69,com.nttdocomo.android.anmane,0
70,com.diotek.sec.lookup.dictionary,0
71,com.nttdocomo.android.apnmng,0
72,com.moent.vas,0
73,lt.nvsc.coronawarnapp,0
74,com.vzw.hss.myverizon,0
75,com.vaultmicro.kidsnote,0
76,com.IBK.SmartPush.app,0
77,com.ebcard.skcashbee,0
78,msgplus.jibe.sca,0
79,com.shinhan.sbizbank,0
80,sa.gov.nic.tabaud,0
81,ee.tehik.hoia,0
82,com.samsung.android.email.provider,0
83,com.shinhancard.smartshinhan,0
84,com.myvodafoneapp,0
85,com.skt.prod.tmessage,0
86,com.elevenst.seller,0
87,com.samsung.android.soundassistant,0
88,com.vcast.mediamanager,0
89,de.rki.coronawarnapp,0
90,com.btb.minihompy,0
91,gov.pa.covidtracker,0
92,com.nttdocomo.android.gs.utility,0
93,com.android.angryGps,0
94,com.nttdocomo.android.mascot,0
95,com.nhn.android.webtoon,0
96,com.samsungcard.certi,0
97,com.vodafone.myaccessories,0
98,com.android.vending,0
99,com.mcafee.android.scanservice,0
100,za.co.vodacom.android.app,0
101,za.gov.health.covidconnect,0
102,com.tencent.mm,0
103,com.vf_nqt.client,0
104,com.nttdocomo.android.iconcier_contents,0
105,com.samsung.android.app.watchmanager,0
106,com.nttdocomo.android.toruca,0
107,com.samsung.sdm,0
108,com.samsung.vvm,0
109,com.samsungcard.android.oap,0
110,com.vodafone.vodafone360updates,0
111,gov.wi.covid19.exposurenotifications,0
112,com.shinhan.mobilebankbook,0
113,com.sds.mobile.mdm.client.MDMManager,0
114,com.shinhan.shb2chd,0
115,com.telenor.mbedriftsnett,0
116,com.samsung.uready.agent,0
117,com.skt.tdatafreezone2,0
118,com.sktelecom.ssm,0
119,cr.ice.territorioskolbi,0
120,jp.co.nttdocomo.ichannel,0
121,com.skt.skaf.l001mtm091,0
122,com.vzw.apnservice,0
123,com.bitstrips.imoji,0
124,no.fhi.smittestopp_exposure_notification,0
125,fr.freemobile.android.vvm,0
126,com.vodafone.messaging,0
127,com.hs.govsns.mobile,0
128,com.kineto.smartwifi,0
129,ru.ok.android,0
130,com.hanafn.push.agent,0
131,hr.infinum.mojvip,0
132,com.samsung.android.sidegesturepad,0
133,com.cisco.im,0
134,com.samsung.android.app.memo,0
135,it.vodafone.my190,0
136,com.nttdocomo.android.lac,0
137,com.nttdocomo.android.osv,0
138,com.oculus.horizon,0
139,com.shinhan.speedup,0
140,com.locationlabs.sparkle.yellow.pre,0
141,com.samsung.accessory.goproviders,0
142,kik.android,0
143,com.ktcs.whowho,0
144,nl.rijksoverheid.en,0
145,com.republicwireless.tel,0
146,ca.gc.hcsc.canada.stopcovid,0
147,com.uievolution.gguide.android,0
148,kz.nitec.bizbirgemiz,0
149,com.kt.cashbee,0
150,com.nttdocomo.android.docomosimplehome,0
151,com.samsung.android.app.vr.gallery,0
152,net.ib.android.smcard,0
153,com.lgt.tmoney,0
154,hr.miz.evidencijakontakata,0
155,com.google.android.apps.tachyon,0
156,com.samsung.android.app.vr.video,0
157,com.sds.mysinglesquare,0
158,gov.adph.exposurenotifications,0
159,com.skmnc.gifticon,0
160,jp.id_credit_sp.android.devappli,0
161,com.sds.emm.client.visitor,0
162,com.estsoft.alyac.tablet,0
163,fr.freemobile.android.mobilecompagnon,0
164,com.rsupport.rs.activity.ntt,0
165,fct.inesctec.stayaway,0
166,com.shinhancard.smartshinhan.mini,0
167,com.sec.imsservice,0
168,at.roteskreuz.stopcorona,0
169,be.sciensano.coronalert,0
170,sc.chn.hom.msa.ga,0
171,com.samsung.sdm.sdmviewer,0
172,com.samsung.android.hmt.vrsvc,0
173,com.mcafee.vsm_android_dcm,0
174,com.imo.android.imoimbeta,0
175,com.felicanetworks.mfc,0
176,gov.nv.dhhs.en,0
177,com.sds.emm.client,0
178,com.sktelecom.ttalk,0
179,com.coremobility.app.vnotes,0
180,jp.co.nttdocomo.android.gs.utility2_sha2,0
181,com.oculus.cinema,0
182,com.samsung.android.samsungpay.gear,0
183,de.telekom.tsc,0
184,kr.co.nexdigm.mdm.s,0
185,jp.dmapnavi.navi02,0
