_id,namespace,name,gc_priority,reservation_state,last_access_millis,reserved_size,source,superpack_name,superpack_version,validation_count
2,manifests,ttsvoices-528,0,0,0,0,manifest-instance://ttsvoices.528,ttsvoices,528,0
4,manifests,en-us-19,0,0,0,0,manifest-instance://en-us.19,en-us,19,0
5,en-us,en-us-x-afh-r19,0,0,1620249424354,0,https://redirector.gvt1.com/edgedl/android/tts/v22/en-us/en-us-x-afh-r19.zvoice,en-us,19,0
7,en-us,en-us-x-fis-r19,0,0,1620249424359,0,https://redirector.gvt1.com/edgedl/android/tts/v22/en-us/en-us-x-fis-r19.zvoice,en-us,19,0
9,en-us,en-us-x-hol-r19,0,0,1620249424359,0,https://redirector.gvt1.com/edgedl/android/tts/v22/en-us/en-us-x-hol-r19.zvoice,en-us,19,0
11,en-us,en-us-x-iod-r19,0,0,1620249424360,0,https://redirector.gvt1.com/edgedl/android/tts/v22/en-us/en-us-x-iod-r19.zvoice,en-us,19,0
13,en-us,en-us-x-iof-r19,0,0,1620249424361,0,https://redirector.gvt1.com/edgedl/android/tts/v22/en-us/en-us-x-iof-r19.zvoice,en-us,19,0
15,en-us,en-us-x-ioh-r19,0,0,1620249424361,0,https://redirector.gvt1.com/edgedl/android/tts/v22/en-us/en-us-x-ioh-r19.zvoice,en-us,19,0
17,en-us,en-us-x-ioj-r19,0,0,1620249424362,0,https://redirector.gvt1.com/edgedl/android/tts/v22/en-us/en-us-x-ioj-r19.zvoice,en-us,19,0
19,en-us,en-us-x-jmp-r19,0,0,1620249424363,0,https://redirector.gvt1.com/edgedl/android/tts/v22/en-us/en-us-x-jmp-r19.zvoice,en-us,19,0
21,en-us,en-us-x-sfg-r19,0,0,1620249424364,0,assets://voices/en-us/en-us-x-sfg-r19.zvoice,en-us,19,0
23,en-us,en-us-x-tme-r19,0,0,1620249424364,0,https://redirector.gvt1.com/edgedl/android/tts/v22/en-us/en-us-x-tme-r19.zvoice,en-us,19,0
25,en-us,en-us-x-tpd-r19,0,0,1620249424365,0,https://redirector.gvt1.com/edgedl/android/tts/v22/en-us/en-us-x-tpd-r19.zvoice,en-us,19,0
39,manifests,ttsvoices-890,0,0,0,0,manifest-instance://ttsvoices.890,ttsvoices,890,0
41,manifests,en-us-29,0,0,0,0,manifest-instance://en-us.29,en-us,29,0
42,en-us,en-us-x-multi-r29,0,1,1626983635440,0,assets://voices/en-us/en-us-x-multi-r29.zvoice,en-us,29,0
45,en-us,en-us-x-afh-r29,0,1,1626983635434,0,https://redirector.gvt1.com/edgedl/android/tts/v25/en-us/en-us-x-afh-r29.zvoice,en-us,29,0
47,en-us,en-us-x-fis-r29,0,1,1626983635439,0,https://redirector.gvt1.com/edgedl/android/tts/v25/en-us/en-us-x-fis-r29.zvoice,en-us,29,0
49,en-us,en-us-x-multi-wavernn-r29,0,1,1626983635440,0,https://redirector.gvt1.com/edgedl/android/tts/v25/en-us/en-us-x-multi-wavernn-r29.zvoice,en-us,29,0
