_id,sim_imsi,cb_settings_activation,sms_input_mode,sms_delivery_reports,mms_delivery_reports,mms_read_reports,mms_auto_retrieval,mms_retrieval_during_roaming,is_user_changed
18,slot1,false,Automatic,false,false,false,true,false,0
29,310260275793897,false,Automatic,false,false,false,true,false,0
