start_time,items_under_header
1617422400000,2
1617508800000,7
1617681600000,1
1618113600000,1
1618459200000,2
1621051200000,6
1621396800000,7
1622952000000,16
1623643200000,1
1623729600000,1
1623902400000,2
1625112000000,1
1625284800000,14
1625457600000,8
1625630400000,7
1626753600000,1
