_id,key,value
1,fts_ready,5
3,chat_ready,2
4,blank_me_jid_ready,1
5,participant_user_ready,2
6,broadcast_me_jid_ready,2
7,receipt_user_ready,2
8,receipt_device_migration_complete,1
9,status_list_ready,1
10,media_message_ready,2
11,media_message_fixer_ready,3
12,fts_index_start,0
13,call_log_ready,1
15,links_ready,1
139,jid_ready,1
140,msgtore_db_schema_version,efb81d53398881eaa3d485d7c37fe95b
152,migration_stats_quoted_order_message_v2,"{""row_processed"":0,""row_skipped"":0,""db_size_change"":0,""migration_time_spent"":0,""retry_count"":0}"
153,quoted_order_message_v2_migration_ready,1
196,frequents,1626981936242
197,earliest_status_time,0
