_id,category_id,version,expiry_timestamp,last_update_timestamp,key,value,data_size_bytes
1249,5,0,1634507359418,1626731359418,1416765472360603652,b'I0\t\t\x08\x01\x12\x02\tj\x010j\x137806606564494172155X',34
1250,6,0,1634507359420,1626731359420,1416765472360603652,b'1',1
1251,5,0,1634507358619,1626731358619,1416952090778247168,b'I0\t\x08\x02j\x137806606564494172145X',27
1252,5,0,1634507358624,1626731358624,1416774308416872454,b'I0\t\x08\x02j\x137806606564494172135X',27
1253,5,0,1634507358625,1626731358625,1416794283789717508,b'I0\t\x08\x02j\x137806606564494172125X',27
1254,6,0,1634507358626,1626731358626,1416952090778247168,b'1',1
1255,6,0,1634507358627,1626731358627,1416774308416872454,b'1',1
1256,6,0,1634507358628,1626731358628,1416794283789717508,b'1',1
1257,5,0,1634507359414,1626731359414,1417049925997809664,b'I0\t\x08\x02j\x137806606564494172145X',27
1258,6,0,1634507359419,1626731359419,1417049925997809664,b'1',1
1263,9,1,1627940964654,1626731364654,510,b'I\x1d\x00\x00\x01z\xc0\xbe\xc1-j de51403f6bbf401fa72ce81c5a39c27fIj\x04OPENXX',53
1264,5,0,1634507372431,1626731372431,1416468531886108677,b'I0\t\t\x08\x01\x12\x02\tj\x010j\x137806903504968667130X',34
1265,6,0,1634507372436,1626731372436,1416468531886108677,b'1',1
1266,9,1,1627940990380,1626731390380,521,b'I\x1d\x00\x00\x01z\xc0\xbf%\xacj f188e01a52d64c4fbab27727d46e4c59Ij\x07DISMISSXX',56
1267,9,1,1627940996287,1626731396287,515,b'I\x1d\x00\x00\x01z\xc0\xbf<\xbej 1d8813be4e3b416fb7807aeb40616a18Ij\x07DISMISSXX',56
1268,9,1,1627941003398,1626731403398,513,b'I\x1d\x00\x00\x01z\xc0\xbfX\x85j d2a35cd349324409a76de76b4aed5175Ij\x04OPENXX',53
1269,5,0,1634507637421,1626731637421,1416751563972956160,b'I0\t\t\x08\x01\x12\x02\tj\x010j\x137806620472881819647X',34
1270,6,0,1634507637426,1626731637426,1416751563972956160,b'1',1
1271,5,0,1634507647565,1626731647565,1416998206072832004,b'I0\t\t\x08\x01\x12\x02\tj\x137806620472881819627j\x137806620472881819637X',52
1272,5,0,1634507647575,1626731647575,1416855187382276101,b'I0\t\t\x08\x01\x12\x02\tj\x137806620472881819627j\x137806620472881819617X',52
1273,5,0,1634507647576,1626731647576,1417050086224408579,b'I0\t\t\x08\x01\x12\x02\tj\x137806620472881819627j\x137806620472881819637X',52
1274,6,0,1634507647577,1626731647577,1416998206072832004,b'1',1
1275,6,0,1634507647582,1626731647582,1416855187382276101,b'1',1
1276,6,0,1634507647590,1626731647590,1417050086224408579,b'1',1
1277,5,0,1634589265604,1626813265604,1417241256212709377,b'I0\t\t\x08\x01\x12\x03\tj\x010j\x137806130780642066430j\x137806620472881819637X',55
1278,6,0,1634589265609,1626813265609,1417241256212709377,b'1',1
1279,9,1,1628022726965,1626813126965,524,b'I\x1d\x00\x00\x01z\xc5\x9eY4j 728716bbf8f5440e9be6fc1bfe99b7dcIj\x04OPENXX',53
1280,5,0,1634589253896,1626813253896,1417230735732260872,b'I0\t\t\x08\x01\x12\x02\tj\x010j\x137806141301122514935X',34
1281,6,0,1634589253905,1626813253905,1417230735732260872,b'1',1
1282,5,0,1634589219935,1626813219935,1417503710297657349,b'I0\t\x08\x02j\x137806141301122514915X',27
1283,6,0,1634589219936,1626813219936,1417503710297657349,b'1',1
1284,5,0,1634589253904,1626813253904,1417235936493154314,b'I0\t\x08\x02j\x137806141301122514925X',27
1285,5,0,1634589219930,1626813219930,1417272732941758469,b'I0\t\x08\x02j\x137806141301122514925X',27
1286,6,0,1634589253910,1626813253910,1417235936493154314,b'1',1
1287,6,0,1634589219936,1626813219936,1417272732941758469,b'1',1
1288,9,1,1628087968185,1626878368185,525,b'I\x1d\x00\x00\x01z\xc9\x81\xd9\xb9j 9aeedebe401d42e38daa43177e2f9890Ij\x04OPENXX',53
1289,5,0,1634654393023,1626878393023,1417596068716376065,b'I0\t\t\x08\x01\x12\x02\tj\x010j\x137805775968138399742X',34
1290,6,0,1634654393024,1626878393024,1417596068716376065,b'1',1
1291,5,0,1634654382067,1626878382067,1417650314791030785,b'I0\t\x08\x02j\x137805775968138399732X',27
1292,6,0,1634654382070,1626878382070,1417650314791030785,b'1',1
1293,5,0,1634654393016,1626878393016,1417642572588195842,b'I0\t\x08\x02j\x137805775968138399732X',27
1294,6,0,1634654393024,1626878393024,1417642572588195842,b'1',1
1295,2,0,1634654394226,1626878394226,1417237972865409035,b'I0\t\x08\x02j\x131417583651482238976X',27
1296,2,0,1634654394234,1626878394234,1393210187670904833,b'I0\t\x08\x02j\x131417583651482238975X',27
1297,12,0,1634654394237,1626878394237,1417237972865409035,b'1',1
1298,12,0,1634654394244,1626878394244,1393210187670904833,b'1',1
1299,9,1,1628188127076,1626978527076,530,"b""I\x1d\x00\x00\x01z\xcfz'`j 5769cb1e7bce4a78b4572a0bd98ba667Ij\x07DISMISSXX""",56
1300,9,1,1628188135732,1626978535732,529,b'I\x1d\x00\x00\x01z\xcfzI2j b6292d26d3df4df581b0ab784031e953Ij\x07DISMISSXX',56
1301,9,1,1628188138098,1626978538098,528,b'I\x1d\x00\x00\x01z\xcfzRrj 5bf19dcbc6dc4060b838d817c0ab9ae3Ij\x07DISMISSXX',56
