_id,agreed_document_process,agreed_ver,agreed_time,agreed_locale
1,10,E3.01.01,2021-04-03 19:09:25,eula_us/en_us/eula.txt
2,20,P3.02.01,2021-04-03 19:09:25,pp_us/en_us/pp.txt
