_id,sec_media_id,group_type,group_id,best_image
1,2147483649,2,1617477246422,0
2,2147483650,2,1617477246422,1
3,2147483677,2,1623016842617,1
4,2147483678,2,1623016842617,0
5,2147483697,2,1623991444844,1
6,2147483698,2,1623991444844,0
7,2147483722,2,1625700867083,1
8,2147483723,2,1625700867083,0
9,2147483714,2,1626382338205,0
10,2147483715,2,1626382338205,0
11,2147483716,2,1626382338205,1
12,2147483717,2,1626382338205,0
13,2147483718,2,1626382338205,0
14,2147483719,2,1626382338324,1
15,2147483720,2,1626382338324,0
16,2147483721,2,1626382338324,0
