name,seq
policy_settings,1
policy_list,27
BT_A2DP,46
BT_BLE,16
BT_HFP,9
DeX,6
SmartFittingService,23
gametools,4
nsflp,159
smbadapplist,603
FFFMasking,3
cmaschannels,90
GameLiveCP,2
burn_in_prevention,2
HDR2SDRConverter,28
AREmojiproviderWhitelist,32
ScloudMigrationCountry,142
ScloudMigrationModel,143
ScloudMigrationCountryV2,142
ScloudMigrationModelV2,105
ScloudEOFPolicy,3
Camera3rdPartyWhiteList,7
SepUnionPrivilegePolicy,12
SCPMPolicyList,56
cloudgamepadinfo,17
HmtThridPartyDevicePolicy,8
FoldablePackagePolicy,17352
open_platform_allowlist,6
SystemThermal_PackagePolicy,533
